Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
37,1159484123,hemi-roid,0,158.9,P German Márquez P Joe Musgrove OF J.D. Martinez OF Mookie Betts 3B Miguel Andújar 2B Jed Lowrie 1B Luke Voit SS Marcus Semien OF Niko Goodrum C James McCann,,Rich Hill,P,9.25%,14.45
39,1159148506,austinh34,0,158.6,P German Márquez P Robbie Ray OF Ronald Acuña Jr. 3B Miguel Andújar 2B Gleyber Torres OF Daniel Palka OF Avisaíl García 1B Luke Voit SS Johan Camargo C Jonathan Lucroy,,Brock Holt,2B,8.96%,4
39,1159304525,TopCorner,0,158.6,P German Márquez P Robbie Ray OF Giancarlo Stanton OF Aaron Hicks SS Dansby Swanson OF Jackie Bradley Jr. 1B Luke Voit 3B Johan Camargo 2B Ian Kinsler C Kyle Higashioka,,Nicholas Castellanos,OF,8.75%,9
39,1159622192,dustelli,0,158.6,P German Márquez P Robbie Ray 3B Alex Bregman OF Giancarlo Stanton 2B Jose Altuve SS Carlos Correa 1B Luke Voit OF Adam Duvall OF Niko Goodrum C James McCann,,Ronald Acuña Jr.,OF,8.75%,13
42,1159224017,bruinsfan79,0,158.45,P German Márquez P Lucas Giolito SS Alex Bregman OF Giancarlo Stanton OF Aaron Hicks 3B Miguel Andújar 2B Gleyber Torres OF Nicholas Castellanos 1B Luke Voit C Jonathan Lucroy,,Matt Chapman,3B,8.70%,0
42,1159563035,limbattable,0,158.45,P German Márquez P Lucas Giolito SS Alex Bregman OF Giancarlo Stanton OF Aaron Hicks OF Khris Davis 2B Gleyber Torres 1B Luke Voit 3B Johan Camargo C Jonathan Lucroy,,José Martínez,OF,8.45%,12
44,1159547250,redshead,0,158.3,P Robbie Ray P Andrew Heaney OF J.D. Martinez OF Mookie Betts OF Andrew Benintendi SS Xander Bogaerts 2B Eduardo Núñez 1B Victor Martinez 3B Ronny Rodriguez C James McCann,,Yadier Molina,C,8.28%,7
45,1159422294,itsallamirage,0,158.1,P German Márquez P Andrew Heaney OF Giancarlo Stanton OF Aaron Hicks 3B Miguel Andújar 2B Gleyber Torres 1B Luke Voit SS Marcus Semien OF Matt Adams C James McCann,,Neil Walker,2B,8.24%,5
46,1159364106,Donaldd326,0,157.35,P German Márquez P John Gant OF Giancarlo Stanton OF Aaron Hicks 3B Miguel Andújar 2B Gleyber Torres OF Nicholas Castellanos 1B Luke Voit SS Brock Holt C Jonathan Lucroy,,Xander Bogaerts,SS,7.40%,2
46,1159384256,largejet10,0,157.35,P German Márquez P Wade LeBlanc OF Giancarlo Stanton 3B Miguel Andújar 2B Gleyber Torres SS Kiké Hernández OF Nicholas Castellanos 1B Luke Voit OF Yasiel Puig C Austin Hedges,,Willson Contreras,C,7.11%,9
46,1159534268,Arrowhead_Red,0,157.35,P German Márquez P John Gant OF Mookie Betts OF Giancarlo Stanton SS Xander Bogaerts 2B Robinson Canó OF Jackie Bradley Jr. 1B Luke Voit 3B Kyle Seager C Mike Zunino,,Mike Zunino,C,7.02%,0
49,1159496326,gtang001,0,156.9,P German Márquez P Joe Musgrove OF J.D. Martinez OF Mookie Betts SS Xander Bogaerts OF Nicholas Castellanos 1B Luke Voit 3B Eduardo Núñez 2B Niko Goodrum C James McCann,,Mike Foltynewicz,P,6.85%,10.1
50,1159204725,geo67rge,0,156.6,P German Márquez P Robbie Ray SS Alex Bregman OF Giancarlo Stanton 2B Gleyber Torres 1B Luke Voit 3B Eduardo Núñez OF Ramón Laureano OF Steven Souza Jr. C Jonathan Lucroy,,Stephen Piscotty,OF,6.77%,5
51,1159164443,Que1982,0,156.45,P German Márquez P Lucas Giolito OF Andrew Benintendi OF Giancarlo Stanton 3B Miguel Andújar 2B Gleyber Torres OF Jackie Bradley Jr. 1B Luke Voit C Kyle Higashioka SS Brock Holt,,Nelson Cruz,OF,6.31%,2
52,1159131773,Hachiroku,0,156.35,P German Márquez P John Gant OF Mookie Betts SS Alex Bregman 2B Gleyber Torres 1B Tyler White OF Nicholas Castellanos 3B Jeimer Candelario OF Mikie Mahtook C James McCann,,Robinson Canó,2B,6.18%,12
53,1159579192,osbo,0,155.95,P German Márquez P Mike Montgomery OF Giancarlo Stanton SS Manny Machado OF Aaron Hicks 3B Miguel Andújar 2B Gleyber Torres 1B Luke Voit OF Kole Calhoun C Jonathan Lucroy,,Andrew Benintendi,OF,6.14%,7
