Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
33,1140096711,KillaKMilla6 (2/2),0,156.45,P Clay Buchholz P Andrew Suárez OF Mike Trout OF A.J. Pollock 1B Paul Goldschmidt SS Jean Segura OF Denard Span 2B Dee Gordon C Buster Posey 3B Evan Longoria,,Kole Calhoun,OF,7.43%,5
39,1140086405,4Mysweats1 (2/2),0,155.55,P Junior Guerra P Clay Buchholz OF A.J. Pollock 1B Paul Goldschmidt SS Nick Ahmed OF Justin Upton 3B Mike Moustakas OF Steven Souza Jr. 2B Dee Gordon C Buster Posey,,Steven Souza Jr.,OF,7.01%,5
40,1139799687,matthewwarren185,0,155.45,P Marco Gonzales P Clay Buchholz OF A.J. Pollock 1B Paul Goldschmidt OF Wil Myers OF Lorenzo Cain 2B Hernán Pérez C Buster Posey 3B Pablo Sandoval SS Orlando Arcia,,José Briceño,C,6.87%,0
40,1139810235,Vikes41,0,155.45,P Marco Gonzales P Clay Buchholz 1B Paul Goldschmidt SS Nick Ahmed OF Nelson Cruz 3B Mike Moustakas 2B Dee Gordon OF Ryan Braun C Buster Posey OF Chris Owings,,Alen Hanson,2B,6.36%,3
40,1139935791,Newhouse-Bros (4/6),0,155.45,P Marco Gonzales P Clay Buchholz 1B Paul Goldschmidt SS Jean Segura OF Nelson Cruz OF Andrew McCutchen 2B Dee Gordon OF Gorkys Hernández C Buster Posey 3B Pablo Sandoval,,Eric Hosmer,1B,5.63%,10
43,1139653488,DFSplash (13/20),0,154.45,P Clay Buchholz P Andrew Suárez OF A.J. Pollock 1B Paul Goldschmidt SS Ketel Marte OF Justin Upton OF Steven Souza Jr. 2B Dee Gordon C Buster Posey 3B David Fletcher,,Orlando Arcia,SS,5.27%,9
43,1139653489,DFSplash (14/20),0,154.45,P Clay Buchholz P Andrew Suárez OF A.J. Pollock 1B Paul Goldschmidt OF Denard Span OF Mitch Haniger SS Ketel Marte 2B Dee Gordon C Buster Posey 3B David Fletcher,,Christian Villanueva,3B,5.19%,2
43,1140060749,Illini65 (5/6),0,154.45,P Clay Buchholz P Andrew Suárez OF A.J. Pollock 1B Paul Goldschmidt SS Ketel Marte OF Justin Upton OF Steven Souza Jr. 2B Dee Gordon C Buster Posey 3B David Fletcher,,Denard Span,OF,4.91%,20
46,1139902078,MEATCUTTER,0,153.45,P Marco Gonzales P Clay Buchholz OF Mike Trout SS Nick Ahmed OF Nelson Cruz 1B Ryan Braun OF Kole Calhoun 2B Hernán Pérez C Buster Posey 3B David Fletcher,,Freddy Galvis,SS,4.72%,7
46,1140040815,Donrhode,0,153.45,P Marco Gonzales P Clay Buchholz OF Wil Myers SS Jean Segura OF Mitch Haniger OF Justin Upton 1B Albert Pujols 2B Dee Gordon C Buster Posey 3B Evan Longoria,,Pablo Sandoval,1B,4.46%,14
46,1140084722,firstandted (1/4),0,153.45,P Clay Buchholz P Andrew Suárez OF Mike Trout OF A.J. Pollock 1B Paul Goldschmidt SS Jean Segura OF Justin Upton 2B Dee Gordon C Buster Posey 3B Kyle Seager,,Jefry Marte,3B,4.16%,0
46,1140106105,skinsrule2017,0,153.45,P Clay Buchholz P Andrew Suárez OF Mike Trout OF A.J. Pollock 1B Paul Goldschmidt SS Jean Segura OF Justin Upton 2B Dee Gordon C Buster Posey 3B Kyle Seager,,A.J. Ellis,C,3.73%,14
50,1140076656,MisterTees (2/20),0,152.45,P Clay Buchholz P Andrew Suárez OF Mike Trout OF A.J. Pollock 1B Paul Goldschmidt SS Jean Segura 2B Ian Kinsler OF Justin Upton C Buster Posey 3B David Fletcher,,Eduardo Escobar,3B,3.32%,0
50,1140079059,Manos1 (1/16),0,152.45,P Marco Gonzales P Clay Buchholz 1B Paul Goldschmidt SS Jean Segura OF Denard Span OF Nelson Cruz 2B Dee Gordon C Buster Posey OF Chris Owings 3B Evan Longoria,,Manuel Margot,OF,3.31%,5
50,1140088660,cmcffl,0,152.45,P Marco Gonzales P Clay Buchholz OF A.J. Pollock 1B Paul Goldschmidt 2B Dee Gordon OF Ryan Braun SS Brandon Crawford OF Steven Duggar C Buster Posey 3B Evan Longoria,,Ben Gamel,OF,3.17%,27
