Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
36,1139014916,DoomsDay2233,0,101.15,P Chris Sale P Luis Perdomo SS Trevor Story 3B Nolan Arenado OF Josh Reddick 1B Yuli Gurriel OF Curtis Granderson 2B Lourdes Gurriel Jr. OF Noel Cuevas C Sandy Leon,,Anthony DeSclafani,P,8.06%,13.55
37,1139008021,Chowzor,0,100.55,P Max Scherzer P Anthony DeSclafani SS Marcus Semien OF Giancarlo Stanton OF Michael Brantley 1B Joey Votto OF Josh Reddick 2B Jeff McNeil 3B David Fletcher C Mike Zunino,,Yangervis Solarte,2B,8.06%,0
38,1139005359,BigBlue25,0,99.6,P Chris Sale P Luke Weaver SS Marcus Semien 3B Matt Chapman 2B Yoán Moncada OF Josh Reddick 1B José Abreu OF Ryan Rua OF Marwin González C Mike Zunino,,Mike Trout,OF,8.06%,5
39,1139007097,markd1970,0,90.95,P Zack Greinke P Madison Bumgarner 2B Jed Lowrie OF Giancarlo Stanton 1B Joey Votto OF Josh Reddick OF Marcell Ozuna SS Marwin González 3B David Fletcher C Mike Zunino,,Michael Brantley,OF,8.06%,8
40,1139006130,Stephenmus,0,89.7,P Chris Sale P Madison Bumgarner OF George Springer OF Gregory Polanco 1B Yuli Gurriel OF Marwin González 2B Niko Goodrum 3B David Fletcher C Jeff Mathis SS Orlando Arcia,,Ivan Nova,P,8.06%,1.85
41,1138975041,gonad1234,0,88.35,P Zack Greinke P Marcus Stroman 3B Alex Bregman OF George Springer OF Odúbel Herrera 1B Carlos Santana OF Nick Williams 2B Yangervis Solarte SS Marwin González C Mike Zunino,,Stephen Piscotty,OF,6.45%,2
42,1139014906,bry2k77802,0,87.1,P Chris Archer P CC Sabathia OF Mookie Betts OF J.D. Martinez OF Josh Reddick 1B Yuli Gurriel C Evan Gattis 3B Rafael Devers 2B Eduardo Núñez SS Marwin González,,Francisco Lindor,SS,6.45%,30
43,1138951436,him76011,0,87,P Chris Sale P Chase Anderson OF Rhys Hoskins SS Jean Segura 1B Edwin Encarnacion OF Joc Pederson OF Keon Broxton 2B Josh Harrison C José Briceño 3B David Fletcher,,Eugenio Suárez,3B,6.45%,14
44,1139007438,Terper8,0,86.45,P Chris Sale P Anthony DeSclafani OF J.D. Martinez OF Rhys Hoskins 1B Edwin Encarnacion OF Jordan Luplow SS Amed Rosario 3B Rafael Devers 2B Eduardo Núñez C Sandy Leon,,Cody Bellinger,1B,6.45%,3
45,1138950157,sports_authority,0,86,P Chris Sale P Chase Anderson OF J.D. Martinez OF George Springer 1B Carlos Santana OF Jordan Luplow 3B Rafael Devers 2B Josh Harrison SS Marwin González C Sandy Leon,,Luke Weaver,P,6.45%,18.7
46,1138976227,hegotgame34,0,85,P Chris Sale P Chase Anderson 3B Max Muncy OF Joc Pederson OF Josh Reddick 1B Yuli Gurriel C Evan Gattis OF Cody Bellinger 2B Yangervis Solarte SS Marwin González,,Trea Turner,SS,6.45%,12
47,1138986052,Kitli,0,84,P Chris Sale P Chase Anderson OF J.D. Martinez OF Giancarlo Stanton 2B Gleyber Torres 1B José Abreu OF Jordan Luplow 3B Rafael Devers SS Marwin González C James McCann,,Nick Williams,OF,6.45%,0
48,1138993605,ryguyla,0,80.15,P Chris Sale P Luis Perdomo 3B Nolan Arenado SS Marcus Semien OF George Springer 1B Carlos Santana OF Curtis Granderson 2B Josh Harrison OF Marwin González C Sandy Leon,,Ian Kinsler,2B,6.45%,4
49,1138960514,Jw4778,0,77.7,P CC Sabathia P Luke Weaver OF J.D. Martinez 1B Matt Carpenter 3B Eugenio Suárez OF George Springer SS Trea Turner 2B Joey Wendle OF Shin-soo Choo C Austin Romine,,David Freese,1B,6.45%,32
50,1138991283,beanking,0,76.9,P Chris Archer P Madison Bumgarner OF Jake Bauers OF Steve Pearce 1B Greg Bird OF Joey Wendle 2B Gleyber Torres C Elias Díaz 3B Rafael Devers SS Marwin González,,Nelson Cruz,OF,6.45%,17
50,1138995412,malkave,0,76.9,P Chris Sale P CC Sabathia 3B Nolan Arenado OF Aaron Hicks 1B Yuli Gurriel OF Jordan Luplow 2B Josh Harrison SS Marwin González OF Alex Verdugo C Sandy Leon,,Evan Gattis,C,6.45%,24
50,1139014875,mike-amanda,0,76.9,P Chris Sale P CC Sabathia 3B Nolan Arenado OF Aaron Hicks 1B Yuli Gurriel OF Jordan Luplow 2B Josh Harrison SS Marwin González OF Alex Verdugo C Sandy Leon,,Luis Perdomo,P,6.45%,-8.75
53,1138993771,rdaguilar1,0,76.85,P CC Sabathia P Ivan Nova SS Trevor Story 3B Nolan Arenado OF Charlie Blackmon OF George Springer 2B César Hernández 1B Carlos Santana C Evan Gattis OF Noel Cuevas,,Jeff McNeil,2B,6.45%,0
54,1138950007,BigFatMitch41,0,73.3,P Marcus Stroman P Chase Anderson OF Khris Davis 3B Nolan Arenado 2B Jed Lowrie SS Marcus Semien OF Stephen Piscotty 1B Edwin Encarnacion OF Joc Pederson C Sandy Leon,,Khris Davis,OF,4.84%,4
55,1139006181,SpiderMonkeys,0,71.75,P Chris Sale P Carlos Carrasco OF Cody Bellinger 1B Albert Pujols OF Marwin González OF Tyler Naquin 2B Jeff McNeil SS Alcides Escobar 3B David Fletcher C Caleb Joseph,,Adrián Beltré,3B,4.84%,11
56,1139000873,TolledoSteveo,0,68,P Chris Sale P Chase Anderson SS Didi Gregorius OF Giancarlo Stanton OF Aaron Hicks 1B Greg Bird 2B Gleyber Torres OF Jordan Luplow C Jonathan Lucroy 3B David Fletcher,,Austin Romine,C,4.84%,0
56,1139015355,arod1010,0,68,P Chris Sale P Chase Anderson SS Didi Gregorius OF Giancarlo Stanton OF Aaron Hicks 1B Greg Bird 2B Gleyber Torres OF Jordan Luplow C Jonathan Lucroy 3B David Fletcher,,Mitch Haniger,OF,4.84%,2
58,1138950048,mmarkaholic,0,65.9,P Chris Sale P CC Sabathia OF Giancarlo Stanton OF Carlos Gómez 2B Gleyber Torres 1B José Martínez 3B Adrián Beltré C Austin Romine SS Marwin González OF Danny Valencia,,Sean Rodríguez,1B,4.84%,2
59,1138978907,kevin_king4411,0,62.3,P CC Sabathia P Mike Fiers OF Mike Trout OF Charlie Blackmon 2B Jed Lowrie SS Marcus Semien 1B Matt Olson 3B Matt Chapman C Chris Iannetta OF Noel Cuevas,,Chris Archer,P,4.84%,8.1
60,1138963187,ddrew22,0,59.3,P Chris Archer P Andrew Heaney OF Rhys Hoskins OF Giancarlo Stanton 1B Greg Bird OF Nick Williams SS Jurickson Profar 2B Ian Kinsler C Austin Romine 3B Evan Longoria,,Andrew Heaney,P,4.84%,17.2
61,1138972159,thehugg,0,58.1,P Chris Sale P Andrew Heaney OF Aaron Hicks 2B Gleyber Torres 1B Yuli Gurriel OF Steven Duggar OF Albert Almora Jr. SS Andrelton Simmons 3B David Fletcher C Sandy Leon,,Carlos Carrasco,P,4.84%,22.85
62,1138993502,kktrud,0,49.45,P Andrew Heaney P Luis Perdomo OF Mike Trout OF J.D. Martinez SS Xander Bogaerts OF Rhys Hoskins 3B Eugenio Suárez 1B Carlos Santana 2B Josh Harrison C Sandy Leon,,Justin Upton,OF,4.84%,3
,,,,,,,Justin Smoak,1B,4.84%,10
,,,,,,,Elias Díaz,C,4.84%,12
,,,,,,,Chris Iannetta,C,4.84%,2
,,,,,,,Charlie Blackmon,OF,4.84%,12
,,,,,,,Madison Bumgarner,P,4.84%,19.8
,,,,,,,Joey Votto,1B,4.84%,4
,,,,,,,Trevor Story,SS,4.84%,0
,,,,,,,José Briceño,C,3.23%,9
,,,,,,,Ryan Rua,OF,3.23%,0
,,,,,,,Max Stassi,C,3.23%,0
