Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
61,1155686092,jstraight419 (3/7),0,111.85,P Dallas Keuchel P CC Sabathia OF Ronald Acuña Jr. 1B Ryan Zimmerman OF Avisaíl García 3B Evan Longoria SS Freddy Galvis OF Marwin González C Alex Avila 2B Devon Travis,,Buster Posey,C,5.06%,11
62,1155761098,BeltWieldindad (2/7),0,110.65,P Rich Hill P Gio Gonzalez OF Christian Yelich OF Rhys Hoskins OF Brett Gardner 3B Matt Chapman 2B César Hernández 1B Matt Olson SS Asdrúbal Cabrera C Jonathan Lucroy,,Edwin Encarnacion,1B,5.06%,0
63,1155671969,jgAllDay (3/7),0,110.15,P Zack Godley OF Giancarlo Stanton 2B Yoán Moncada 3B Yolmer Sánchez OF Daniel Palka OF Avisaíl García 1B Neil Walker C Omar Narváez SS Ronald Torreyes P Mike Foltynewicz,,Jed Lowrie,2B,5.06%,7
64,1155671968,jgAllDay (2/7),0,109.2,P Dan Straily 3B José Ramírez OF Michael Brantley 1B Justin Smoak OF Randal Grichuk SS Lourdes Gurriel Jr. C Yan Gomes OF Billy McKinney 2B Devon Travis P Mike Foltynewicz,,Trevor Story,SS,5.06%,3
65,1155815893,nyo420 (2/7),0,108.6,P Rich Hill P Alex Cobb OF David Peralta OF Khris Davis 3B Nolan Arenado OF Juan Soto SS Trea Turner C Yan Gomes 1B Ronald Guzmán 2B Brandon Lowe,,Blake Swihart,C,5.06%,3
66,1155830502,framos928 (4/4),0,108.4,P Rich Hill P Michael Fulmer SS Francisco Lindor OF Rhys Hoskins 3B Matt Chapman OF Whit Merrifield C Austin Romine 2B Neil Walker 1B Jake Bauers OF Alex Gordon,,Brandon Lowe,2B,5.06%,21
67,1155658047,jlew126,0,107.6,P CC Sabathia P Erasmo Ramírez 3B Matt Carpenter SS Paul DeJong 1B José Martínez 2B Kolten Wong C Yadier Molina OF Matt Kemp OF Chris Taylor OF Alex Gordon,,Mookie Betts,OF,5.06%,6
68,1155656414,Tack8413,0,107.4,P Jake Arrieta P Alex Cobb OF J.D. Martinez 1B Freddie Freeman OF Christian Yelich SS Manny Machado 2B Jose Altuve OF Shin-soo Choo 3B Matt Chapman C Jose Lobaton,,Brett Gardner,OF,4.64%,3
68,1155700027,Shaunovery (3/7),0,107.4,P CC Sabathia P Dan Straily C Wilson Ramos OF Rhys Hoskins 3B Matt Chapman 1B Carlos Santana 2B César Hernández SS Asdrúbal Cabrera OF Stephen Piscotty OF Nick Martini,,Jose Altuve,2B,4.64%,21
70,1155737279,fairwaysandgreen (1/2),0,107.3,P Hector Velázquez P Alex Cobb OF J.D. Martinez OF Mookie Betts 3B Nolan Arenado SS Manny Machado 1B Jesús Aguilar OF Nicholas Castellanos 2B Jose Altuve C Salvador Perez,,Marwin González,OF,4.64%,27
