Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
40,1159411648,metacognition (2/8),0,136.9,P German Márquez P Joe Musgrove OF Giancarlo Stanton 2B Gleyber Torres OF Gregory Polanco OF Starling Marte 3B Matt Chapman 1B Luke Voit SS Marcus Semien C Jonathan Lucroy,,Mike Zunino,C,8.00%,0
42,1159183290,notantswon,0,136.85,P Rick Porcello P German Márquez OF Giancarlo Stanton OF Aaron Hicks OF Jackie Bradley Jr. 1B Luke Voit SS Johan Camargo 3B Kyle Seager 2B Luis Urías C Sandy Leon,,Ronald Acuña Jr.,OF,7.79%,13
43,1159121538,Chowzor,0,136.6,P German Márquez P Robbie Ray OF Mookie Betts OF George Springer 1B Tyler White SS Carlos Correa 3B Johan Camargo 2B Ian Kinsler OF Josh Reddick C Sandy Leon,,Nicholas Castellanos,OF,7.79%,9
44,1159125828,draftkingzman (1/2),0,135.95,P J.A. Happ P German Márquez OF Giancarlo Stanton 3B Miguel Andújar 2B Gleyber Torres 1B Luke Voit C Francisco Arcia SS Andrelton Simmons OF Kole Calhoun OF Shane Robinson,,Shane Robinson,OF,7.79%,0
45,1159160179,bigmatt88 (1/6),0,135.9,P German Márquez P Joe Musgrove OF Giancarlo Stanton OF Aaron Hicks SS Xander Bogaerts 3B Miguel Andújar OF Jackie Bradley Jr. 1B Luke Voit 2B Ian Kinsler C Sandy Leon,,Manny Machado,SS,7.79%,19
45,1159160188,bigmatt88 (2/6),0,135.9,P German Márquez P Joe Musgrove OF Giancarlo Stanton OF Aaron Hicks SS Xander Bogaerts 3B Miguel Andújar OF Jackie Bradley Jr. 1B Luke Voit 2B Ian Kinsler C Sandy Leon,,Jackie Bradley Jr.,OF,7.58%,9
45,1159161800,bigmatt88 (3/6),0,135.9,P German Márquez P Joe Musgrove OF Giancarlo Stanton OF Aaron Hicks SS Xander Bogaerts 3B Miguel Andújar OF Jackie Bradley Jr. 1B Luke Voit 2B Ian Kinsler C Sandy Leon,,Charlie Blackmon,OF,7.58%,5
45,1159161808,bigmatt88 (4/6),0,135.9,P German Márquez P Joe Musgrove OF Giancarlo Stanton OF Aaron Hicks SS Xander Bogaerts 3B Miguel Andújar OF Jackie Bradley Jr. 1B Luke Voit 2B Ian Kinsler C Sandy Leon,,Greg Garcia,SS,7.37%,0
45,1159161812,bigmatt88 (5/6),0,135.9,P German Márquez P Joe Musgrove OF Giancarlo Stanton OF Aaron Hicks SS Xander Bogaerts 3B Miguel Andújar OF Jackie Bradley Jr. 1B Luke Voit 2B Ian Kinsler C Sandy Leon,,Paul Goldschmidt,1B,7.16%,6
45,1159161818,bigmatt88 (6/6),0,135.9,P German Márquez P Joe Musgrove OF Giancarlo Stanton OF Aaron Hicks SS Xander Bogaerts 3B Miguel Andújar OF Jackie Bradley Jr. 1B Luke Voit 2B Ian Kinsler C Sandy Leon,,Neil Walker,1B,6.95%,5
51,1159273286,melmarco (4/4),0,135.85,P Wade LeBlanc P Joe Musgrove OF Mookie Betts OF Giancarlo Stanton SS Manny Machado OF Nelson Cruz 2B Daniel Murphy 1B Freddie Freeman C Willson Contreras 3B Kyle Seager,,Trevor Story,SS,6.95%,8
52,1159126692,mirandatx (4/10),0,135.65,P Rich Hill P German Márquez OF Giancarlo Stanton 2B Jose Altuve OF Nelson Cruz 1B Luke Voit SS Marcus Semien OF Matt Adams 3B Jeimer Candelario C James McCann,,Starling Marte,OF,6.74%,9
53,1159388700,sasmallen (2/6),0,135.35,P German Márquez P John Gant SS Manny Machado 3B Justin Turner OF Aaron Hicks 1B Freddie Freeman 2B Brian Dozier OF Matt Kemp C Kyle Higashioka OF Steven Souza Jr.,,Nolan Arenado,3B,6.74%,2
53,1159388705,sasmallen (5/6),0,135.35,P German Márquez P John Gant SS Manny Machado 3B Justin Turner OF Aaron Hicks 1B Freddie Freeman 2B Brian Dozier OF Matt Kemp C Kyle Higashioka OF Steven Souza Jr.,,Gregory Polanco,OF,6.74%,2
55,1159369095,nyo420 (7/10),0,135.25,P German Márquez OF Giancarlo Stanton SS Manny Machado OF Khris Davis 3B Miguel Andújar 2B Gleyber Torres 1B Paul Goldschmidt OF Mitch Haniger C Jonathan Lucroy P Adam Ottavino,,Martín Maldonado,C,6.32%,3
