Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
32,1141366530,kevinthieleman (6/6),0,126.3,P Carlos Carrasco P Sal Romano OF Giancarlo Stanton OF Aaron Hicks 1B Joey Votto 2B Gleyber Torres SS José Peraza OF Brandon Guyer 3B Tim Beckham C Russell Martin,,Marcus Stroman,P,11.37%,2.05
34,1141486884,sinslappa-pick6 (9/10),0,125.1,P Carlos Carrasco P Sonny Gray OF Nelson Cruz 2B Gleyber Torres 3B Jeimer Candelario SS José Peraza OF JaCoby Jones C Russell Martin OF Mason Williams 1B Victor Martinez,,John Hicks,C,11.37%,5
35,1141488146,metacognition (1/3),0,124.35,P Carlos Carrasco P Adalberto Mejía OF Khris Davis 3B Eugenio Suárez OF Nicholas Castellanos SS José Peraza 1B Matt Olson 2B Franklin Barreto OF Stephen Piscotty C Jonathan Lucroy,,Mike Fiers,P,10.95%,5.3
36,1141319390,MisterTees (6/10),0,124.3,P Carlos Carrasco P Sal Romano 3B Alex Bregman OF Aaron Hicks 1B Greg Bird OF Randal Grichuk C Yan Gomes SS Marcus Semien 2B Franklin Barreto OF Preston Tucker,,Austin Romine,C,10.11%,3
37,1141424176,slowjamrob,0,123.4,P Carlos Carrasco P Sean Manaea OF Nelson Cruz 1B Joey Votto OF Brandon Guyer OF Jace Peterson 2B Niko Goodrum SS Tim Beckham 3B Danny Valencia C Caleb Joseph,,Eddie Rosario,OF,9.47%,0
38,1141395970,ratboy19 (1/2),0,122.65,P Dallas Keuchel P Alex Cobb SS Francisco Lindor OF Giancarlo Stanton 1B Edwin Encarnacion OF Aaron Hicks OF Brett Gardner 2B Gleyber Torres C Evan Gattis 3B Yangervis Solarte,,Russell Martin,C,9.26%,21
39,1141316746,jgAllDay (9/10),0,122.3,P Carlos Carrasco P Sal Romano OF Giancarlo Stanton OF Brett Gardner 2B Gleyber Torres 3B Miguel Andújar 1B Matt Olson OF Nick Martini SS Marcus Semien C Austin Romine,,Marcus Semien,SS,9.05%,10
40,1141484951,sinslappa-pick6 (3/10),0,120.65,P Dallas Keuchel P Sean Manaea SS Francisco Lindor OF Nelson Cruz 2B Gleyber Torres C Evan Gattis OF Brandon Guyer 1B Miguel Sanó 3B Tim Beckham OF JaCoby Jones,,Miguel Andújar,3B,8.42%,8
41,1141332360,s.torres,0,119.4,P Dallas Keuchel P Marcus Stroman OF Giancarlo Stanton 3B Alex Bregman OF Nelson Cruz 1B Joey Votto 2B Gleyber Torres OF Randal Grichuk C Tucker Barnhart SS Marwin González,,Alex Bregman,3B,8.21%,7
42,1141291697,cptnspaulding (7/10),0,118.4,P Carlos Carrasco P Sean Manaea OF Aaron Hicks OF Brett Gardner 1B Greg Bird 3B Miguel Andújar SS Tim Beckham C Austin Romine OF Renato Núñez 2B Breyvic Valera,,Yangervis Solarte,2B,8.21%,10
43,1141501072,jayace711 (2/2),0,117.65,P Dallas Keuchel P Sean Manaea 3B José Ramírez OF Aaron Hicks 2B Gleyber Torres 1B Greg Bird OF Mark Canha SS Marcus Semien C Austin Romine OF Mason Williams,,Miguel Sanó,1B,7.79%,3
44,1141493700,hitman_third (1/4),0,116.4,P Carlos Carrasco P Mike Fiers 3B José Ramírez 1B Justin Smoak OF Nick Martini 2B Niko Goodrum SS Marcus Semien OF Trey Mancini C Caleb Joseph OF Shane Robinson,,Nick Martini,OF,7.79%,6
45,1141436620,Emac (7/10),0,114.85,P Carlos Carrasco P Wade LeBlanc SS Didi Gregorius OF Aaron Hicks 2B Gleyber Torres 3B Miguel Sanó OF Rajai Davis 1B Logan Morrison OF JaCoby Jones C Curt Casali,,Matt Chapman,3B,7.79%,3
46,1141518795,tvand2514 (5/7),0,114.65,P Dallas Keuchel P Sean Manaea 3B José Ramírez SS Francisco Lindor 1B Edwin Encarnacion OF Rajai Davis 2B Erik González OF Trey Mancini OF Renato Núñez C Caleb Joseph,,Matt Olson,1B,7.16%,10
47,1141518793,tvand2514 (3/7),0,114.45,P Carlos Carrasco P Dallas Keuchel 2B Scooter Gennett OF Adam Jones SS José Peraza 1B Chris Davis OF Trey Mancini 3B Danny Valencia OF Billy Hamilton C Caleb Joseph,,Stephen Piscotty,OF,7.16%,0
48,1141442810,kapimpski1976,0,114.4,P Carlos Carrasco P Sean Manaea SS Jean Segura 2B Gleyber Torres OF Nicholas Castellanos OF Max Kepler OF Stephen Piscotty C Austin Romine 3B Yangervis Solarte 1B Yuli Gurriel,,Marwin González,OF,6.95%,28
49,1141471927,galexander21 (5/6),0,114.1,P Carlos Carrasco P Sonny Gray SS Didi Gregorius 2B Scooter Gennett 3B Eugenio Suárez OF Billy Hamilton 1B Yuli Gurriel OF Mason Williams OF Marwin González C Curt Casali,,Dee Gordon,2B,6.53%,0
49,1141521519,Johnben26,0,114.1,P Carlos Carrasco P Sonny Gray 3B Alex Bregman 1B Greg Bird OF Teoscar Hernández SS Marcus Semien 2B Erik González C Russell Martin OF Mason Williams OF Marwin González,,Jean Segura,SS,6.32%,0
51,1141484948,sinslappa-pick6 (2/10),0,113.8,P Wade LeBlanc P Marcus Stroman OF Khris Davis SS Didi Gregorius OF Giancarlo Stanton OF Nelson Cruz 1B Joey Votto 2B Gleyber Torres C Russell Martin 3B Renato Núñez,,Danny Valencia,OF,6.32%,8
52,1141513945,spookflyer (9/10),0,113.3,P Sonny Gray P Sean Manaea SS Didi Gregorius OF Giancarlo Stanton 3B Eugenio Suárez OF Brett Gardner 2B Gleyber Torres OF Billy Hamilton C Russell Martin 1B Yuli Gurriel,,Adam Jones,OF,6.11%,3
53,1141447084,aanderson61 (5/10),0,113.1,P Carlos Carrasco P Sonny Gray SS Didi Gregorius 3B Miguel Andújar OF Nick Martini 2B Niko Goodrum OF JaCoby Jones OF Billy Hamilton C Russell Martin 1B Victor Martinez,,Mark Canha,OF,6.11%,7
54,1141467069,crobi31725 (3/3),0,112.4,P Carlos Carrasco P Sean Manaea 3B José Ramírez OF Brandon Guyer 2B Niko Goodrum OF Rajai Davis SS Tim Beckham C John Hicks 1B Yuli Gurriel OF Mason Williams,,Mike Zunino,C,5.89%,5
55,1141489439,BigShotRobTX (3/10),0,112.3,P Sonny Gray P Sean Manaea 3B José Ramírez SS Didi Gregorius OF Giancarlo Stanton 2B Gleyber Torres OF Rajai Davis 1B Yuli Gurriel OF Mason Williams C Max Stassi,,Yuli Gurriel,1B,5.89%,5
56,1141513944,spookflyer (8/10),0,111.3,P Sonny Gray P Sean Manaea SS Didi Gregorius OF Giancarlo Stanton OF Brett Gardner 2B Gleyber Torres OF Randal Grichuk 3B Tim Beckham C Russell Martin 1B Yuli Gurriel,,Logan Morrison,1B,5.68%,0
56,1141513946,spookflyer (10/10),0,111.3,P Carlos Carrasco P Sal Romano 2B Scooter Gennett OF Nelson Cruz 3B Eugenio Suárez 1B Joey Votto OF Randal Grichuk SS José Peraza OF JaCoby Jones C Russell Martin,,Mitch Haniger,OF,5.47%,3
58,1141476169,brenmike922 (1/2),0,111.1,P Carlos Carrasco P Sonny Gray OF Giancarlo Stanton 1B Joey Votto 3B Jeimer Candelario SS José Peraza 2B Niko Goodrum OF Marwin González C Jonathan Lucroy OF Shane Robinson,,Shane Robinson,OF,5.47%,0
59,1141376017,jdavi733 (1/5),0,110.85,P Carlos Carrasco P Wade LeBlanc OF Eddie Rosario 2B Gleyber Torres OF Nicholas Castellanos 3B Jeimer Candelario 1B Miguel Sanó SS Marcus Semien OF Stephen Piscotty C Jonathan Lucroy,,Caleb Joseph,C,5.26%,9
59,1141384550,jdavi733 (2/5),0,110.85,P Carlos Carrasco P Wade LeBlanc OF Eddie Rosario 2B Gleyber Torres OF Nicholas Castellanos 3B Jeimer Candelario 1B Miguel Sanó SS Marcus Semien OF Stephen Piscotty C Jonathan Lucroy,,Chris Davis,1B,5.26%,7
59,1141384553,jdavi733 (3/5),0,110.85,P Carlos Carrasco P Wade LeBlanc OF Eddie Rosario 2B Gleyber Torres OF Nicholas Castellanos 3B Jeimer Candelario 1B Miguel Sanó SS Marcus Semien OF Stephen Piscotty C Jonathan Lucroy,,Joe Mauer,1B,5.05%,8
59,1141384556,jdavi733 (4/5),0,110.85,P Carlos Carrasco P Wade LeBlanc OF Eddie Rosario 2B Gleyber Torres OF Nicholas Castellanos 3B Jeimer Candelario 1B Miguel Sanó SS Marcus Semien OF Stephen Piscotty C Jonathan Lucroy,,Victor Martinez,1B,4.84%,3
59,1141384558,jdavi733 (5/5),0,110.85,P Carlos Carrasco P Wade LeBlanc OF Eddie Rosario 2B Gleyber Torres OF Nicholas Castellanos 3B Jeimer Candelario 1B Miguel Sanó SS Marcus Semien OF Stephen Piscotty C Jonathan Lucroy,,Billy Hamilton,OF,4.63%,13
64,1141467058,crobi31725 (2/3),0,110.4,P Carlos Carrasco P Sean Manaea 3B José Ramírez OF Brandon Guyer 2B Niko Goodrum OF Rajai Davis SS Tim Beckham C John Hicks OF Danny Valencia 1B Victor Martinez,,Preston Tucker,OF,4.63%,7
65,1141513938,spookflyer (2/10),0,110.3,P Sonny Gray P Sean Manaea OF Giancarlo Stanton 3B Alex Bregman 1B Joey Votto 2B Gleyber Torres OF Randal Grichuk SS José Peraza OF Billy Hamilton C Russell Martin,,Jonathan Lucroy,C,4.42%,23
66,1141364314,kevinthieleman (1/6),0,110.1,P Carlos Carrasco P Sonny Gray 1B Joey Votto 2B Gleyber Torres 3B Jeimer Candelario SS José Peraza OF Brandon Guyer OF JaCoby Jones OF Billy Hamilton C Curt Casali,,Teoscar Hernández,OF,4.42%,2
66,1141364411,kevinthieleman (3/6),0,110.1,P Carlos Carrasco P Sonny Gray 1B Joey Votto 2B Gleyber Torres 3B Jeimer Candelario SS José Peraza OF Brandon Guyer OF JaCoby Jones OF Billy Hamilton C Curt Casali,,Randal Grichuk,OF,4.42%,12
68,1141310730,aaasss1,0,109.65,P Dallas Keuchel P Sean Manaea 3B Eugenio Suárez OF Eddie Rosario 2B Gleyber Torres C Evan Gattis OF Mitch Haniger OF Teoscar Hernández 1B Matt Olson SS Jorge Polanco,,Jorge Polanco,SS,4.00%,6
69,1141363281,floyd31,0,109.5,P Sean Manaea P Sal Romano SS Francisco Lindor OF Khris Davis 1B Edwin Encarnacion OF Aaron Hicks OF Brett Gardner 2B Gleyber Torres 3B Miguel Andújar C Caleb Joseph,,Justin Smoak,1B,3.79%,3
70,1141469036,r2phantom,0,109.45,P Carlos Carrasco P Dallas Keuchel OF Khris Davis 3B Matt Chapman 1B Justin Smoak OF JaCoby Jones OF Billy Hamilton C Russell Martin SS Aledmys Díaz 2B Brandon Drury,,Erik González,2B,3.79%,3
71,1141447082,aanderson61 (3/10),0,108.65,P Dallas Keuchel P Sean Manaea OF Khris Davis 2B Gleyber Torres OF Nicholas Castellanos 3B Jeimer Candelario SS José Peraza 1B Matt Olson OF Nick Martini C Curt Casali,,Adalberto Mejía,P,3.37%,12.25
72,1141507345,sirpurr80,0,108.6,P Sean Manaea P Mike Fiers OF Khris Davis OF Giancarlo Stanton OF Aaron Hicks 2B Gleyber Torres 3B Jeimer Candelario 1B Chris Davis SS Marcus Semien C Austin Romine,,Max Stassi,C,2.74%,23
73,1141488678,CowboyDrew21,0,108.55,P Dallas Keuchel P Sal Romano OF Khris Davis OF Giancarlo Stanton OF Aaron Hicks 3B Eugenio Suárez 1B Joey Votto 2B Gleyber Torres C Evan Gattis SS Marcus Semien,,Phillip Ervin,OF,2.32%,8
74,1141417834,cheetah917 (4/4),0,108.3,P Sonny Gray P Sean Manaea SS Didi Gregorius OF Aaron Hicks OF Brett Gardner 2B Gleyber Torres 3B Miguel Andújar OF Mark Canha 1B Logan Morrison C Jonathan Lucroy,,Alex Cobb,P,2.32%,23.3
75,1141436619,Emac (6/10),0,107.85,P Carlos Carrasco P Wade LeBlanc SS Didi Gregorius OF Aaron Hicks 2B Gleyber Torres OF Brandon Guyer OF Rajai Davis 1B Logan Morrison 3B Brandon Drury C Curt Casali,,Melky Cabrera,OF,2.32%,3
76,1141399934,Curtistree,0,107.6,P Sean Manaea P Mike Fiers 3B Eugenio Suárez OF Brett Gardner OF Eddie Rosario 2B Gleyber Torres OF Adam Jones C Evan Gattis 1B Matt Olson SS Marcus Semien,,Max Kepler,OF,2.11%,3
77,1141344509,qtpie64 (3/4),0,107.4,P Carlos Carrasco P Sean Manaea OF Khris Davis 2B Jed Lowrie OF Mark Canha 1B Matt Olson OF Rajai Davis 3B Danny Valencia SS Ehire Adrianza C Curt Casali,,Josh Reddick,OF,2.11%,9
77,1141463987,Karackta (6/10),0,107.4,P Carlos Carrasco P Sean Manaea OF Adam Jones OF Nicholas Castellanos 3B Jeimer Candelario OF Jace Peterson 1B Chris Davis 2B Niko Goodrum SS Tim Beckham C John Hicks,,Franklin Barreto,2B,2.11%,26
79,1141316202,jordanh415 (1/3),0,107.3,P Carlos Carrasco P Sal Romano SS Francisco Lindor OF Khris Davis 1B Edwin Encarnacion 3B Eugenio Suárez OF Preston Tucker 2B Yangervis Solarte OF Mason Williams C Curt Casali,,Brandon Drury,2B,2.11%,2
79,1141376286,abragmania (1/10),0,107.3,P Sonny Gray P Sean Manaea 3B José Ramírez SS Francisco Lindor 2B Gleyber Torres C Yan Gomes OF Rajai Davis 1B Logan Morrison OF JaCoby Jones OF Marwin González,,Jake Cave,OF,1.89%,0
79,1141376287,abragmania (2/10),0,107.3,P Sonny Gray P Sean Manaea 3B José Ramírez SS Francisco Lindor 2B Gleyber Torres C Yan Gomes OF Rajai Davis 1B Logan Morrison OF JaCoby Jones OF Marwin González,,Yonder Alonso,1B,1.68%,0
79,1141376288,abragmania (3/10),0,107.3,P Sonny Gray P Sean Manaea 3B José Ramírez SS Francisco Lindor 2B Gleyber Torres C Yan Gomes OF Rajai Davis 1B Logan Morrison OF JaCoby Jones OF Marwin González,,Mitch Garver,C,1.68%,0
79,1141376289,abragmania (4/10),0,107.3,P Sonny Gray P Sean Manaea 3B José Ramírez SS Francisco Lindor 2B Gleyber Torres C Yan Gomes OF Rajai Davis 1B Logan Morrison OF JaCoby Jones OF Marwin González,,Jed Lowrie,2B,1.68%,0
79,1141376290,abragmania (5/10),0,107.3,P Sonny Gray P Sean Manaea 3B José Ramírez SS Francisco Lindor 2B Gleyber Torres C Yan Gomes OF Rajai Davis 1B Logan Morrison OF JaCoby Jones OF Marwin González,,Jace Peterson,3B,1.68%,6
79,1141376291,abragmania (6/10),0,107.3,P Sonny Gray P Sean Manaea 3B José Ramírez SS Francisco Lindor 2B Gleyber Torres C Yan Gomes OF Rajai Davis 1B Logan Morrison OF JaCoby Jones OF Marwin González,,Jim Adduci,1B,1.26%,19
79,1141376292,abragmania (7/10),0,107.3,P Sonny Gray P Sean Manaea 3B José Ramírez SS Francisco Lindor 2B Gleyber Torres C Yan Gomes OF Rajai Davis 1B Logan Morrison OF JaCoby Jones OF Marwin González,,Aledmys Díaz,SS,1.26%,2
