"Russell Martin",2900,TOR,C,MIN,,0.999,6.45
"Aledmys Diaz",3500,TOR,SS,MIN,,0.999,5.3
"Gregory Bird",3700,NYY,1B,TBR,,0.999,6.86
"Aaron Hicks",3700,NYY,OF,TBR,,0.999,7.4
"Didi Gregorius",4100,NYY,SS,TBR,,0.776,8.47
"Neil Walker",3000,NYY,1B/2B,TBR,,0.999,5.64
"Kevin Kiermaier",3700,TBR,OF,NYY,,0.752,7.54
"Mallex Smith",4100,TBR,OF,NYY,,0.999,5.61
"Joseph Wendle",3800,TBR,2B,NYY,,0.999,6.04
"Brett Gardner",3900,NYY,OF,TBR,,0.736,8.25
"Harrison Bader",4000,STL,OF,CIN,,0.755,6.45
"Eugenio Suarez",5000,CIN,3B,STL,,0.999,7.8
"Jose Peraza",4400,CIN,SS,STL,,0.742,7.67
"Adam Duvall",4000,CIN,OF,STL,,0.999,7.59
"Tucker Barnhart",3200,CIN,C,STL,,0.727,7.49
"Billy Hamilton",4000,CIN,OF,STL,,0.999,6.18
"Phillip Ervin",4000,CIN,OF,STL,,0.999,6.27
"Jakob Bauers",4000,TBR,1B/OF,NYY,,0.999,6.73
"Aaron Judge",4900,NYY,OF,TBR,,0.79,9.87
"Colin Moran",3600,PIT,3B,CLE,,0.999,7.56
"Gregory Polanco",4600,PIT,OF,CLE,,0.753,8.94
"Corey Dickerson",4700,PIT,OF,CLE,,0.742,8.76
"Josh Bell",4100,PIT,1B,CLE,,0.999,6.81
"Francisco Lindor",5700,CLE,SS,PIT,,0.833,9.68
"Jose Ramirez",5900,CLE,3B,PIT,,0.765,10.15
"Michael Brantley",5000,CLE,OF,PIT,,0.746,9.33
"Jesus Sucre",2400,TBR,C,NYY,,0.999,4.39
"Adeiny Hechavarria",3000,TBR,SS,NYY,,0.999,4.24
"Gary Sanchez",3800,NYY,C,TBR,,0.807,6.75
"Giancarlo Stanton",4700,NYY,OF,TBR,,0.78,9.86
"Miguel Andujar",3400,NYY,3B,TBR,,0.999,4.9
"Matt Duffy",3800,TBR,3B,NYY,,0.999,5.85
"Carlos Gomez",3800,TBR,OF,NYY,,0.999,6.44
"C.J. Cron",4100,TBR,1B,NYY,,0.999,6.32
"Tommy Pham",4900,STL,OF,CIN,,0.778,9.23
"Jose Martinez",4000,STL,1B,CIN,,0.737,7.78
"Michael Conforto",3500,NYM,OF,SDP,,0.999,6.74
"Freddy Galvis",2900,SDP,SS,NYM,,0.999,6.02
"Eric Hosmer",3500,SDP,1B,NYM,,0.754,7.75
"Brandon Nimmo",3900,NYM,OF,SDP,,0.999,5.35
"Wil Myers",4400,SDP,OF,NYM,,0.779,8.35
"Christian Villanueva",3300,SDP,3B,NYM,,0.999,5.53
"Hunter Renfroe",3300,SDP,OF,NYM,,0.999,6.09
"Carlos Asuaje",3500,SDP,2B,NYM,,0.999,6.29
"Travis Jankowski",3600,SDP,OF,NYM,,0.756,7.52
"Mitch Garver",3100,MIN,C,TOR,,0.999,6.28
"Robbie Grossman",3400,MIN,OF,TOR,,0.999,5.94
"Jorge Polanco",3700,MIN,SS,TOR,,0.999,5.92
"Bobby Wilson",2600,MIN,C,TOR,,0.999,3.82
"Ehire Adrianza",3100,MIN,SS,TOR,,0.771,6.04
"Lourdes Gurriel",3400,TOR,2B/SS,MIN,,0.999,5.57
"Austin Hedges",2900,SDP,C,NYM,,0.999,5.98
"Wilmer Flores",3600,NYM,1B/3B,SDP,,0.744,7.55
"Joey Votto",4700,CIN,1B,STL,,0.745,8.19
"Greg Garcia",2900,STL,2B/SS,CIN,,0.999,6.22
"Scooter Gennett",4900,CIN,2B,STL,,0.734,7.44
"Yadier Molina",4300,STL,C,CIN,,0.999,7.42
"Marcell Ozuna",3600,STL,OF,CIN,,0.814,8.2
"Paul DeJong",4000,STL,SS,CIN,,0.755,8.67
"Dexter Fowler",3700,STL,OF,CIN,,0.999,8.25
"Matt Carpenter",5400,STL,1B/3B,CIN,,0.765,10.14
"Amed Rosario",3400,NYM,SS,SDP,,0.777,7.1
"Jose Bautista",3600,NYM,3B/OF,SDP,,0.736,7.55
"Asdrubal Cabrera",4100,NYM,2B,SDP,,0.753,7.68
"Kevin Plawecki",3100,NYM,C,SDP,,0.999,5.66
"Devin Mesoraco",2900,NYM,C,SDP,,0.725,4.72
"Jose Reyes",2900,NYM,3B/SS,SDP,,0.999,6.31
"Freddie Freeman",5100,ATL,1B,MIA,,0.763,7.79
