Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RP,Chaz Roe (10861837),Chaz Roe,10861837,P,4000,HOU@TB 06/28/2018 07:10PM ET,TB,2.82
RP,Sergio Romo (10861838),Sergio Romo,10861838,P,4000,HOU@TB 06/28/2018 07:10PM ET,TB,2.55
RP,Jonny Venters (10861840),Jonny Venters,10861840,P,4000,HOU@TB 06/28/2018 07:10PM ET,TB,1.64
RP,Ryan Weber (10861845),Ryan Weber,10861845,P,4000,HOU@TB 06/28/2018 07:10PM ET,TB,-2.45
RP,Evan Scribner (10861850),Evan Scribner,10861850,P,4000,HOU@TB 06/28/2018 07:10PM ET,TB,0
RP,Vidal Nuno (10861852),Vidal Nuno,10861852,P,4000,HOU@TB 06/28/2018 07:10PM ET,TB,6.97
SP,Austin Franklin (10861858),Austin Franklin,10861858,P,4000,HOU@TB 06/28/2018 07:10PM ET,TB,0
RP,Jose Alvarado (10861861),Jose Alvarado,10861861,P,4000,HOU@TB 06/28/2018 07:10PM ET,TB,2.86
RP,Chih-Wei Hu (10861862),Chih-Wei Hu,10861862,P,4000,HOU@TB 06/28/2018 07:10PM ET,TB,1.6
RP,Diego Castillo (10861864),Diego Castillo,10861864,P,4000,HOU@TB 06/28/2018 07:10PM ET,TB,5.24
RP,Hunter Wood (10861865),Hunter Wood,10861865,P,4000,HOU@TB 06/28/2018 07:10PM ET,TB,2.25
RP,Tony Sipp (10861866),Tony Sipp,10861866,P,4000,HOU@TB 06/28/2018 07:10PM ET,HOU,2.79
RP,Joe Smith (10861871),Joe Smith,10861871,P,4000,HOU@TB 06/28/2018 07:10PM ET,HOU,2.39
RP,Will Harris (10861873),Will Harris,10861873,P,4000,HOU@TB 06/28/2018 07:10PM ET,HOU,2.92
RP,Hector Rondon (10861883),Hector Rondon,10861883,P,4000,HOU@TB 06/28/2018 07:10PM ET,HOU,3.40
RP,Ken Giles (10861889),Ken Giles,10861889,P,4000,HOU@TB 06/28/2018 07:10PM ET,HOU,2.33
RP,Jandel Gustave (10861895),Jandel Gustave,10861895,P,4000,HOU@TB 06/28/2018 07:10PM ET,HOU,0
SP,Franklin Perez (10861903),Franklin Perez,10861903,P,4000,HOU@TB 06/28/2018 07:10PM ET,HOU,0
SP,J.B. Bukauskas (10861919),J.B. Bukauskas,10861919,P,4000,HOU@TB 06/28/2018 07:10PM ET,HOU,0
SP,Cionel Perez (10861928),Cionel Perez,10861928,P,4000,HOU@TB 06/28/2018 07:10PM ET,HOU,0
RP,Chris Devenski (10861929),Chris Devenski,10861929,P,4000,HOU@TB 06/28/2018 07:10PM ET,HOU,4.08
RP,Francis Martes (10861947),Francis Martes,10861947,P,4000,HOU@TB 06/28/2018 07:10PM ET,HOU,0
RP,David Hernandez (10861867),David Hernandez,10861867,P,4000,MIL@CIN 06/28/2018 07:10PM ET,CIN,4.56
RP,Jeremy Jeffress (10861868),Jeremy Jeffress,10861868,P,4000,MIL@CIN 06/28/2018 07:10PM ET,MIL,4.01
RP,Jared Hughes (10861872),Jared Hughes,10861872,P,4000,MIL@CIN 06/28/2018 07:10PM ET,CIN,3.46
RP,Matt Albers (10861875),Matt Albers,10861875,P,4000,MIL@CIN 06/28/2018 07:10PM ET,MIL,3.34
RP,Dan Jennings (10861877),Dan Jennings,10861877,P,4000,MIL@CIN 06/28/2018 07:10PM ET,MIL,2.51
SP,Vance Worley (10861880),Vance Worley,10861880,P,4000,MIL@CIN 06/28/2018 07:10PM ET,CIN,0
RP,Dylan Floro (10861891),Dylan Floro,10861891,P,4000,MIL@CIN 06/28/2018 07:10PM ET,CIN,3.45
RP,Jacob Barnes (10861893),Jacob Barnes,10861893,P,4000,MIL@CIN 06/28/2018 07:10PM ET,MIL,3.26
RP,Michael Lorenzen (10861899),Michael Lorenzen,10861899,P,4000,MIL@CIN 06/28/2018 07:10PM ET,CIN,2.68
SP,Nathan Kirby (10861905),Nathan Kirby,10861905,P,4000,MIL@CIN 06/28/2018 07:10PM ET,MIL,0
SP,Tony Santillan (10861906),Tony Santillan,10861906,P,4000,MIL@CIN 06/28/2018 07:10PM ET,CIN,0
SP,Luis Ortiz (10861910),Luis Ortiz,10861910,P,4000,MIL@CIN 06/28/2018 07:10PM ET,MIL,0
SP,Marcos Diplan (10861912),Marcos Diplan,10861912,P,4000,MIL@CIN 06/28/2018 07:10PM ET,MIL,0
SP,Kodi Medeiros (10861913),Kodi Medeiros,10861913,P,4000,MIL@CIN 06/28/2018 07:10PM ET,MIL,0
SP,Cody Ponce (10861914),Cody Ponce,10861914,P,4000,MIL@CIN 06/28/2018 07:10PM ET,MIL,0
RP,Raisel Iglesias (10861916),Raisel Iglesias,10861916,P,4000,MIL@CIN 06/28/2018 07:10PM ET,CIN,3.74
