"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Adrian Beltre","Rangers","TEX @ KC","3B","4.56","1.24",".83",".26",".01",".14",".57",".67",".01",".00",".36",".62","7.12","11.13","8.52","639"
"Francisco Lindor","Indians","CWS @ CLE","SS","4.57","1.10",".65",".28",".02",".15",".62",".47",".08",".04",".47",".84","7.17","11.12","8.52","12916"
"Derek Dietrich","Marlins","MIA @ SF","LF","4.80","1.22",".77",".25",".05",".14",".63",".44",".02",".02",".47",".89","7.15","11.07","8.57","10542"
"Juan Soto","Nationals","BAL @ WSH","LF","4.15",".98",".60",".18",".01",".19",".52",".61",".05",".03",".61",".68","7.19","11.20","8.43","20123"
"Adam Duvall","Reds","DET @ CIN","LF","4.06",".89",".42",".19",".01",".27",".51",".71",".03",".02",".41","1.05","7.18","11.23","8.38","10950"
"Jean Segura","Mariners","SEA @ NYY","SS","4.67","1.23",".90",".21",".02",".10",".57",".50",".17",".09",".31",".87","7.03","10.91","8.56","5933"
"Kurt Suzuki","Braves","ATL @ TOR","C","4.40","1.07",".60",".26",".00",".20",".53",".71",".01",".01",".35",".54","7.07","11.07","8.35","8259"
"Whit Merrifield","Royals","TEX @ KC","2B","4.53","1.16",".74",".28",".04",".10",".54",".44",".15",".09",".41",".73","7.05","10.90","8.50","11281"
"Mitch Haniger","Mariners","SEA @ NYY","RF","4.57",".97",".58",".18",".01",".19",".58",".58",".05",".04",".55","1.30","7.09","11.05","8.31","14274"
"Mitch Moreland","Red Sox","BOS @ MIN","1B","4.38","1.03",".56",".26",".01",".21",".58",".64",".01",".01",".37",".93","7.07","11.04","8.32","3086"
"Noel Cuevas","Rockies","NYM @ COL","RF","4.17","1.20",".83",".19",".07",".11",".57",".59",".09",".05",".28",".73","6.95","10.83","8.42","11894"
"Teoscar Hernandez","Blue Jays","ATL @ TOR","RF","4.32","1.00",".51",".25",".04",".20",".54",".59",".09",".06",".27","1.06","7.01","10.91","8.34","13066"
"Lorenzo Cain","Brewers","MIL @ PIT","CF","4.57","1.24",".93",".21",".02",".08",".55",".49",".13",".05",".44",".75","6.95","10.78","8.42","9077"
"Justin Bour","Marlins","MIA @ SF","1B","4.47","1.00",".64",".19",".01",".17",".55",".62",".00",".00",".63",".87","7.04","10.98","8.22","9744"
"Jedd Gyorko","Cardinals","STL @ PHI","3B","4.31",".96",".55",".16",".01",".24",".55",".64",".03",".02",".40","1.22","7.01","10.95","8.25","10816"
"Justin Turner","Dodgers","","3B","4.61","1.08",".69",".25",".01",".12",".56",".54",".03",".02",".63",".54","7.02","10.92","8.26","5235"
"Jonathan Schoop","Orioles","BAL @ WSH","2B","4.31","1.14",".71",".22",".00",".21",".56",".63",".01",".01",".25",".88","6.94","10.83","8.31","11265"
"Edwin Encarnacion","Indians","CWS @ CLE","DH","4.27",".89",".49",".19",".00",".20",".53",".65",".01",".01",".65","1.08","7.03","10.98","8.13","2151"
"Cesar Hernandez","Phillies","STL @ PHI","2B","4.63","1.11",".81",".17",".04",".08",".64",".35",".13",".07",".62","1.05","6.97","10.76","8.34","10556"
"Ryan Braun","Brewers","MIL @ PIT","1B","4.37","1.08",".67",".25",".02",".15",".51",".64",".09",".06",".34",".83","6.92","10.81","8.25","3410"
"Starling Marte","Pirates","MIL @ PIT","CF","4.46","1.05",".76",".16",".04",".09",".52",".47",".19",".08",".54","1.15","6.94","10.75","8.31","9241"
"Travis Shaw","Brewers","MIL @ PIT","3B","4.47","1.00",".60",".24",".01",".16",".56",".65",".02",".02",".48",".82","6.96","10.88","8.16","11982"
"Yasmani Grandal","Dodgers","","C","4.68",".84",".52",".17",".01",".13",".57",".64",".02",".01",".84","1.17","7.03","10.98","8.03","11368"
"Yadier Molina","Cardinals","STL @ PHI","C","4.42","1.13",".73",".23",".00",".17",".55",".64",".04",".03",".28",".81","6.87","10.73","8.21","7007"
"Chris Taylor","Dodgers","","SS","4.84","1.06",".67",".24",".06",".08",".57",".39",".11",".06",".63","1.10","6.93","10.70","8.23","13757"
"Yasmani Grandal","Dodgers","LAD @ CHC","C","4.64",".86",".52",".18",".01",".14",".57",".64",".02",".01",".77","1.16","6.99","10.91","8.01","11368"
"Odubel Herrera","Phillies","STL @ PHI","CF","4.41","1.19",".80",".24",".03",".11",".56",".55",".06",".04",".37",".98","6.85","10.67","8.24","11476"
"David Peralta","Diamondbacks","ARI @ LAA","LF","4.49","1.07",".70",".19",".02",".17",".51",".62",".04",".03",".42",".96","6.87","10.72","8.17","2136"
"Mark Trumbo","Orioles","BAL @ WSH","DH","4.43","1.05",".64",".19",".00",".21",".57",".65",".01",".01",".32","1.05","6.87","10.75","8.14","6876"
"Ian Kinsler","Angels","ARI @ LAA","2B","4.57","1.09",".69",".21",".01",".18",".63",".50",".08",".05",".28",".37","6.86","10.66","8.22","6195"
"Yasiel Puig","Dodgers","","RF","4.41",".99",".62",".21",".02",".14",".51",".58",".08",".05",".55",".74","6.90","10.74","8.13","14225"
"Matt Kemp","Dodgers","LAD @ CHC","LF","4.53","1.05",".66",".24",".01",".13",".56",".69",".01",".01",".43","1.11","6.82","10.69","8.03","5631"
"Devin Mesoraco","Mets","NYM @ COL","C","4.32",".97",".58",".20",".01",".18",".56",".61",".02",".01",".48",".87","6.84","10.68","8.02","5666"
"Miguel Andujar","Yankees","SEA @ NYY","3B","4.15","1.15",".70",".28",".02",".16",".53",".61",".04",".02",".23",".72","6.76","10.56","8.13","15878"
"Michael Brantley","Indians","CWS @ CLE","LF","4.47","1.22",".85",".25",".01",".11",".59",".50",".08",".04",".33",".59","6.76","10.51","8.17","4106"
"Scooter Gennett","Reds","DET @ CIN","2B","4.17","1.12",".72",".21",".02",".17",".53",".69",".02",".01",".24",".92","6.76","10.59","8.09","10339"
"Marcus Semien","Athletics","OAK @ SD","SS","4.78","1.10",".73",".22",".02",".13",".56",".41",".10",".05",".46","1.00","6.80","10.51","8.16","12533"
"Kyle Seager","Mariners","SEA @ NYY","3B","4.36",".93",".52",".20",".01",".21",".55",".60",".02",".01",".45",".97","6.82","10.64","7.99","9785"
"J.T. Realmuto","Marlins","MIA @ SF","C","4.58","1.20",".79",".26",".04",".10",".54",".54",".05",".03",".34",".80","6.74","10.50","8.14","11739"
"Hunter Renfroe","Padres","OAK @ SD","LF","4.23","1.03",".58",".23",".02",".20",".51",".68",".02",".01",".27",".95","6.76","10.58","8.02","15464"
"Brian Anderson","Marlins","MIA @ SF","RF","4.68","1.20",".80",".26",".04",".10",".62",".45",".02",".02",".41",".93","6.75","10.48","8.12","18289"
"Justin Smoak","Blue Jays","ATL @ TOR","1B","4.22",".90",".47",".23",".01",".19",".53",".57",".01",".00",".57",".94","6.80","10.59","7.90","9054"
"Kyle Schwarber","Cubs","LAD @ CHC","LF","4.09",".79",".40",".14",".03",".22",".49",".61",".03",".02",".60","1.28","6.80","10.61","7.87","16478"
"Gerardo Parra","Rockies","NYM @ COL","LF","4.28","1.23",".86",".26",".03",".09",".54",".59",".06",".04",".28",".67","6.66","10.40","8.06","8553"
"John Hicks","Tigers","DET @ CIN","C","4.43","1.10",".69",".25",".01",".16",".53",".62",".04",".02",".27","1.11","6.69","10.45","8.00","12547"
"Salvador Perez","Royals","TEX @ KC","C","4.32","1.03",".57",".22",".01",".22",".51",".62",".01",".01",".26",".78","6.69","10.45","7.96","7304"
"Joe Panik","Giants","MIA @ SF","2B","4.65","1.15",".78",".22",".06",".10",".63",".41",".03",".02",".46",".34","6.67","10.34","8.01","11936"
"Dominic Smith","Mets","NYM @ COL","1B","4.43","1.07",".67",".25",".02",".13",".56",".58",".01",".01",".46","1.05","6.69","10.44","7.91","15653"
"Willson Contreras","Cubs","","C","4.22",".90",".55",".20",".03",".12",".49",".60",".04",".03",".68",".95","6.72","10.48","7.81","11609"
"Anthony Rizzo","Cubs","","1B","4.31",".85",".53",".16",".02",".14",".53",".56",".03",".02",".76",".76","6.74","10.50","7.78","3473"
"Xander Bogaerts","Red Sox","BOS @ MIN","SS","4.59","1.11",".74",".25",".01",".12",".56",".56",".05",".03",".36",".98","6.62","10.33","7.92","12161"
"Amed Rosario","Mets","NYM @ COL","SS","4.21","1.18",".82",".21",".06",".08",".48",".55",".12",".06",".21",".86","6.47","10.08","7.92","15518"
"Dee Gordon","Mariners","SEA @ NYY","2B","4.79","1.23",".99",".17",".03",".04",".49",".36",".28",".11",".24",".90","6.46","9.96","8.03","8203"
"Matt Kemp","Dodgers","","LF","4.51","1.08",".69",".24",".01",".13",".51",".60",".01",".01",".39",".96","6.53","10.20","7.77","5631"
"Nick Williams","Phillies","STL @ PHI","RF","4.10",".99",".59",".18",".04",".19",".47",".61",".04",".03",".29","1.24","6.52","10.17","7.78","14330"
"Chad Pinder","Athletics","OAK @ SD","LF","4.66",".99",".58",".21",".02",".18",".57",".47",".04",".03",".38","1.42","6.54","10.16","7.77","15191"
"Dexter Fowler","Cardinals","STL @ PHI","RF","4.20",".89",".51",".18",".04",".16",".47",".51",".06",".04",".57","1.09","6.58","10.21","7.72","4062"
"Brian Dozier","Twins","BOS @ MIN","2B","4.08",".90",".49",".20",".02",".19",".49",".53",".06",".03",".42","1.10","6.54","10.18","7.72","9810"
"Ian Happ","Cubs","LAD @ CHC","CF","4.20",".78",".40",".16",".03",".19",".50",".59",".05",".03",".51","1.68","6.57","10.25","7.62","17919"
"Mike Moustakas","Royals","TEX @ KC","3B","4.42","1.04",".65",".19",".01",".18",".56",".54",".01",".01",".33",".68","6.49","10.12","7.73","4892"
"Dansby Swanson","Braves","ATL @ TOR","SS","4.70","1.02",".62",".26",".02",".12",".60",".45",".05",".03",".44","1.16","6.51","10.11","7.71","18314"
"Chris Taylor","Dodgers","LAD @ CHC","SS","4.31",".88",".55",".19",".07",".07",".45",".52",".09",".05",".70","1.10","6.54","10.16","7.65","13757"
"Scott Kingery","Phillies","STL @ PHI","SS","4.21","1.01",".64",".21",".03",".13",".47",".60",".10",".05",".29","1.09","6.45","10.07","7.73","17975"
"Matt Olson","Athletics","OAK @ SD","1B","4.35",".83",".46",".14",".01",".21",".51",".59",".02",".01",".50","1.36","6.52","10.17","7.58","14344"
"Trey Mancini","Orioles","BAL @ WSH","LF","4.20","1.06",".68",".20",".01",".17",".52",".54",".01",".01",".37",".95","6.45","10.05","7.70","15149"
"Ian Happ","Cubs","","CF","4.23",".77",".42",".14",".03",".18",".49",".58",".06",".04",".57","1.69","6.53","10.18","7.57","17919"
"Jose Abreu","White Sox","CWS @ CLE","1B","4.41","1.11",".64",".32",".01",".14",".48",".51",".01",".01",".34",".96","6.45","10.02","7.72","15676"
"Mark Canha","Athletics","OAK @ SD","LF","4.24",".95",".52",".24",".01",".18",".48",".53",".03",".02",".41","1.07","6.46","10.04","7.62","11445"
"Evan Gattis","Astros","TB @ HOU","DH","4.06",".88",".48",".19",".02",".19",".51",".62",".02",".01",".41",".98","6.45","10.09","7.55","11003"
"Albert Pujols","Angels","ARI @ LAA","1B","4.26","1.06",".70",".16",".00",".20",".50",".63",".01",".01",".21",".42","6.37","9.98","7.65","1177"
"Rafael Devers","Red Sox","BOS @ MIN","3B","4.27","1.00",".58",".22",".01",".18",".49",".56",".03",".02",".28","1.04","6.37","9.93","7.60","17350"
"Rougned Odor","Rangers","TEX @ KC","2b","4.12",".96",".57",".20",".03",".16",".51",".54",".08",".07",".27",".86","6.37","9.92","7.60","12282"
"Yasiel Puig","Dodgers","LAD @ CHC","RF","4.20",".87",".55",".18",".02",".12",".44",".58",".07",".05",".58",".83","6.42","10.00","7.50","14225"
"Jurickson Profar","Rangers","TEX @ KC","SS","4.46","1.04",".66",".25",".04",".09",".54",".56",".04",".02",".36",".53","6.34","9.90","7.55","10815"
"Luis Valbuena","Angels","ARI @ LAA","1B","3.93",".88",".48",".17",".00",".23",".51",".57",".01",".01",".36",".81","6.37","9.94","7.49","4969"
"Yangervis Solarte","Blue Jays","ATL @ TOR","2B","4.42","1.05",".65",".24",".01",".15",".57",".49",".02",".01",".31",".54","6.33","9.85","7.56","5352"
"Eddie Rosario","Twins","BOS @ MIN","LF","4.38","1.08",".67",".22",".03",".16",".50",".48",".08",".06",".17","1.14","6.29","9.78","7.64","12155"
