,Umpire Id,Umpire Name,AB,K,Walk,1H/2H/3H/HR,K%,Walk%,Hit%,K Factor,Walk Factor,Hit Factor
139,joneb901,Bob Jones,65.0,15.0,5.0,22.0,23.076923076923077,7.6923076923076925,33.84615384615385,1.1749875523036033,0.7641533706191209,0.9877356931765947
140,waldl901,Larry Walding,74.0,16.0,7.0,30.0,21.62162162162162,9.45945945945946,40.54054054054054,1.100889238194367,0.9397021179235137,1.1830986496894103
141,costp901,Perry Costello,82.0,16.0,9.0,28.0,19.51219512195122,10.975609756097562,34.146341463414636,0.9934854100778433,1.0903163946638679,0.9964960984375846
142,fordw901,Wade Ford,60.0,13.0,12.0,12.0,21.666666666666668,20.0,20.0,1.1031827574406052,1.9867987636097144,0.5836620005134423
143,homob901,Bob Homolka,105.0,33.0,14.0,26.0,31.428571428571427,13.333333333333334,24.761904761904763,1.6002211426610977,1.324532509073143,0.7226291434928334
144,nauep901,Paul Nauert,37814.0,7882.0,3389.0,13048.0,20.84413180303591,8.9622890992754,34.50573861532766,1.061302467642857,0.8903132450776594,1.006984421470804
145,gibbb901,Brian Gibbons,2301.0,457.0,233.0,807.0,19.860930030421557,10.126032159930464,35.071707953063886,1.0112416410597866,1.0059194087811025,1.0235011612654237
146,drecb901,Bruce Dreckman,32333.0,6499.0,3054.0,11219.0,20.10020721863112,9.445458200600006,34.69829585872019,1.0234247088266324,0.9383112337339665,1.012603838765396
147,dimur901,Ray DiMuro,1680.0,314.0,160.0,620.0,18.69047619047619,9.523809523809524,36.904761904761905,0.951646664385577,0.9460946493379593,1.0769953580902805
148,everm901,Mike Everitt,44220.0,9252.0,4057.0,15440.0,20.922659430122117,9.174581637268204,34.91632745364089,1.0653007902975138,0.9114023726780429,1.0189666766087235
149,coope901,Eric Cooper,43993.0,9050.0,3898.0,15521.0,20.571454549587433,8.860500534175891,35.28061282476757,1.0474187979035976,0.8802015753131938,1.0295976530322026
150,buckc901,CB Bucknor,43826.0,8900.0,4116.0,15545.0,20.307579975357093,9.391685300962898,35.46981244010405,1.033983326499695,0.9329694372082308,1.0351190843313858
151,holbs901,Sam Holbrook,35908.0,7160.0,3540.0,12713.0,19.93984627381085,9.858527347666259,35.40436671493817,1.0152597505515892,0.9793454972677941,1.0332091751876171
152,nelsj901,Jeff Nelson,43983.0,9110.0,4092.0,15290.0,20.71254802992065,9.303594570629562,34.76343132573949,1.0546027315047157,0.9242185095026433,1.014504693614639
153,diazl901,Laz Diaz,43421.0,8865.0,3923.0,15180.0,20.416388383501072,9.034798830059188,34.96004237580894,1.039523429256418,0.8975163572512045,1.0202424135549681
154,fostm901,Marty Foster,41933.0,8492.0,3843.0,14712.0,20.251353349390694,9.164619750554456,35.0845396227315,1.0311204844562245,0.9104127594677381,1.0238756291648299
155,millb901,Bill Miller,44511.0,9515.0,3637.0,15353.0,21.37673833434432,8.171013906674753,34.4925973354901,1.0884207295739197,0.8117080163609591,1.0066009181868392
156,dimum901,Mike DiMuro,30503.0,6140.0,2901.0,10650.0,20.12916762285677,9.51053994689047,34.91459856407567,1.0248992604538747,0.9447764503871392,1.0189162222516084
157,schrp901,Paul Schrieber,37851.0,7258.0,4024.0,13408.0,19.1751869171224,10.631159018255792,35.423106390848325,0.976326257430928,1.0560986796604437,1.033756057024152
158,gibsg901,Greg Gibson,41824.0,8399.0,4257.0,14652.0,20.081771231828615,10.17836648814078,35.032517214996176,1.0224860197763128,1.0111182977102326,1.0223574540363138
159,wendh902,Hunter Wendelstedt,41069.0,8410.0,3920.0,14184.0,20.47773259636222,9.54491222089654,34.536998709488905,1.0426468390055186,0.948190989962025,1.0078966879255236
160,connp901,Pat Connors,745.0,149.0,68.0,259.0,20.0,9.12751677852349,34.76510067114094,1.0183225453297895,0.9067269525198696,1.014553410288467
161,wegnm901,Mark Wegner,40820.0,8259.0,4129.0,14240.0,20.232729054385103,10.11513963743263,34.88486036256737,1.0301722074814712,1.0048373462695384,1.018048369342408
162,eddid901,Doug Eddings,42172.0,9085.0,3252.0,14474.0,21.542729773309304,7.711277624964431,34.32135065920516,1.0968723708054084,0.7660378425565294,1.0016034093037518
163,rungb901,Brian Runge,26781.0,5420.0,2468.0,9255.0,20.23822859489937,9.215488592658975,34.55808222247116,1.0304522227862027,0.9154660670977139,1.0085119701937773
164,hudsm901,Marvin Hudson,41307.0,8472.0,3973.0,14525.0,20.50984094705498,9.61822451400489,35.16353160481274,1.0442816718757082,0.9554738286272781,1.026180860079133
165,kulpr901,Ron Kulpa,41210.0,8667.0,3791.0,13999.0,21.03130308177627,9.199223489444309,33.969910215967,1.0708325042918327,0.9138502927498698,0.991347287695666
