,Park ID,AB,H,2H,3H,HR,RBI,Hits Per AB,Doubles Per AB,Triples Per AB,HR Per AB,Runs Per AB,Hits Factor,Double Factor,Triple Factor,HR Factor,RBI Factor
33,LAS01,457.0,121.0,18.0,4.0,23.0,80.0,0.2647702407002188,0.03938730853391685,0.0087527352297593,0.05032822757111598,0.175054704595186,1.0136550486832838,0.793737908005508,1.4498483647801297,1.7470020572545428,1.3830738035802073
34,MNT01,294.0,94.0,17.0,0.0,10.0,50.0,0.3197278911564626,0.05782312925170068,0.0,0.034013605442176874,0.17006802721088435,1.224056715054155,1.1652588449158716,0.0,1.180686099031834,1.3436750175088323
35,ATL02,109709.0,28220.0,5342.0,539.0,3008.0,13214.0,0.25722593406192745,0.048692450026889315,0.004912997110537877,0.027417987585339396,0.1204459068991605,0.9847721784162383,0.9812562690523712,0.8138142694713649,0.9517378820798661,0.9516201176421886
36,HON01,199.0,44.0,7.0,3.0,1.0,12.0,0.22110552763819097,0.035175879396984924,0.01507537688442211,0.005025125628140704,0.06030150753768844,0.8464876331626511,0.7088686677022948,2.497163452403967,0.17443302166600963,0.4764306996754935
37,STP01,109911.0,27875.0,5461.0,633.0,3324.0,13675.0,0.2536142879238657,0.04968565475703069,0.005759205175096214,0.03024265087206922,0.12441884797699958,0.9709452342240893,1.0012714534878535,0.9539845529836884,1.0497880779862376,0.9830095666754711
38,PHO01,111264.0,29517.0,6145.0,930.0,3608.0,14824.0,0.2652879637618637,0.05522900488927236,0.008358498705780846,0.03242737992522289,0.1332326718435433,1.0156371165843752,1.1129817302517178,1.3845449865077721,1.1256247671485977,1.0526459065120748
39,SEA03,102149.0,25503.0,4790.0,354.0,2926.0,11908.0,0.2496647054792509,0.046892284799655404,0.003465525849494366,0.02864443117406925,0.11657480738920596,0.9558245236238843,0.9449791169768873,0.5740476381496633,0.9943104020357917,0.9210352993955069
40,TOK01,554.0,126.0,26.0,1.0,21.0,63.0,0.22743682310469315,0.04693140794223827,0.0018050541516245488,0.03790613718411552,0.11371841155234658,0.8707265717886574,0.9457675313800087,0.2989985120507759,1.3158043276935996,0.8984674611660143
41,HOU03,99052.0,25575.0,5081.0,606.0,3305.0,12463.0,0.2581977143318661,0.05129628881799459,0.006117998626983806,0.03336631264386383,0.1258228001453782,0.9884925737832896,1.0337291500834722,1.0134169573530538,1.1582171605280682,0.994101924747506
42,SFO03,98696.0,25183.0,5063.0,794.0,2236.0,11400.0,0.2551572505471346,0.05129893815352193,0.008044905568614737,0.022655426765015807,0.11550620085920402,0.9768523627928811,1.0337825398203533,1.3325997962110632,0.7864190550031847,0.9125924431957937
