,Name,ID,Position,Link,Start Year,End Year
14108,Nick Punto,1429,2B/3B/SS,statss.aspx?playerid=1429&position=2B/3B/SS,2001,2014
14121,Danny Putnam,8062,OF,statss.aspx?playerid=8062&position=OF,2007,2007
14143,Carlos Quentin,6274,OF,statss.aspx?playerid=6274&position=OF,2006,2014
14144,Juniel Querecuto,12140,2B/3B/SS,statss.aspx?playerid=12140&position=2B/3B/SS,2016,2016
14155,Robb Quinlan,1779,1B/3B,statss.aspx?playerid=1779&position=1B/3B,2003,2010
14156,Mark Quinn,621,DH/OF,statss.aspx?playerid=621&position=DH/OF,1999,2002
14174,Omar Quintanilla,6335,2B/SS,statss.aspx?playerid=6335&position=2B/SS,2005,2014
14175,Humberto Quintero,1824,C,statss.aspx?playerid=1824&position=C,2003,2014
14180,Guillermo Quiroz,7989,C,statss.aspx?playerid=7989&position=C,2004,2014
14185,Josh Rabe,3007,DH/OF,statss.aspx?playerid=3007&position=DH/OF,2006,2007
14187,Mike Rabelo,3693,C,statss.aspx?playerid=3693&position=C,2006,2008
14188,Ryan Raburn,2218,OF,statss.aspx?playerid=2218&position=OF,2004,2017
14219,Tim Raines,1406,OF,statss.aspx?playerid=1406&position=OF,1979,2002
14221,Tim Raines Jr.,1807,OF,statss.aspx?playerid=1807&position=OF,2001,2004
14237,Alexei Ramirez,5133,SS,statss.aspx?playerid=5133&position=SS,2008,2016
14238,Julio Ramirez,31,OF,statss.aspx?playerid=31&position=OF,1999,2005
14245,Wilkin Ramirez,5219,OF,statss.aspx?playerid=5219&position=OF,2009,2013
14250,Max Ramirez,5039,C,statss.aspx?playerid=5039&position=C,2008,2010
14254,Manny Ramirez,210,OF,statss.aspx?playerid=210&position=OF,1993,2011
14257,Aramis Ramirez,1002,3B,statss.aspx?playerid=1002&position=3B,1998,2015
14288,Joe Randa,623,3B,statss.aspx?playerid=623&position=3B,1995,2006
14299,Cody Ransom,1126,3B/SS,statss.aspx?playerid=1126&position=3B/SS,2001,2013
14347,John Raynor,9450,OF,statss.aspx?playerid=9450&position=OF,2010,2010
14352,Raudy Read,15766,C,statss.aspx?playerid=15766&position=C,2017,2017
14364,Jeff Reboulet,1389,2B/SS,statss.aspx?playerid=1389&position=2B/SS,1992,2003
14367,Anthony Recker,4063,C,statss.aspx?playerid=4063&position=C,2011,2017
14375,Prentice Redman,1811,OF,statss.aspx?playerid=1811&position=OF,2003,2003
14377,Tike Redman,1003,OF,statss.aspx?playerid=1003&position=OF,2000,2007
14380,Mike Redmond,538,C,statss.aspx?playerid=538&position=C,1998,2010
14401,Eric Reed,4439,OF,statss.aspx?playerid=4439&position=OF,2006,2007
14403,A.J. Reed,16246,1B,statss.aspx?playerid=16246&position=1B,2016,2018
14404,Jeremy Reed,4730,OF,statss.aspx?playerid=4730&position=OF,2004,2011
14406,Keith Reed,2695,OF,statss.aspx?playerid=2695&position=OF,2005,2005
14417,Kevin Reese,2977,OF,statss.aspx?playerid=2977&position=OF,2005,2006
14418,Pokey Reese,1004,2B/SS,statss.aspx?playerid=1004&position=2B/SS,1997,2004
