,Name,ID,Position,Link,Start Year,End Year
8416,Jay Jackson,7432,P,statss.aspx?playerid=7432&position=P,2015,2015
8421,Zach Jackson,8356,P,statss.aspx?playerid=8356&position=P,2006,2009
8422,Steven Jackson,7341,P,statss.aspx?playerid=7341&position=P,2009,2010
8438,Mike Jackson,732,P,statss.aspx?playerid=732&position=P,1986,2004
8480,Juan Jaime,6127,P,statss.aspx?playerid=6127&position=P,2014,2015
8481,Chris Jakubauskas,7831,P,statss.aspx?playerid=7831&position=P,2009,2011
8499,Chuck James,4886,P,statss.aspx?playerid=4886&position=P,2005,2011
8500,Mike James,1453,P,statss.aspx?playerid=1453&position=P,1995,2002
8501,Delvin James,1215,P,statss.aspx?playerid=1215&position=P,2002,2002
8502,Justin James,6140,P,statss.aspx?playerid=6140&position=P,2010,2010
8506,Jordan Jankowski,13313,P,statss.aspx?playerid=13313&position=P,2017,2017
8513,Casey Janssen,7355,P,statss.aspx?playerid=7355&position=P,2006,2015
8518,Kevin Jarvis,1037,P,statss.aspx?playerid=1037&position=P,1994,2006
8532,Myles Jaye,11769,P,statss.aspx?playerid=11769&position=P,2017,2017
8553,Chad Jenkins,10326,P,statss.aspx?playerid=10326&position=P,2012,2015
8554,Tyrell Jenkins,11378,P,statss.aspx?playerid=11378&position=P,2016,2016
8556,Bobby Jenks,8645,P,statss.aspx?playerid=8645&position=P,2005,2011
8564,Jason Jennings,434,P,statss.aspx?playerid=434&position=P,2001,2009
8569,Ryan Jensen,1117,P,statss.aspx?playerid=1117&position=P,2001,2005
8585,Ubaldo Jimenez,3374,P,statss.aspx?playerid=3374&position=P,2006,2017
8592,Kelvin Jimenez,2902,P,statss.aspx?playerid=2902&position=P,2007,2008
8595,Cesar Jimenez,3762,P,statss.aspx?playerid=3762&position=P,2006,2015
8596,Jose Jimenez,435,P,statss.aspx?playerid=435&position=P,1998,2004
8598,Jason Jimenez,1506,P,statss.aspx?playerid=1506&position=P,2002,2002
8600,Waldis Joaquin,6580,P,statss.aspx?playerid=6580&position=P,2009,2011
8611,Jonathan Johnson,59,P,statss.aspx?playerid=59&position=P,1998,2003
8612,Randy Johnson,60,P,statss.aspx?playerid=60&position=P,1988,2009
