,Date,Time,Stadium ID,Umpire ID,Umpire Name,Home Team,Visiting Team,Home Pitcher ID,Home Pitcher Name,Away Pitcher ID,Away Pitcher Name,HBO 1 ID,HBO 1 Name,HBO 1 Pos Key,HBO 2 ID,HBO 2 Name,HBO 2 Pos Key,HBO 3 ID,HBO 3 Name,HBO 3 Pos Key,HBO 4 ID,HBO 4 Name,HBO 4 Pos Key,HBO 5 ID,HBO 5 Name,HBO 5 Pos Key,HBO 6 ID,HBO 6 Name,HBO 6 Pos Key,HBO 7 ID,HBO 7 Name,HBO 7 Pos Key,HBO 8 ID,HBO 8 Name,HBO 8 Pos Key,HBO 9 ID,HBO 9 Name,HBO 9 Pos Key,ABO 1 ID,ABO 1 Name,ABO 1 Pos Key,ABO 2 ID,ABO 2 Name,ABO 2 Pos Key,ABO 3 ID,ABO 3 Name,ABO 3 Pos Key,ABO 4 ID,ABO 4 Name,ABO 4 Pos Key,ABO 5 ID,ABO 5 Name,ABO 5 Pos Key,ABO 6 ID,ABO 6 Name,ABO 6 Pos Key,ABO 7 ID,ABO 7 Name,ABO 7 Pos Key,ABO 8 ID,ABO 8 Name,ABO 8 Pos Key,ABO 9 ID,ABO 9 Name,ABO 9 Pos Key
1261,1993-07-17,N,CIN08,wendh901,Harry Wendelstedt,CIN,FLO,browt001,Tom Browning,armsj001,Jack Armstrong,branj002,Jeff Branson,4,morrh001,Hal Morris,3,larkb001,Barry Larkin,6,saboc001,Chris Sabo,5,costt001,Tim Costo,7,varsg001,Gary Varsho,9,olivj001,Joe Oliver,2,brumj001,Jacob Brumfield,8,browt001,Tom Browning,1,cotth001,Henry Cotto,9,rentr001,Rich Renteria,4,shefg001,Gary Sheffield,5,conij001,Jeff Conine,7,desto001,Orestes Destrade,3,santb001,Benito Santiago,2,everc001,Carl Everett,8,weisw001,Walt Weiss,6,armsj001,Jack Armstrong,1
1262,1993-07-17,N,LOS03,quicj901,Jim Quick,LAN,MON,grosk001,Kevin Gross,hillk001,Ken Hill,butlb001,Brett Butler,8,offej001,Jose Offerman,6,snydc001,Cory Snyder,9,karre001,Eric Karros,3,piazm001,Mike Piazza,2,davie001,Eric Davis,7,wallt001,Tim Wallach,5,reedj003,Jody Reed,4,grosk001,Kevin Gross,1,deshd001,Delino DeShields,4,vandj001,John Vander Wal,3,grism001,Marquis Grissom,8,walkl001,Larry Walker,9,fletd001,Darrin Fletcher,2,aloum001,Moises Alou,7,berrs001,Sean Berry,5,lansm001,Mike Lansing,6,hillk001,Ken Hill,1
1263,1993-07-17,N,SAN01,poncl901,Larry Poncino,SDN,PHI,benea001,Andy Benes,mulht001,Terry Mulholland,gutir001,Ricky Gutierrez,6,teuft001,Tim Teufel,4,gwynt001,Tony Gwynn,9,belld001,Derek Bell,8,clarp001,Phil Clark,3,planp001,Phil Plantier,7,ciana001,Archi Cianfrocco,5,gereb001,Bob Geren,2,benea001,Andy Benes,1,dyksl001,Lenny Dykstra,8,moram001,Mickey Morandini,4,jordr001,Ricky Jordan,3,holld001,Dave Hollins,5,dauld001,Darren Daulton,2,thomm001,Milt Thompson,7,chamw001,Wes Chamberlain,9,stock001,Kevin Stocker,6,mulht001,Terry Mulholland,1
1264,1993-07-17,D,SFO02,westj901,Joe West,SFN,NYN,burkj001,John Burkett,tanaf001,Frank Tanana,lewid001,Darren Lewis,8,scars001,Steve Scarsone,4,clarw001,Will Clark,3,bondb001,Barry Bonds,7,willm003,Matt Williams,5,carrm001,Mark Carreon,9,clayr001,Royce Clayton,6,manwk001,Kirt Manwaring,2,burkj001,John Burkett,1,colev001,Vince Coleman,7,johnh001,Howard Johnson,5,murre001,Eddie Murray,3,bonib001,Bobby Bonilla,9,burnj001,Jeromy Burnitz,8,kentj001,Jeff Kent,4,hundt001,Todd Hundley,2,bogat001,Tim Bogar,6,tanaf001,Frank Tanana,1
1265,1993-07-17,D,STL09,relic901,Charlie Reliford,SLN,HOU,tewkb001,Bob Tewksbury,willb001,Brian Williams,alicl001,Luis Alicea,4,smito001,Ozzie Smith,6,jeffg001,Gregg Jefferies,3,zeilt001,Todd Zeile,5,lankr001,Ray Lankford,8,whitm001,Mark Whiten,9,jordb001,Brian Jordan,7,pagnt001,Tom Pagnozzi,2,tewkb001,Bob Tewksbury,1,biggc001,Craig Biggio,4,finls001,Steve Finley,8,bagwj001,Jeff Bagwell,3,gonzl001,Luis Gonzalez,7,anthe001,Eric Anthony,9,donnc001,Chris Donnels,5,cedea001,Andujar Cedeno,6,taube001,Ed Taubensee,2,willb001,Brian Williams,1
1266,1993-07-18,D,BAL12,mcclt901,Tim McClelland,BAL,MIN,valef001,Fernando Valenzuela,guare001,Eddie Guardado,andeb001,Brady Anderson,7,mclem001,Mark McLemore,4,devem001,Mike Devereaux,8,ripkc001,Cal Ripken,6,hoilc001,Chris Hoiles,2,hammj001,Jeffrey Hammonds,9,segud001,David Segui,3,hulet001,Tim Hulett,5,obans001,Sherman Obando,10,knobc001,Chuck Knoblauch,4,reboj001,Jeff Reboulet,5,puckk001,Kirby Puckett,10,winfd001,Dave Winfield,9,macks001,Shane Mack,8,hrbek001,Kent Hrbek,3,websl001,Lenny Webster,2,mccad001,Dave McCarty,7,mearp001,Pat Meares,6
1267,1993-07-18,D,BOS07,hicke901,Ed Hickox,BOS,SEA,dopsj001,John Dopson,johnr005,Randy Johnson,flets001,Scott Fletcher,4,hatcb001,Billy Hatcher,8,greem001,Mike Greenwell,10,dawsa001,Andre Dawson,9,zupcb001,Bob Zupcic,7,quinc001,Carlos Quintana,3,coops001,Scott Cooper,5,valej002,John Valentin,6,flahj001,John Flaherty,2,vizqo001,Omar Vizquel,6,magad001,Dave Magadan,5,grifk002,Ken Griffey,8,buhnj001,Jay Buhner,9,martt002,Tino Martinez,3,newfm001,Marc Newfield,7,obrip001,Pete O'Brien,10,valld001,Dave Valle,2,littg001,Greg Litton,4
1268,1993-07-18,D,CLE07,kaisk901,Ken Kaiser,CLE,CAL,lopea002,Albie Lopez,langm001,Mark Langston,loftk001,Kenny Lofton,8,kirbw001,Wayne Kirby,9,martc002,Carlos Martinez,5,bellj002,Albert Belle,7,jeffr001,Reggie Jefferson,3,hillg001,Glenallen Hill,10,espia001,Alvaro Espinoza,4,fermf001,Felix Fermin,6,ortij001,Junior Ortiz,2,polol001,Luis Polonia,7,curtc001,Chad Curtis,8,salmt001,Tim Salmon,9,davic001,Chili Davis,10,lovut001,Torey Lovullo,4,easld001,Damion Easley,5,snowj001,J.T. Snow,3,disag001,Gary Disarcina,6,tingr001,Ron Tingley,2
1269,1993-07-18,D,MIL05,voltv901,Vic Voltaggio,MIL,CHA,miraa001,Angel Miranda,berej002,Jason Bere,hamid001,Darryl Hamilton,9,younr001,Robin Yount,8,surhb001,B.J. Surhoff,5,reimk001,Kevin Reimer,7,nilsd001,Dave Nilsson,10,lampt001,Tom Lampkin,2,jahaj001,John Jaha,3,spieb001,Bill Spiers,4,listp001,Pat Listach,6,sax-s001,Steve Sax,7,coraj001,Joey Cora,4,thomf001,Frank Thomas,3,burke001,Ellis Burks,9,ventr001,Robin Ventura,5,jackb001,Bo Jackson,10,johnl001,Lance Johnson,8,karkr001,Ron Karkovice,2,grebc001,Craig Grebeck,6
1270,1993-07-18,N,NYC16,younl901,Larry Young,NYA,OAK,wickb001,Bob Wickman,welcb001,Bob Welch,boggw001,Wade Boggs,5,jamed001,Dion James,7,mattd001,Don Mattingly,3,tartd001,Danny Tartabull,10,oneip001,Paul O'Neill,9,willb002,Bernie Williams,8,stanm002,Mike Stanley,2,gallm001,Mike Gallego,4,owens001,Spike Owen,6,hendr001,Rickey Henderson,7,gateb001,Brent Gates,4,sierr001,Ruben Sierra,9,neelt001,Troy Neel,10,steit001,Terry Steinbach,2,aldrm001,Mike Aldrete,3,browj001,Jerry Browne,5,bordm001,Mike Bordick,6,blanl001,Lance Blankenship,8
1271,1993-07-18,N,ARL01,hendt901,Ted Hendry,TEX,DET,leibc001,Charlie Leibrandt,dohej001,John Doherty,hulsd001,David Hulse,8,franj002,Julio Franco,10,palmr001,Rafael Palmeiro,3,gonzj002,Juan Gonzalez,7,petrg001,Geno Petralli,2,strad002,Doug Strange,5,peltd001,Dan Peltier,9,diazm002,Mario Diaz,6,husoj001,Jeff Huson,4,philt001,Tony Phillips,4,gladd001,Dan Gladden,7,frymt001,Travis Fryman,5,fielc001,Cecil Fielder,10,trama001,Alan Trammell,6,tettm001,Mickey Tettleton,2,deerr001,Rob Deer,9,barns001,Skeeter Barnes,3,thurg001,Gary Thurman,8
1272,1993-07-18,D,TOR02,joycj901,Jim Joyce,TOR,KCA,hentp001,Pat Hentgen,pichh001,Hipolito Pichardo,alomr001,Roberto Alomar,4,molip001,Paul Molitor,10,cartj001,Joe Carter,9,olerj001,John Olerud,3,fernt001,Tony Fernandez,6,sprae001,Ed Sprague,5,wardt001,Turner Ward,7,canaw001,Willie Canate,8,knorr001,Randy Knorr,2,josef001,Felix Jose,9,mcrab001,Brian McRae,8,joynw001,Wally Joyner,3,macfm001,Mike Macfarlane,2,gwync001,Chris Gwynn,10,gaetg001,Gary Gaetti,5,mcrek001,Kevin McReynolds,7,gagng001,Greg Gagne,6,lindj002,Jose Lind,4
1273,1993-07-18,D,ATL01,hirsm901,Mark Hirschbeck,ATL,PIT,avers001,Steve Avery,smitz001,Zane Smith,nixoo001,Otis Nixon,8,blauj001,Jeff Blauser,6,pendt001,Terry Pendleton,5,gantr001,Ron Gant,7,justd001,David Justice,9,huntb001,Brian Hunter,3,olsog002,Greg Olson,2,lemkm001,Mark Lemke,4,avers001,Steve Avery,1,garcc001,Carlos Garcia,4,bellj001,Jay Bell,6,smitl002,Lonnie Smith,7,kingj001,Jeff King,5,mccll001,Lloyd McClendon,9,slaud001,Don Slaught,2,younk001,Kevin Young,3,bulls001,Scott Bullett,8,smitz001,Zane Smith,1
