,Name,Team,Pos,DKSaberSim,Salary,DKRoto,DKAvg,DKUncert
49,Yangervis Solarte,Blue Jays,2B,8.22,4200,11.34,9.780000000000001,0.49766871165644144
50,Yonder Alonso,Indians,1B,8.16,3900,11.05,9.605,0.43477876106194707
51,Marwin Gonzalez,Astros,LF,8.07,3400,8.8,8.435,0.03158861885002967
52,Adrian Beltre,Rangers,3B,8.01,3600,8.59,8.3,0.020265060240963858
53,David Peralta,Diamondbacks,LF,8.06,4700,11.47,9.765,0.5953968253968255
54,Brandon Nimmo,Mets,CF,8.01,4200,10.93,9.469999999999999,0.4501795142555438
55,Michael Conforto,Mets,CF,7.87,3900,11.12,9.495,0.5562137967351235
56,Rougned Odor,Rangers,2b,7.86,4100,8.49,8.175,0.024275229357798155
57,Max Stassi,Astros,C,7.79,3600,8.21,8.0,0.011025000000000043
58,Mike Moustakas,Royals,3B,7.85,3800,8.95,8.399999999999999,0.07202380952380948
59,Josh Reddick,Astros,RF,7.89,3600,8.63,8.26,0.033147699757869346
60,Matt Kemp,Dodgers,LF,7.79,4300,9.48,8.635,0.16537927041111763
61,Yadier Molina,Cardinals,C,7.74,3900,9.78,8.76,0.23753424657534228
62,Noel Cuevas,Rockies,RF,7.78,3300,11.04,9.41,0.5646971307120082
63,Asdrubal Cabrera,Mets,2B,7.69,4200,10.75,9.22,0.5077874186550975
64,Matt Carpenter,Cardinals,3B,7.56,4600,9.39,8.475,0.19757522123893828
65,Tim Anderson,White Sox,SS,7.62,4700,8.85,8.235,0.0918579234972677
66,Jason Kipnis,Indians,2B,7.52,3800,8.64,8.08,0.07762376237623776
67,Whit Merrifield,Royals,2B,7.63,3700,8.01,7.82,0.00923273657289002
68,Yasmani Grandal,Dodgers,C,7.37,4000,9.74,8.555,0.32828170660432504
69,Kevin Pillar,Blue Jays,CF,7.49,3600,10.37,8.93,0.4644120940649493
70,Jose Peraza,Reds,SS,7.52,4700,9.82,8.67,0.30507497116493676
71,Yasiel Puig,Dodgers,RF,7.36,3900,9.77,8.565,0.3390601284296554
72,Jake Marisnick,Astros,CF,7.35,3100,8.88,8.115,0.14423290203327194
73,Daniel Robertson,Rays,2B,7.33,2000,8.55,7.94,0.0937279596977331
74,Jon Jay,Diamondbacks,LF,7.49,3500,8.82,8.155000000000001,0.1084549356223176
75,Wilmer Flores,Mets,1B,7.31,3700,9.35,8.33,0.24979591836734694
76,Jose Bautista,Mets,DH,7.19,3500,10.58,8.885,0.6467135621834551
77,Leury Garcia,White Sox,LF,7.39,3400,8.46,7.925000000000001,0.07223343848580456
78,Lucas Duda,Royals,1B,7.17,3300,8.97,8.07,0.20074349442379197
79,Jedd Gyorko,Cardinals,3B,7.12,3300,10.47,8.795,0.6380045480386586
80,Tyler Naquin,Indians,RF,7.21,3200,8.95,8.08,0.1873514851485147
81,Russell Martin,Blue Jays,C,6.96,3000,8.61,7.785,0.17485549132947967
82,Billy Hamilton,Reds,CF,7.14,3400,8.82,7.98,0.176842105263158
83,Chris Taylor,Dodgers,SS,7.04,3800,8.51,7.775,0.13896463022508035
84,Jurickson Profar,Rangers,SS,6.99,4000,7.01,7.0,2.8571428571427355e-05
85,Todd Frazier,Mets,3B,6.85,3900,9.01,7.93,0.2941740226986129
86,Josh Bell,Pirates,1B,6.79,3400,7.9,7.345000000000001,0.08387338325391426
87,Salvador Perez,Royals,C,6.74,3400,8.06,7.4,0.11772972972972978
88,Josh Harrison,Pirates,2B,6.78,3700,8.7,7.74,0.2381395348837207
89,Adam Engel,White Sox,CF,6.72,3100,6.64,6.68,0.00047904191616766553
90,Daniel Descalso,Diamondbacks,2B,6.68,3600,10.25,8.465,0.7527997637330184
91,Yairo Munoz,Cardinals,3B,6.75,3400,8.04,7.395,0.11251521298174427
92,Harrison Bader,Cardinals,RF,6.68,3500,8.56,7.62,0.23191601049868785
93,Robinson Chirinos,Rangers,C,6.45,3800,7.96,7.205,0.1582303955586398
94,Aledmys Diaz,Blue Jays,SS,6.55,3200,8.34,7.445,0.21518468770987242
95,Devon Travis,Blue Jays,2B,6.53,3200,7.72,7.125,0.09937543859649114
96,Rosell Herrera,Royals,2B,6.4,2900,7.97,7.1850000000000005,0.17153096729297135
97,David Freese,Pirates,3B,6.29,3000,8.31,7.300000000000001,0.27947945205479463
98,Delino DeShields,Rangers,CF,6.27,3700,7.92,7.095,0.19186046511627916
99,Elias Diaz,Pirates,C,6.17,3200,7.19,6.68,0.07787425149700605
100,Austin Meadows,Pirates,CF,6.22,3800,8.72,7.470000000000001,0.418340026773762
101,Nick Ahmed,Diamondbacks,SS,6.13,3300,6.07,6.1,0.0002950819672131109
102,Jorge Bonifacio,Royals,RF,6.13,3000,7.47,6.8,0.13202941176470587
103,Dominic Smith,Mets,1B,5.89,3400,7.91,6.9,0.29568115942029
104,Adalberto Mondesi,Royals,SS,5.93,3300,7.47,6.699999999999999,0.1769850746268657
105,Gregory Polanco,Pirates,RF,5.58,3800,7.47,6.525,0.2737241379310344
106,Amed Rosario,Mets,SS,5.69,2900,7.33,6.51,0.20657450076804906
107,Alex Gordon,Royals,LF,5.55,3000,7.84,6.695,0.39164301717699773
108,Jordy Mercer,Pirates,SS,5.41,3000,5.64,5.525,0.004787330316742062
109,Alcides Escobar,Royals,SS,5.04,2600,6.24,5.640000000000001,0.12765957446808512
110,Rich Hill,Dodgers,SP,21.74,8700,38.47,30.104999999999997,4.648611526324531
111,Trevor Bauer,Indians,SP,21.01,13600,41.32,31.165,6.617938392427402
112,Patrick Corbin,Diamondbacks,SP,20.29,11100,34.86,27.575,3.8492275611967366
113,Gerrit Cole,Astros,SP,17.44,13000,35.4,26.42,6.1044965934897775
114,Marcus Stroman,Blue Jays,SP,17.48,6500,32.42,24.950000000000003,4.473018036072145
115,Sal Romano,Reds,SP,16.44,5100,26.03,21.235,2.165483870967742
116,Miles Mikolas,Cardinals,SP,15.4,9500,28.72,22.06,4.0213599274705345
117,Tyler Anderson,Rockies,SP,12.5,5900,21.23,16.865000000000002,2.2594989623480584
118,Clay Holmes,Pirates,SP,12.16,4000,17.9,15.03,1.0960612109115098
119,Corey Oswalt,Mets,SP,11.71,5400,21.2,16.455,2.7365572774232754
120,Andrew Suarez,Giants,SP,11.48,6200,17.41,14.445,1.2171997230875733
121,Mike Minor,Rangers,SP,10.47,6000,22.12,16.295,4.16454433875422
122,Trevor Oaks,Royals,SP,10.18,4000,20.78,15.48,3.6291989664082696
123,Dylan Covey,White Sox,SP,8.21,5000,18.94,13.575000000000001,4.240622467771639
