,Name,Team,Position,Salary,DKFG,DKRoto,BATPred,Var
173,Yairo Munoz,Cardinals,2B/SS,3600,6.49,4.85,5.52,38.196311719214776
174,Renato Nunez,Orioles,3B,3600,7.5,5.47,6.83,23.632568359375
175,Chris Iannetta,Rockies,C,3600,5.69,5.4,6.18,42.858703480150595
176,Nick Ahmed,Diamondbacks,SS,3600,5.78,5.0,5.53,43.22161587021272
177,Stephen Piscotty,Athletics,OF,3600,7.19,6.51,6.31,49.35990871282065
178,Ben Gamel,Mariners,OF,3600,7.22,5.53,5.79,38.97575767509709
179,Austin Dean,Marlins,OF,3600,6.75,5.93,6.12,35.0
180,Wilmer Difo,Nationals,2B/3B,3500,6.67,5.62,5.8,29.38927652040205
181,Adrian Beltre,Rangers,3B,3500,7.27,7.31,7.5,57.87583665535814
182,Yan Gomes,Indians,C,3500,6.48,5.9,6.23,44.8585715849496
183,David Fletcher,Angels,2B/3B,3500,7.29,5.46,6.4,26.46460065507685
184,Chris Davis,Orioles,1B,3500,8.12,7.99,8.51,65.67725669823558
185,Brett Phillips,Royals,OF,3500,6.15,6.85,6.01,31.3422222222222
186,Manuel Margot,Padres,OF,3500,5.65,4.92,5.49,50.4306342907534
187,Chris Taylor,Dodgers,OF/SS,3500,6.56,6.29,6.31,54.02552190376757
188,Matt Kemp,Dodgers,OF,3500,7.64,6.69,7.14,63.71271723628332
189,Marcus Semien,Athletics,SS,3500,7.53,7.53,6.96,44.63722387467766
190,Tyler Flowers,Braves,C,3400,6.53,6.21,5.96,39.692769423339335
191,Eduardo Nunez,Red Sox,2B/3B,3400,8.15,6.46,8.97,49.62111020212762
192,Ronald Guzman,Rangers,1B,3400,6.2,5.26,6.07,53.156478277585535
193,Austin Hedges,Padres,C,3400,5.26,5.64,5.79,42.0476935953872
194,Miguel Rojas,Marlins,3B/SS,3400,5.56,4.88,5.55,26.118776062638826
195,Devon Travis,Blue Jays,2B,3400,7.98,6.84,6.82,45.548879435112454
196,Ryan LaMarre,White Sox,OF,3300,6.27,6.15,4.55,21.75111111111116
197,Yandy Diaz,Indians,3B,3300,6.62,6.86,5.83,38.34090909090909
198,Taylor Ward,Angels,3B,3300,5.77,4.6,5.41,35.0
199,Tim Beckham,Orioles,3B/SS,3300,7.48,6.84,7.63,45.288243900982316
