,Name,Team,Position,Salary,DKFG,DKRoto,Var
163,Dexter Fowler,Cardinals,OF,3600,6.92,6.54,56.58834510185861
164,Adam Jones,Orioles,OF,3600,6.94,7.58,58.979548990369345
165,Jace Peterson,Orioles,3B/OF,3600,4.95,5.18,26.47410329461612
166,Brandon Crawford,Giants,SS,3600,7.1,6.9,38.310290111952455
167,Ryan Braun,Brewers,1B/OF,3600,7.29,6.84,92.47393025193607
168,Jason Kipnis,Indians,2B,3600,7.81,6.03,65.418596712463
169,Denard Span,Mariners,OF,3600,6.68,4.99,59.91074546944415
170,Ian Kinsler,Angels,2B,3600,7.28,6.29,73.80793153728085
171,Eric Hosmer,Padres,1B,3600,6.93,6.71,57.133608360084686
172,Travis Jankowski,Padres,OF,3600,6.34,6.82,30.81054400336064
173,Jordan Luplow,Pirates,OF,3600,8.2,7.23,34.81
174,Amed Rosario,Mets,SS,3600,7.79,7.64,27.878400000000006
175,Rafael Devers,Red Sox,3B,3500,8.09,7.33,51.1225
176,Yolmer Sanchez,White Sox,3B,3500,7.3,6.94,34.111641646849
177,Scott Kingery,Phillies,SS,3500,7.12,5.81,28.17159763313609
178,Billy Hamilton,Reds,OF,3500,5.99,6.38,56.85610158164402
179,Adrian Beltre,Rangers,3B,3500,7.11,7.25,62.43504874801282
180,Marcell Ozuna,Cardinals,OF,3500,8.23,8.26,51.79637281910009
181,Chris Iannetta,Rockies,C,3500,7.56,7.69,38.444283366294705
182,Adeiny Hechavarria,Rays,SS,3500,6.18,5.09,24.34421123737902
183,Steven Duggar,Giants,OF,3500,6.66,6.72,59.51020408163265
184,Hunter Pence,Giants,OF,3500,5.55,5.41,62.52922963989084
185,Melky Cabrera,Indians,OF,3500,7.46,6.33,47.4482381948129
186,Austin Romine,Yankees,C,3500,6.32,4.14,14.265565964494591
187,David Freese,Pirates,1B/3B,3500,7.87,6.85,38.0204368622449
188,Jordy Mercer,Pirates,SS,3500,6.52,4.86,30.105780896668392
189,Starlin Castro,Marlins,2B,3500,5.81,4.68,47.115159591460454
190,Jorge Polanco,Twins,SS,3400,5.3,4.29,55.5147137866165
191,Max Kepler,Twins,OF,3400,5.34,4.81,46.04084317864093
192,Mitch Garver,Twins,C,3400,5.8,5.99,24.57627885921231
193,Tucker Barnhart,Reds,C,3400,6.8,6.97,25.22371253188776
194,Noel Cuevas,Rockies,OF,3400,6.89,7.64,7.7722681359045
195,Mark Trumbo,Orioles,1B/OF,3400,6.49,7.05,53.64713825896588
196,Travis Shaw,Brewers,3B,3400,6.02,6.02,57.3265306122449
197,Jeimer Candelario,Tigers,3B,3400,6.92,6.48,49.0
198,Leonys Martin,Tigers,OF,3400,7.95,7.15,35.86932860144481
199,Kyle Seager,Mariners,3B,3400,7.2,6.98,53.2648305588585
200,Andrelton Simmons,Angels,SS,3400,7.84,7.39,40.239716446124774
201,Carlos Asuaje,Padres,2B,3400,5.81,5.76,24.765259515570932
202,Jorge Bonifacio,Royals,OF,3400,7.13,6.68,42.158500297559996
203,Johan Camargo,Braves,3B/SS,3300,6.65,5.0,31.04081632653061
204,Ender Inciarte,Braves,OF,3300,5.88,5.68,53.879982178658956
205,Renato Nunez,Orioles,3B/OF,3300,6.0,5.63,14.3601108033241
206,Pablo Sandoval,Giants,1B/3B,3300,6.32,6.26,45.92600717248989
207,Hernan Perez,Brewers,2B/OF,3300,5.9,6.22,20.028177362691373
208,Yan Gomes,Indians,C,3300,7.43,6.05,38.63926992836458
209,Manuel Margot,Padres,OF,3300,6.21,5.87,36.5102700373456
210,Christian Villanueva,Padres,3B,3300,5.94,5.19,50.539173553719
211,Wilmer Flores,Mets,1B/3B,3300,7.79,7.25,31.431530104119517
212,Dansby Swanson,Braves,SS,3200,5.56,4.77,37.47188775510204
213,Ryan Rua,Rangers,OF,3200,6.26,7.12,19.664637336504164
214,Max Stassi,Astros,C,3200,6.57,5.61,16.431441326530617
215,Trey Mancini,Orioles,1B/OF,3200,6.21,6.39,47.51523803974128
216,Evan Longoria,Giants,3B,3200,6.66,6.75,63.83828180814184
217,Omar Narvaez,White Sox,C,3100,6.06,5.34,21.19835069444445
218,Marwin Gonzalez,Astros,OF/SS,3100,7.29,7.51,33.444977353186175
219,Tyler Naquin,Indians,OF,3100,7.4,5.2,21.479659763313613
220,Niko Goodrum,Tigers,2B/OF,3100,7.84,6.49,50.41
221,Hunter Dozier,Royals,1B,3100,5.92,5.05,13.087370242214535
222,Devin Mesoraco,Mets,C,3100,6.11,5.46,29.56069486618177
223,Jeff McNeil,Mets,2B/3B,3100,7.12,5.99,6.25
224,Russell Martin,Blue Jays,C,3000,6.62,7.15,50.99599940477553
225,Addison Russell,Cubs,SS,3000,6.39,5.41,42.674432260242796
226,Jonathan Lucroy,Athletics,C,3000,7.19,7.41,43.58378703027353
227,Tim Beckham,Orioles,3B,3000,6.93,7.6,46.28585405883096
228,Chris Davis,Orioles,1B,3000,6.05,7.03,57.506944444444436
229,Austin Hedges,Padres,C,3000,5.06,5.38,25.0
230,Freddy Galvis,Padres,SS,3000,5.36,5.37,30.895539694400775
231,Alcides Escobar,Royals,SS,3000,5.16,4.95,35.38310048440454
232,Jim Adduci,Tigers,1B,2900,6.59,5.78,14.877551020408163
233,Victor Reyes,Tigers,OF,2900,5.34,4.63,8.027777777777779
234,Jefry Marte,Angels,1B/3B,2900,7.0,6.86,17.132400756143667
235,Mike Zunino,Mariners,C,2900,7.14,7.41,32.445704154128535
236,Francisco Cervelli,Pirates,C,2900,7.78,6.6,32.608278182629384
237,Matt Wieters,Nationals,C,2900,5.83,5.64,41.69334478575177
238,Jose Iglesias,Tigers,SS,2800,5.61,4.6,33.09714762665118
239,Victor Martinez,Tigers,1B,2800,6.4,5.66,58.131253450437924
240,Jose Briceno,Angels,C,2800,6.04,3.83,0.36
241,Guillermo Heredia,Mariners,OF,2800,5.55,4.81,19.81898491083676
242,Martin Prado,Marlins,3B,2800,5.09,3.96,47.95316935767818
243,Tyler Flowers,Braves,C,2700,6.33,5.59,26.72919798353943
244,Bobby Wilson,Twins,C,2700,4.12,3.58,12.213185595567868
245,Carlos Tocci,Rangers,OF,2700,4.62,5.16,4.225308641975308
246,Jesus Sucre,Rays,C,2700,5.56,4.31,18.66575549062117
247,James McCann,Tigers,C,2700,5.5,5.08,29.720083246618103
248,David Fletcher,Angels,3B,2700,7.34,7.2,25.0
250,Sandy Leon,Red Sox,C,2600,6.36,5.75,31.34526488919668
251,Caleb Joseph,Orioles,C,2600,5.03,4.89,21.697253617546775
252,Jeff Mathis,Diamondbacks,C,2600,4.98,4.15,19.713600000000003
