Name,Team,Pos,DK,Salary
Miguel Andujar,Yankees,3B,7.1,3600.0
Nick Ahmed,Diamondbacks,SS,7.02,3400.0
Adam Engel,White Sox,CF,7.04,2900.0
Josh Harrison,Pirates,2B,7.08,4000.0
Yairo Munoz,Cardinals,3B,6.99,3300.0
Isiah Kiner-Falefa,Rangers,3B,6.9,3400.0
David Freese,Pirates,3B,6.79,3100.0
Travis Jankowski,Padres,RF,6.82,3800.0
Johan Camargo,Braves,3B,6.71,3500.0
DJ LeMahieu,Rockies,2B,6.71,4300.0
Cory Spangenberg,Padres,3B,6.59,3400.0
Chris Taylor,Dodgers,SS,6.55,3800.0
Didi Gregorius,Yankees,SS,6.45,4000.0
Elias Diaz,Pirates,C,6.41,3300.0
Rosell Herrera,Royals,2B,6.44,3100.0
Gorkys Hernandez,Giants,LF,6.4,3400.0
Eduardo Nunez,Red Sox,DH,6.35,3500.0
Omar Narvaez,White Sox,C,6.25,2800.0
Jose Pirela,Padres,2B,6.25,3200.0
Ian Desmond,Rockies,1B,6.07,3700.0
Gerardo Parra,Rockies,LF,6.11,3700.0
Gregory Polanco,Pirates,RF,5.99,4300.0
Alex Gordon,Royals,LF,5.99,3200.0
Adalberto Mondesi,Royals,SS,6.01,3300.0
Jackie Bradley Jr.,Red Sox,CF,5.85,3700.0
Jordy Mercer,Pirates,SS,5.82,3100.0
Brandon Drury,Yankees,2B,5.66,3200.0
Tom Murphy,Rockies,C,5.55,3200.0
Dansby Swanson,Braves,SS,5.62,3600.0
Guillermo Heredia,Mariners,CF,5.58,2800.0
Sandy Leon,Red Sox,C,5.53,2900.0
Freddy Galvis,Padres,SS,5.53,2900.0
A.J. Ellis,Padres,C,5.41,2900.0
Hunter Dozier,Royals,1B,5.4,3200.0
Jeff Mathis,Diamondbacks,C,5.31,2500.0
Austin Romine,Yankees,C,5.32,3500.0
Daniel Robertson,Rays,2B,5.21,2000.0
Brett Gardner,Yankees,LF,5.2,3500.0
Alcides Escobar,Royals,SS,4.83,2700.0
Chris Sale,Red Sox,SP,23.16,13000.0
Trevor Williams,Pirates,SP,18.09,7900.0
Kenta Maeda,Dodgers,SP,18.01,11000.0
Luke Weaver,Cardinals,SP,16.19,7300.0
Felix Hernandez,Mariners,SP,16.59,8100.0
Joey Lucchesi,Padres,SP,16.48,7400.0
Dereck Rodriguez,Giants,SP,14.96,7500.0
Shelby Miller,Diamondbacks,SP,14.87,6500.0
Sonny Gray,Yankees,SP,14.38,7100.0
German Marquez,Rockies,SP,14.23,5900.0
Carlos Rodon,White Sox,SP,13.16,7700.0
Jason Hammel,Royals,SP,11.95,4900.0
Bartolo Colon,Rangers,SP,10.68,5100.0
Max Fried,Braves,SP,8.93,5700.0
