Name,Team,Pos,DK,Salary
Trea Turner,Nationals,SS,9.42,4600.0
Trey Mancini,Orioles,LF,8.95,3300.0
Tucker Barnhart,Reds,C,8.08,3600.0
Victor Martinez,Tigers,DH,6.8,2900.0
Willy Adames,Rays,SS,4.91,3100.0
Wilmer Difo,Nationals,2B,5.99,3000.0
Wilmer Flores,Mets,1B,7.7,3600.0
Wilmer Font,Rays,SP,14.94,5900.0
Wilson Ramos,Rays,C,6.47,3200.0
Xander Bogaerts,Red Sox,SS,7.9,4700.0
Yangervis Solarte,Blue Jays,2B,8.05,4000.0
