,Name,Team,Pos,DKSaberSim,Salary,DKRoto,DKAvg,DKUncert
67,Brian Dozier,Twins,2B,8.0,4200,7.97,7.984999999999999,0.00045000000000000747
68,Brian Anderson,Marlins,RF,8.03,3700,7.73,7.88,0.04499999999999968
69,Nick Ahmed,Diamondbacks,SS,8.02,3200,8.18,8.1,0.012800000000000023
70,Josh Reddick,Astros,RF,7.98,4000,7.68,7.83,0.04500000000000021
71,Starlin Castro,Marlins,2B,8.12,4200,7.94,8.03,0.01619999999999979
72,Miguel Andujar,Yankees,3B,8.05,3900,8.01,8.030000000000001,0.000800000000000037
73,Kyle Seager,Mariners,3B,7.94,4200,7.61,7.775,0.054450000000000026
74,Jose Martinez,Cardinals,1B,8.04,4400,8.14,8.09,0.005000000000000142
75,Gregory Polanco,Pirates,RF,7.93,4400,6.8,7.365,0.6384499999999999
76,Asdrubal Cabrera,Mets,2B,7.95,4500,8.25,8.1,0.04499999999999994
77,Adam Eaton,Nationals,LF,7.94,4200,8.32,8.13,0.07219999999999996
78,Yasiel Puig,Dodgers,RF,7.9,3800,6.92,7.41,0.4802000000000004
79,Adam Jones,Orioles,CF,8.03,3400,7.56,7.795,0.11044999999999988
80,Matt Olson,Athletics,1B,7.85,4000,7.83,7.84,0.00019999999999999147
81,Carlos Santana,Phillies,1B,7.81,4100,8.37,8.09,0.15679999999999977
82,Odubel Herrera,Phillies,CF,7.99,4500,8.1,8.045,0.006049999999999937
83,Eduardo Escobar,Twins,SS,7.86,4500,8.44,8.15,0.16819999999999952
84,Andrew McCutchen,Giants,RF,7.86,4000,8.07,7.965,0.022049999999999993
85,Brandon Nimmo,Mets,CF,7.83,4200,7.36,7.595000000000001,0.11044999999999988
86,Khris Davis,Athletics,DH,7.75,4900,7.24,7.495,0.1300499999999999
87,Michael Conforto,Mets,CF,7.71,3800,7.83,7.77,0.007200000000000013
88,Dustin Fowler,Athletics,CF,7.94,4000,7.28,7.61,0.2178000000000001
89,Josh Bell,Pirates,1B,7.82,3400,6.86,7.34,0.4608
90,Eduardo Nunez,Red Sox,DH,7.87,3600,6.97,7.42,0.4050000000000003
91,Mark Canha,Athletics,LF,7.73,3700,6.42,7.075,0.8580500000000006
92,Corey Dickerson,Pirates,LF,7.8,3600,7.29,7.545,0.1300499999999999
93,JaCoby Jones,Tigers,LF,7.81,3200,7.32,7.5649999999999995,0.12004999999999967
94,Manuel Margot,Padres,CF,7.78,3700,6.31,7.045,1.080450000000001
95,Joe Mauer,Twins,1B,7.72,3600,7.35,7.535,0.06845000000000004
96,Tim Beckham,Orioles,3B,7.76,3200,7.59,7.675,0.014449999999999987
97,Jose Bautista,Mets,DH,7.53,3700,7.51,7.52,0.00020000000000000925
98,Nick Williams,Phillies,RF,7.66,3400,7.2,7.43,0.10579999999999998
99,Travis Jankowski,Padres,RF,7.77,3600,7.3,7.535,0.11044999999999988
100,Wilmer Flores,Mets,1B,7.61,3500,7.06,7.335,0.15125000000000038
101,Dee Gordon,Mariners,2B,7.86,4100,7.96,7.91,0.0049999999999999645
102,Kole Calhoun,Angels,RF,7.61,3200,7.88,7.745,0.036449999999999885
103,Buster Posey,Giants,C,7.66,4100,6.19,6.925000000000001,1.0804499999999997
104,Justin Smoak,Blue Jays,1B,7.47,4100,8.27,7.869999999999999,0.31999999999999984
105,Jason Kipnis,Indians,2B,7.54,3700,6.92,7.23,0.19220000000000007
106,Ender Inciarte,Braves,CF,7.71,4500,8.45,8.08,0.2737999999999995
107,Garrett Cooper,Marlins,1B,7.58,3400,5.78,6.68,1.6199999999999997
108,Cesar Hernandez,Phillies,2B,7.69,4300,8.16,7.925000000000001,0.11044999999999988
109,Kurt Suzuki,Braves,C,7.49,3800,6.43,6.96,0.5618000000000005
110,Colin Moran,Pirates,3B,7.56,3200,7.37,7.465,0.018049999999999906
111,Andrelton Simmons,Angels,SS,7.62,3900,6.61,7.115,0.5100499999999998
112,Whit Merrifield,Royals,2B,7.66,3500,6.65,7.155,0.5100499999999998
113,Mark Trumbo,Orioles,DH,7.44,4000,7.87,7.655,0.09244999999999988
114,Brandon Crawford,Giants,SS,7.45,4300,6.56,7.005,0.3960500000000005
115,Jim Adduci,Tigers,OF,7.51,3300,7.08,7.295,0.09244999999999988
116,Yadier Molina,Cardinals,C,7.47,3800,6.29,6.88,0.6961999999999997
117,Chris Taylor,Dodgers,SS,7.42,3800,7.39,7.404999999999999,0.00045000000000000747
118,Trevor Story,Rockies,SS,7.39,4600,8.48,7.9350000000000005,0.5940500000000009
119,Ryon Healy,Mariners,1B,7.41,3600,7.15,7.28,0.03379999999999994
120,Albert Pujols,Angels,1B,7.34,3500,5.55,6.445,1.6020500000000002
121,Marwin Gonzalez,Astros,LF,7.33,3300,6.67,7.0,0.2178000000000001
122,Ketel Marte,Diamondbacks,2B,7.39,3400,6.73,7.0600000000000005,0.2177999999999995
123,Yangervis Solarte,Blue Jays,2B,7.35,3900,7.44,7.395,0.0040500000000000674
124,Brad Miller,Brewers,1B,7.25,3500,7.46,7.355,0.022049999999999993
125,Chris Davis,Orioles,1B,7.21,2800,6.92,7.0649999999999995,0.04205000000000001
126,Brock Holt,Red Sox,2B,7.35,3500,6.06,6.705,0.83205
127,Ronny Rodriguez,Tigers,SS,7.4,2700,6.24,6.82,0.6728000000000002
128,Cory Spangenberg,Padres,3B,7.3,3300,6.81,7.055,0.1200500000000001
129,Paul DeJong,Cardinals,SS,7.27,3800,6.16,6.715,0.6160499999999993
130,Nick Markakis,Braves,RF,7.21,4900,7.29,7.25,0.003200000000000006
131,Max Kepler,Twins,RF,7.16,3200,6.46,6.8100000000000005,0.2450000000000001
132,Robinson Chirinos,Rangers,C,7.09,3700,6.7,6.895,0.07604999999999988
133,Jorge Polanco,Twins,SS,7.18,3500,6.64,6.91,0.14580000000000004
134,Justin Bour,Marlins,1B,7.05,3400,6.06,6.555,0.4900500000000002
135,Martin Prado,Marlins,3B,7.16,2900,6.77,6.965,0.07605000000000023
136,Jose Abreu,White Sox,1B,7.12,3800,7.09,7.105,0.00045000000000000747
137,Jon Jay,Diamondbacks,LF,7.21,3600,6.71,6.96,0.125
138,Jake Lamb,Diamondbacks,3B,7.0,4200,6.86,6.93,0.009799999999999955
139,Jed Lowrie,Athletics,2B,7.1,4800,7.28,7.1899999999999995,0.01620000000000011
140,Victor Martinez,Tigers,DH,7.08,3000,7.05,7.0649999999999995,0.00045000000000000747
141,Jonathan Schoop,Orioles,2B,7.04,3300,6.55,6.795,0.1200500000000001
142,Todd Frazier,Mets,3B,6.9,3900,5.95,6.425000000000001,0.45125000000000015
143,Yan Gomes,Indians,C,6.9,3700,6.62,6.76,0.03920000000000007
144,Harrison Bader,Cardinals,RF,7.02,3500,6.36,6.6899999999999995,0.2177999999999995
145,DJ LeMahieu,Rockies,2B,7.04,4300,6.7,6.87,0.05779999999999995
146,Sandy Leon,Red Sox,C,6.93,3100,6.43,6.68,0.125
147,Johan Camargo,Braves,3B,6.85,3700,6.4,6.625,0.10124999999999967
148,Tyler Naquin,Indians,RF,6.93,3200,6.38,6.654999999999999,0.15124999999999988
149,Wilson Ramos,Rays,C,6.93,3500,5.57,6.25,0.9247999999999992
150,Ronald Guzman,Rangers,1B,6.91,3300,6.4,6.655,0.1300499999999999
151,Jake Cave,Twins,CF,6.86,3100,5.85,6.355,0.5100500000000007
152,Scott Kingery,Phillies,SS,6.94,3000,6.51,6.725,0.09245000000000025
153,Randal Grichuk,Blue Jays,RF,6.77,3600,6.41,6.59,0.0647999999999998
154,Kevin Pillar,Blue Jays,CF,6.87,3400,7.08,6.975,0.022049999999999993
155,Kevin Kiermaier,Rays,CF,6.86,3300,6.7,6.78,0.012800000000000023
156,Matt Chapman,Athletics,3B,6.73,3900,5.4,6.065,0.8844500000000001
157,Jose Pirela,Padres,2B,6.81,3000,6.38,6.595,0.09244999999999988
158,Luis Valbuena,Angels,1B,6.67,3300,6.58,6.625,0.004049999999999988
159,Cameron Maybin,Marlins,RF,6.74,2900,6.31,6.525,0.09245000000000025
160,Matt Duffy,Rays,3B,6.88,3300,5.84,6.359999999999999,0.5408
161,Avisail Garcia,White Sox,RF,6.77,4100,6.47,6.619999999999999,0.04499999999999994
162,Elias Diaz,Pirates,C,6.68,3300,7.28,6.98,0.18000000000000033
163,Delino DeShields,Rangers,CF,6.72,3700,6.34,6.529999999999999,0.07219999999999996
164,Tony Kemp,Astros,CF,6.67,3500,5.24,5.955,1.0224499999999996
165,Yoan Moncada,White Sox,2B,6.61,4400,6.67,6.640000000000001,0.0017999999999999765
166,Trey Mancini,Orioles,LF,6.59,3400,6.48,6.535,0.006049999999999937
167,Wilmer Difo,Nationals,2B,6.6,3100,6.29,6.445,0.048049999999999884
168,Mike Moustakas,Royals,3B,6.55,3600,5.67,6.109999999999999,0.3871999999999999
169,Yolmer Sanchez,White Sox,3B,6.6,3900,6.77,6.685,0.014449999999999987
170,Neil Walker,Yankees,1B,6.47,2900,6.42,6.445,0.0012499999999999911
171,Russell Martin,Blue Jays,C,6.32,2900,6.18,6.25,0.00980000000000008
172,Manny Pina,Brewers,C,6.42,2900,5.12,5.77,0.8449999999999998
173,Tim Federowicz,Astros,C,6.4,3000,4.8,5.6,1.2800000000000007
174,Pablo Sandoval,Giants,DH,6.39,3200,5.73,6.0600000000000005,0.2177999999999995
175,Joe Panik,Giants,2B,6.43,3500,6.93,6.68,0.125
176,Salvador Perez,Royals,C,6.41,3100,6.54,6.475,0.008449999999999985
177,Ben Gamel,Mariners,LF,6.45,3200,4.87,5.66,1.2482000000000002
178,Stephen Piscotty,Athletics,RF,6.38,3700,5.49,5.9350000000000005,0.3960499999999997
179,Gerardo Parra,Rockies,LF,6.42,3700,5.72,6.07,0.2450000000000001
180,Devin Mesoraco,Mets,C,6.26,3300,5.23,5.745,0.5304499999999993
181,Maikel Franco,Phillies,3B,6.33,3400,6.45,6.390000000000001,0.007200000000000013
182,Josh Harrison,Pirates,2B,6.33,3600,6.06,6.195,0.03645000000000012
183,Daniel Palka,White Sox,DH,6.24,3600,5.82,6.03,0.08819999999999997
184,Ian Desmond,Rockies,1B,6.25,3800,6.72,6.484999999999999,0.11044999999999988
185,Tyler Saladino,Brewers,SS,6.24,3400,5.24,5.74,0.5
186,Mitch Garver,Twins,C,6.2,3000,5.03,5.615,0.6844499999999999
187,Freddy Galvis,Padres,SS,6.22,2800,5.18,5.699999999999999,0.5408
188,James McCann,Tigers,C,6.18,2900,5.62,5.9,0.15679999999999977
189,Kolten Wong,Cardinals,2B,6.15,2900,5.78,5.965,0.06845000000000004
190,Andrew Knapp,Phillies,C,6.11,3200,5.15,5.630000000000001,0.4608
191,Joey Rickard,Orioles,RF,6.13,2800,5.2,5.665,0.4324499999999997
192,Greg Allen,Indians,CF,6.13,3200,5.44,5.785,0.23804999999999965
193,Jorge Bonifacio,Royals,RF,6.13,3000,5.59,5.859999999999999,0.14580000000000004
194,Miguel Rojas,Marlins,SS,6.14,3100,4.89,5.515,0.78125
195,John Ryan Murphy,Diamondbacks,C,6.02,3700,6.21,6.115,0.018050000000000073
196,Jose Iglesias,Tigers,SS,6.16,3400,5.58,5.87,0.16820000000000004
197,Gorkys Hernandez,Giants,LF,6.11,3600,5.37,5.74,0.27380000000000015
198,Mallex Smith,Rays,LF,6.18,3000,5.12,5.65,0.5617999999999996
199,Rosell Herrera,Royals,2B,6.12,2900,5.52,5.82,0.18000000000000033
200,Chris Herrmann,Mariners,C,5.88,2700,6.03,5.955,0.011250000000000053
201,Marcus Semien,Athletics,SS,6.01,3800,5.3,5.654999999999999,0.25205
202,Devon Travis,Blue Jays,2B,6.01,3200,6.2,6.105,0.018050000000000073
203,Austin Hedges,Padres,C,5.91,2800,6.2,6.055,0.04205000000000001
204,Austin Romine,Yankees,C,5.96,3500,4.8,5.38,0.6728000000000002
205,Raimel Tapia,Rockies,LF,6.02,3400,5.26,5.64,0.28879999999999983
206,Aledmys Diaz,Blue Jays,SS,5.89,3200,6.24,6.0649999999999995,0.061250000000000186
207,Spencer Kieboom,Nationals,C,5.74,2700,5.16,5.45,0.16820000000000004
208,Amed Rosario,Mets,SS,5.85,2900,5.59,5.72,0.03379999999999994
209,Victor Reyes,Tigers,LF,5.82,3000,5.88,5.85,0.0017999999999999765
210,Jordy Mercer,Pirates,SS,5.7,2900,5.47,5.585,0.0264500000000001
211,David Fletcher,Angels,SS,5.63,3200,4.87,5.25,0.28879999999999983
212,Leury Garcia,White Sox,LF,5.61,3100,4.4,5.005000000000001,0.7320499999999999
213,Martin Maldonado,Angels,C,5.48,2900,4.55,5.015000000000001,0.43245000000000056
214,Matt Davidson,White Sox,DH,5.43,3700,6.54,5.984999999999999,0.6160500000000003
215,Daniel Robertson,Rays,2B,5.46,3200,5.53,5.495,0.00245000000000002
216,Daniel Robertson,Rays,2B,5.46,2000,5.53,5.495,0.00245000000000002
217,Lucas Duda,Royals,1B,5.36,3100,5.42,5.390000000000001,0.0017999999999999765
218,Dansby Swanson,Braves,SS,5.34,3500,5.58,5.46,0.02880000000000005
219,Caleb Joseph,Orioles,C,5.36,2700,4.43,4.895,0.43245000000000056
220,Guillermo Heredia,Mariners,CF,5.3,2800,4.35,4.824999999999999,0.45125000000000015
221,Adalberto Mondesi,Royals,SS,5.37,3300,4.28,4.825,0.5940499999999999
222,Willy Adames,Rays,SS,5.19,3100,4.64,4.915,0.15125000000000038
223,Josh Phegley,Athletics,C,5.11,2900,5.48,5.295,0.06845000000000004
224,Kevan Smith,White Sox,C,5.15,2800,4.8,4.975,0.061250000000000186
225,Hunter Dozier,Royals,1B,4.91,2800,5.31,5.109999999999999,0.0799999999999998
226,Adam Engel,White Sox,CF,4.85,2900,3.81,4.33,0.5407999999999995
227,Alcides Escobar,Royals,SS,4.72,2600,3.92,4.32,0.31999999999999984
228,Chris Sale,Red Sox,SP,26.14,14000,28.44,27.29,2.6450000000000014
229,Jacob deGrom,Mets,SP,24.72,13000,23.19,23.955,1.1704499999999962
230,Carlos Carrasco,Indians,SP,23.32,10800,22.35,22.835,0.4704499999999989
231,Freddy Peralta,Brewers,SP,21.68,10200,14.38,18.03,26.644999999999992
232,Zack Godley,Diamondbacks,SP,20.74,8600,18.49,19.615,2.53125
233,Mike Foltynewicz,Braves,SP,17.68,10500,17.36,17.52,0.05120000000000009
234,Gio Gonzalez,Nationals,SP,17.18,9500,16.28,16.73,0.4049999999999987
235,Lance Lynn,Twins,SP,16.97,6400,14.57,15.77,2.879999999999997
236,Nick Pivetta,Phillies,SP,16.3,8400,14.72,15.510000000000002,1.2482000000000002
237,Dereck Rodriguez,Giants,SP,16.12,7700,13.87,14.995000000000001,2.531250000000004
238,Felix Hernandez,Mariners,SP,16.08,7500,15.54,15.809999999999999,0.14579999999999954
239,Trevor Williams,Pirates,SP,15.25,6600,11.33,13.29,7.683199999999999
240,Sonny Gray,Yankees,SP,14.98,6800,14.33,14.655000000000001,0.21125000000000022
241,John Gant,Cardinals,SP,14.57,6300,12.99,13.780000000000001,1.2482000000000002
242,Dylan Bundy,Orioles,SP,13.97,9300,14.0,13.985,0.0004499999999999808
243,Felix Pena,Angels,SP,13.73,6600,12.87,13.3,0.369800000000001
244,German Marquez,Rockies,SP,13.44,5800,15.08,14.26,1.3448000000000009
245,Dan Straily,Marlins,SP,12.98,5600,12.42,12.7,0.15680000000000027
246,Kenta Maeda,Dodgers,SP,13.59,10000,17.65,15.62,8.241799999999994
247,Joey Lucchesi,Padres,SP,12.75,8000,12.05,12.4,0.2449999999999995
248,Jordan Zimmermann,Tigers,SP,11.7,6700,11.85,11.774999999999999,0.011250000000000053
249,Sam Gaviglio,Blue Jays,SP,11.24,5100,9.29,10.265,1.9012500000000019
250,Bartolo Colon,Rangers,SP,11.03,5200,9.51,10.27,1.1551999999999993
251,Reynaldo Lopez,White Sox,SP,9.9,6100,11.25,10.575,0.9112499999999994
252,Jason Hammel,Royals,SP,9.19,4400,10.76,9.975,1.2324500000000005
253,Paul Blackburn,Athletics,SP,8.88,4300,8.38,8.63,0.125
