Date and Time (ET),Amount,Description,Transaction ID
2018-06-08 18:40:38,-$1.00,Contest Buyin for $1 Beginner MLB 50/50 entry,100693
2018-06-08 11:03:23,$1.00,Refund for $1 Beginner MLB 50/50 entry,100618
2018-06-08 11:03:00,-$1.00,Contest Buyin for $1 Beginner MLB 50/50 entry,100617
2018-06-08 01:17:52,$1.80,Payout for $1 Beginner MLB 50/50 entry,100581
2018-06-08 01:17:48,$1.80,Payout for $1 MLB 50/50 entry,100563
2018-06-08 01:17:46,$3.60,Payout for $2 MLB 50/50 entry,100555
2018-06-07 19:01:54,$5.00,Refund for $5 MLB 50/50 entry,100517
2018-06-07 18:59:04,-$5.00,Contest Buyin for $5 MLB 50/50 entry,100516
2018-06-07 18:26:51,-$1.00,Contest Buyin for $1 MLB 50/50 entry,100493
2018-06-07 18:26:35,$5.00,Refund for $5 MLB 50/50 entry,100491
2018-06-07 17:52:46,-$5.00,Contest Buyin for $5 MLB 50/50 entry,100486
2018-06-07 17:49:30,-$2.00,Contest Buyin for $2 MLB 50/50 entry,100484
2018-06-07 17:48:48,-$1.00,Contest Buyin for $1 Beginner MLB 50/50 entry,100483
2018-06-07 16:20:25,$1.00,Refund for $1 Beginner MLB 50/50 entry,100460
2018-06-07 14:08:51,-$1.00,Contest Buyin for $1 Beginner MLB 50/50 entry,100440
2018-06-06 03:37:56,$9.00,Payout for $5 MLB 50/50 entry,100219
2018-06-06 03:37:55,$3.60,Payout for $2 MLB 50/50 entry,100207
2018-06-06 03:37:53,$1.80,Payout for $1 MLB 50/50 entry,100191
2018-06-06 03:37:50,$1.80,Payout for $1 Beginner MLB 50/50 entry,100166
2018-06-05 17:22:40,-$1.00,Contest Buyin for $1 MLB Tourney entry,100080
2018-06-05 17:19:39,-$2.00,Contest Buyin for $2 MLB 50/50 entry,100079
2018-06-05 17:19:32,-$5.00,Contest Buyin for $5 MLB 50/50 entry,100078
2018-06-05 17:19:20,-$1.00,Contest Buyin for $1 MLB 50/50 entry,100077
2018-06-05 17:19:14,-$1.00,Contest Buyin for $1 Beginner MLB 50/50 entry,100076
2018-06-05 03:27:36,$1.80,Payout for $1 Beginner MLB 50/50 entry,100004
2018-06-05 03:27:33,$1.80,Payout for $1 MLB 50/50 entry,99965
2018-06-05 03:27:31,$3.60,Payout for $2 MLB 50/50 entry,99951
2018-06-04 18:30:59,-$2.00,Contest Buyin for $2 MLB 50/50 entry,99861
