"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Gorkys Hernandez","Giants","SF @ ARI","LF","4.07",".90",".61",".20",".03",".06",".36",".44",".09",".05",".35","1.08","5.33","8.28","6.40","4146"
"Jake Bauers","Rays","HOU @ TB","LF","4.21",".78",".49",".16",".02",".11",".38",".36",".09",".05",".45","1.30","5.35","8.29","6.35","15194"
"John Hicks","Tigers","DET @ TOR","C","4.10",".92",".56",".22",".01",".13",".38",".43",".03",".02",".19","1.14","5.23","8.13","6.31","12547"
"Brian Anderson","Marlins","NYM @ MIA","RF","4.31",".98",".67",".20",".03",".08",".45",".31",".02",".01",".33","1.21","5.23","8.09","6.35","18289"
"Devin Mesoraco","Mets","NYM @ MIA","C","4.14",".81",".52",".14",".01",".13",".37",".44",".02",".02",".42",".88","5.26","8.19","6.22","5666"
"Eduardo Nunez","Red Sox","BOS @ NYY","DH","4.08",".94",".66",".17",".01",".10",".37",".39",".11",".06",".20",".79","5.19","8.06","6.35","6848"
"Amed Rosario","Mets","NYM @ MIA","SS","4.02","1.00",".73",".16",".05",".07",".33",".40",".11",".07",".16",".88","5.16","8.00","6.39","15518"
"Omar Narvaez","White Sox","CWS @ TEX","C","4.05",".94",".67",".20",".01",".06",".43",".39",".03",".02",".39",".59","5.21","8.09","6.25","13338"
"David Fletcher","Angels","LAA @ BAL","SS","3.95",".95",".67",".21",".02",".05",".44",".37",".09",".05",".22",".50","5.16","8.01","6.28","17992"
"Chris Davis","Orioles","LAA @ BAL","1B","3.92",".68",".38",".12",".00",".17",".40",".44",".01",".00",".44","1.48","5.24","8.16","6.10","9272"
"Jose Pirela","Padres","PIT @ SD","2B","3.97",".94",".64",".20",".03",".07",".35",".42",".06",".03",".28",".77","5.15","8.00","6.25","5485"
"Bobby Wilson","Twins","MIN @ CHC","C","4.12",".68",".41",".12",".00",".15",".39",".48",".03",".02",".43","1.14","5.21","8.13","6.07","6564"
"Wilson Ramos","Rays","HOU @ TB","C","4.12",".89",".62",".12",".00",".15",".36",".48",".00",".00",".23",".98","5.11","7.98","6.16","1433"
"Matt Duffy","Rays","HOU @ TB","3B","4.31","1.02",".76",".17",".02",".07",".38",".32",".07",".05",".24",".92","5.05","7.82","6.23","13836"
"Ian Desmond","Rockies","COL @ LAD","1B","3.97",".77",".50",".13",".01",".14",".35",".40",".09",".05",".29","1.27","5.07","7.87","6.07","6885"
"Gerardo Parra","Rockies","COL @ LAD","LF","4.09",".95",".65",".21",".01",".09",".34",".38",".06",".04",".24",".82","5.01","7.78","6.11","8553"
"Gregory Polanco","Pirates","PIT @ SD","RF","4.01",".74",".44",".17",".02",".11",".36",".39",".06",".03",".38","1.09","5.06","7.86","5.99","12907"
"Alex Gordon","Royals","KC @ SEA","LF","4.10",".79",".54",".13",".01",".11",".37",".35",".05",".02",".45","1.06","5.04","7.82","5.99","5209"
"Adalberto Mondesi","Royals","KC @ SEA","SS","3.73",".74",".45",".14",".03",".11",".35",".38",".15",".07",".17","1.20","4.97","7.71","6.01","13769"
"Martin Maldonado","Angels","LAA @ BAL","C","4.06",".83",".55",".17",".00",".10",".42",".40",".02",".01",".32",".91","4.99","7.77","5.94","6887"
