"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Mitch Garver","Twins","CWS @ MIN","C","4.14",".93",".53",".22",".01",".17",".54",".62",".01",".01",".44","1.00","6.63","10.36","7.76","15161"
"Corey Dickerson","Pirates","LAD @ PIT","LF","4.13","1.12",".69",".27",".04",".12",".50",".61",".03",".02",".27",".70","6.55","10.24","7.87","10762"
"Kendrys Morales","Blue Jays","BAL @ TOR","DH","4.20",".94",".52",".22",".00",".19",".54",".58",".01",".01",".41",".81","6.61","10.32","7.76","8610"
"Brandon Dixon","Reds","COL @ CIN","DH","4.02",".96",".53",".23",".01",".19",".44",".57",".10",".06",".29","1.25","6.56","10.21","7.83","15214"
"Adrian Beltre","Rangers","HOU @ TEX","3B","4.27","1.09",".70",".24",".01",".15",".51",".58",".01",".01",".38",".78","6.54","10.20","7.80","639"
"Mallex Smith","Rays","SEA @ TB","LF","4.53","1.17",".88",".19",".07",".03",".50",".33",".25",".13",".27",".80","6.43","9.91","7.96","13608"
"Alex Blandino","Reds","COL @ CIN","DH","4.54",".95",".62",".21",".01",".10",".62",".38",".06",".04",".61","1.10","6.45","9.99","7.57","16271"
"Robbie Grossman","Twins","CWS @ MIN","DH","4.24",".93",".60",".22",".01",".10",".54",".49",".03",".02",".65",".69","6.45","10.02","7.52","5254"
"Brian Anderson","Marlins","MIA @ STL","RF","4.34","1.16",".78",".23",".02",".13",".47",".57",".02",".01",".28",".83","6.32","9.86","7.65","18289"
"Gregory Polanco","Pirates","LAD @ PIT","RF","4.42",".90",".54",".23",".01",".12",".58",".40",".09",".05",".53",".88","6.41","9.93","7.53","12907"
"Mark Trumbo","Orioles","BAL @ TOR","DH","4.35",".96",".54",".23",".01",".19",".50",".59",".01",".00",".31","1.13","6.36","9.94","7.53","6876"
"Max Stassi","Astros","HOU @ TEX","C","4.21",".78",".42",".18",".00",".19",".55",".55",".02",".01",".55","1.27","6.43","10.03","7.42","10059"
"Jonathan Schoop","Orioles","BAL @ TOR","2B","4.24","1.05",".60",".26",".00",".18",".47",".56",".01",".01",".23",".99","6.31","9.85","7.56","11265"
"Mike Zunino","Mariners","SEA @ TB","C","4.01",".75",".38",".15",".00",".23",".50",".61",".01",".01",".48","1.58","6.38","9.98","7.37","13265"
"Aaron Altherr","Phillies","PHI @ CHC","RF","4.40",".80",".48",".19",".03",".10",".47",".53",".07",".04",".72","1.28","6.38","9.93","7.38","11270"
"Yairo Munoz","Cardinals","MIA @ STL","3B","4.12","1.06",".74",".17",".02",".13",".45",".60",".08",".05",".27",".88","6.25","9.77","7.54","16313"
"Denard Span","Mariners","SEA @ TB","LF","4.23",".94",".64",".17",".02",".11",".47",".44",".10",".05",".55",".69","6.32","9.79","7.49","8347"
"Curt Casali","Reds","COL @ CIN","C","4.13",".91",".57",".17",".00",".17",".47",".57",".02",".01",".48",".88","6.31","9.84","7.41","12510"
"Matt Chapman","Athletics","KC @ OAK","3B","4.00",".89",".48",".20",".02",".19",".50",".53",".03",".02",".36",".93","6.27","9.76","7.39","16505"
"Cody Bellinger","Dodgers","LAD @ PIT","1B","4.25",".90",".52",".20",".02",".16",".48",".52",".05",".03",".42","1.07","6.24","9.72","7.37","15998"
"Marcus Semien","Athletics","KC @ OAK","SS","4.41","1.05",".70",".22",".02",".11",".52",".46",".08",".04",".30",".77","6.20","9.63","7.46","12533"
"Yolmer Sanchez","White Sox","CWS @ MIN","3B","4.54","1.13",".77",".22",".05",".09",".52",".40",".09",".07",".26",".90","6.14","9.51","7.50","11602"
"Wilson Ramos","Rays","SEA @ TB","C","4.23","1.11",".77",".16",".00",".17",".49",".59",".00",".00",".19",".66","6.12","9.58","7.41","1433"
"Starlin Castro","Marlins","MIA @ STL","2B","4.63","1.31",".96",".22",".02",".11",".55",".36",".02",".02",".18",".73","6.08","9.41","7.54","4579"
"Eduardo Nunez","Red Sox","DET @ BOS","DH","4.14","1.10",".73",".28",".01",".08",".45",".51",".13",".06",".19",".60","6.08","9.47","7.41","6848"
"Ryan McMahon","Rockies","COL @ CIN","1B","4.22",".95",".58",".22",".02",".13",".44",".51",".05",".03",".41","1.20","6.14","9.56","7.29","15112"
"Jed Lowrie","Athletics","KC @ OAK","2B","4.30","1.08",".69",".27",".02",".09",".52",".46",".01",".00",".41",".59","6.12","9.51","7.31","4418"
"Salvador Perez","Royals","KC @ OAK","C","4.35","1.00",".59",".22",".01",".18",".47",".59",".01",".01",".19",".66","6.09","9.52","7.29","7304"
"Ian Happ","Cubs","PHI @ CHC","CF","3.94",".79",".42",".16",".03",".18",".42",".51",".06",".03",".47","1.50","6.14","9.55","7.20","17919"
"Josh Bell","Pirates","LAD @ PIT","1B","4.23",".91",".59",".19",".04",".10",".49",".53",".02",".02",".53",".74","6.12","9.54","7.19","13145"
"Carlos Gomez","Rays","SEA @ TB","RF","3.80",".90",".53",".20",".01",".16",".46",".55",".07",".04",".27",".91","6.07","9.48","7.22","4881"
