PLAYERID,PLAYER,SALARY,OPP,POS,TEAM,SCHEDULE_ID,NAME,LP,OL,2H,PITCHER,CATCHER,UMPIRE,PARK,ROOF,GVF,PLATOON,HFA,PH%,COLD,DK,PA,PAVSSP,PAVSSP%,BA,OBP,SLG,ISO,WOBA,K,BB,HBP,H,1B,2B,3B,HR,RBI,R,SB,CS,HR_DEPENDENCE,DK_0%_PH%,FD_0%_PH%,FPTS,FPTS/$
38044,Gleyber Torres,4200,CHW,2B,NYY,46181,Gleyber Torres,5,true,&nbsp,,Carlos Rodon,Omar Narvaez,&nbsp,,NYY,&nbsp,,-,true,true,0%,false,9.14,4.14,2.4,58%,0.285,0.361,0.52,0.235,0.372,1.05,0.43,0.02,1.04,0.61,0.2,0.02,0.21,0.67,35%,9.16,12.16,9.14,2.18
36186,Miguel Andujar,4300,CHW,3B,NYY,46181,Miguel Andujar,3,true,&nbsp,,Carlos Rodon,Omar Narvaez,&nbsp,,NYY,&nbsp,,-,true,true,0%,false,9.14,4.32,2.54,59%,0.298,0.344,0.52,0.222,0.362,0.77,0.26,0.03,1.19,0.72,0.26,0.02,0.2,0.74,33%,9.16,12.08,9.14,2.13
18804,Chris Davis,3600,TOR,1B,BAL,46180,Chris Davis,4,true,&nbsp,,Sam Gaviglio,Luke Maile,&nbsp,,BAL,&nbsp,,-,true,true,0%,false,9.11,4.12,2.49,60%,0.26,0.354,0.547,0.287,0.375,1.15,0.49,0.04,0.92,0.47,0.17,0.01,0.28,0.74,47%,9.11,12.35,9.11,2.53
37480,Rhys Hoskins,4500,WAS,OF,PHI,46176,Rhys Hoskins,2,true,&nbsp,,Stephen Strasburg,Matt Wieters,&nbsp,,PHI,&nbsp,,-,false,true,2%,true,9.06,4.27,3.06,72%,0.253,0.334,0.546,0.293,0.366,1.23,0.42,0.05,0.95,0.45,0.2,0.01,0.3,0.61,50%,9.13,12.22,9.06,2.01
18884,Kyle Schwarber,4000,NYM,OF,CHC,46177,Kyle Schwarber,7,true,&nbsp,,Noah Syndergaard,Kevin Plawecki,&nbsp,,CHC,&nbsp,,-,true,true,8%,true,9.05,3.86,2.26,59%,0.272,0.374,0.565,0.293,0.386,1.14,0.52,0.03,0.9,0.44,0.18,0.02,0.25,0.7,42%,9.43,12.75,9.05,2.26
35330,Alex Bregman,5400,OAK,3B/SS,HOU,46178,Alex Bregman,2,true,&nbsp,,Brett Anderson,Josh Phegley,&nbsp,,HOU,Closed,H,true,true,0%,false,9.01,4.27,2.49,58%,0.29,0.367,0.515,0.225,0.373,0.54,0.44,0.04,1.09,0.63,0.24,0.03,0.18,0.58,0.67,31%,9.03,11.9,9.01,1.67
34682,Willson Contreras,3400,NYM,C,CHC,46177,Willson Contreras,6,true,&nbsp,,Noah Syndergaard,Kevin Plawecki,&nbsp,,CHC,&nbsp,,-,false,true,0%,true,9.01,4.12,2.37,58%,0.301,0.358,0.535,0.234,0.376,0.98,0.29,0.06,1.12,0.66,0.24,0.03,0.19,0.66,33%,9.01,11.84,9.01,2.65
470026,Jeff McNeil,3800,CHC,2B,NYM,46177,Jeff McNeil,2,false,&nbsp,,Jon Lester,Willson Contreras,&nbsp,,CHC,&nbsp,,-,false,false,1%,false,8.97,4.64,2.62,56%,0.306,0.363,0.489,0.183,0.363,0.71,0.33,0.08,1.28,0.8,0.32,0.03,0.13,0.46,22%,9.03,11.62,8.97,2.36
14626,Nolan Arenado,5000,LAA,3B,COL,46182,Nolan Arenado,4,false,&nbsp,,Odrisamer Despaigne,Francisco Arcia,&nbsp,,LAA,&nbsp,,-,false,false,1%,false,8.81,4.37,2.79,64%,0.257,0.332,0.501,0.244,0.347,0.72,0.42,0.04,1,0.54,0.21,0.01,0.24,0.72,42%,8.85,11.88,8.81,1.76
13386,Kendrys Morales,5000,BAL,1B,TOR,46180,Kendrys Morales,3,true,&nbsp,,David Hess,Caleb Joseph,&nbsp,,BAL,&nbsp,,-,true,false,1%,false,8.8,4.42,2.47,56%,0.244,0.324,0.502,0.258,0.346,0.76,0.45,0.03,0.96,0.51,0.16,0,0.28,0.69,50%,8.83,11.86,8.8,1.76
10425,Jose Bautista,3500,CHC,3B/OF,NYM,46177,Jose Bautista,7,false,&nbsp,,Jon Lester,Willson Contreras,&nbsp,,CHC,&nbsp,,-,true,false,14%,false,8.8,3.93,2.21,56%,0.258,0.371,0.56,0.302,0.389,0.9,0.56,0.04,0.85,0.39,0.18,0.01,0.27,0.65,48%,9.39,12.72,8.8,2.51
14613,Anthony Rendon,4200,PHI,3B,WAS,46176,Anthony Rendon,4,false,&nbsp,,Zach Eflin,Wilson Ramos,&nbsp,,PHI,&nbsp,,-,false,false,0%,false,8.79,4.39,2.56,58%,0.274,0.334,0.508,0.234,0.352,0.77,0.33,0.05,1.09,0.6,0.26,0.01,0.22,0.68,38%,8.79,11.65,8.79,2.09
10351,Justin Smoak,4200,BAL,1B,TOR,46180,Justin Smoak,4,true,&nbsp,,David Hess,Caleb Joseph,&nbsp,,BAL,&nbsp,,-,true,false,0%,false,8.75,4.35,2.4,55%,0.24,0.348,0.506,0.266,0.36,0.88,0.61,0.02,0.89,0.45,0.16,0,0.27,0.66,48%,8.75,11.84,8.75,2.08
21824,Trea Turner,4700,PHI,SS,WAS,46176,Trea Turner,2,false,&nbsp,,Zach Eflin,Wilson Ramos,&nbsp,,PHI,&nbsp,,-,false,false,0%,false,8.68,4.55,2.71,60%,0.274,0.314,0.45,0.176,0.324,0.98,0.24,0.03,1.16,0.75,0.22,0.03,0.15,0.46,27%,8.68,11.1,8.68,1.85
15035,George Springer,4600,OAK,OF,HOU,46178,George Springer,1,true,&nbsp,,Brett Anderson,Josh Phegley,&nbsp,,HOU,Closed,-,true,true,2%,false,8.66,4.35,2.6,60%,0.273,0.36,0.482,0.209,0.36,0.8,0.47,0.05,1.04,0.64,0.19,0.02,0.19,0.51,0.71,33%,8.73,11.54,8.66,1.88
10373,Ben Zobrist,4100,NYM,2B/OF,CHC,46177,Ben Zobrist,4,true,&nbsp,,Noah Syndergaard,Kevin Plawecki,&nbsp,,CHC,&nbsp,,-,true,true,3%,false,8.58,4.28,2.53,59%,0.293,0.374,0.493,0.2,0.368,0.65,0.5,0.01,1.09,0.64,0.29,0.03,0.13,0.63,23%,8.68,11.5,8.58,2.09
11406,Jose Altuve,4700,OAK,2B,HOU,46178,Jose Altuve,3,true,&nbsp,,Brett Anderson,Josh Phegley,&nbsp,,HOU,Closed,-,true,true,0%,false,8.56,4.19,2.41,58%,0.317,0.374,0.483,0.166,0.365,0.48,0.33,0.04,1.19,0.83,0.23,0.02,0.12,0.56,0.53,21%,8.58,11.05,8.56,1.82
490053,Cedric Mullins,4300,TOR,OF,BAL,46180,Cedric Mullins II,1,true,&nbsp,,Sam Gaviglio,Luke Maile,&nbsp,,BAL,&nbsp,,-,true,true,0%,false,8.56,4.42,2.76,62%,0.277,0.329,0.469,0.192,0.338,0.61,0.31,0.02,1.12,0.66,0.28,0.03,0.15,0.45,26%,8.58,11.08,8.56,1.99
17693,David Peralta,5500,SFG,OF,ARI,46179,David Peralta,3,false,&nbsp,,Chris Stratton,Nick Hundley,&nbsp,,SFG,&nbsp,,-,true,false,0%,false,8.44,4.51,2.82,63%,0.287,0.346,0.451,0.164,0.341,0.73,0.36,0.03,1.17,0.8,0.2,0.06,0.12,0.63,22%,8.44,11.03,8.44,1.53
18018,Steven Souza,3800,SFG,OF,ARI,46179,Steven Souza,5,false,&nbsp,,Chris Stratton,Nick Hundley,&nbsp,,SFG,&nbsp,,-,false,false,3%,false,8.36,4.26,2.65,62%,0.267,0.347,0.449,0.182,0.342,1.05,0.43,0.04,1,0.62,0.22,0.01,0.14,0.64,27%,8.45,11.23,8.36,2.2
10522,Curtis Granderson,4700,BAL,OF,TOR,46180,Curtis Granderson,1,true,&nbsp,,David Hess,Caleb Joseph,&nbsp,,BAL,&nbsp,,P,true,false,4%,false,8.34,4.53,2.65,58%,0.22,0.333,0.457,0.237,0.337,0.95,0.62,0.05,0.84,0.42,0.18,0.01,0.23,0.49,42%,8.48,11.41,8.34,1.77
13612,Adam Eaton,4600,PHI,OF,WAS,46176,Adam Eaton,1,false,&nbsp,,Zach Eflin,Wilson Ramos,&nbsp,,PHI,&nbsp,,-,true,false,5%,false,8.27,4.58,2.81,61%,0.291,0.353,0.462,0.171,0.35,0.79,0.35,0.07,1.2,0.8,0.22,0.05,0.13,0.39,24%,8.43,10.81,8.27,1.8
17740,Trevor Story,4600,LAA,SS,COL,46182,Trevor Story,5,false,&nbsp,,Odrisamer Despaigne,Francisco Arcia,&nbsp,,LAA,&nbsp,,-,false,false,0%,false,8.27,4.3,2.71,63%,0.242,0.311,0.463,0.221,0.327,1.19,0.35,0.06,0.93,0.49,0.24,0.01,0.2,0.59,36%,8.27,10.98,8.27,1.8
10429,Ryan Zimmerman,4100,PHI,1B,WAS,46176,Ryan Zimmerman,6,false,&nbsp,,Zach Eflin,Wilson Ramos,&nbsp,,PHI,&nbsp,,-,false,false,5%,false,8.24,4.08,2.37,58%,0.264,0.307,0.522,0.258,0.345,0.99,0.22,0.03,1,0.54,0.2,0.01,0.26,0.64,48%,8.45,11.18,8.24,2.01
10289,Wilson Ramos,4500,WAS,C,PHI,46176,Wilson Ramos,4,true,&nbsp,,Stephen Strasburg,Matt Wieters,&nbsp,,PHI,&nbsp,,-,false,true,2%,false,8.14,4.07,2.86,70%,0.274,0.312,0.514,0.24,0.344,0.95,0.21,0.02,1.04,0.63,0.16,0,0.25,0.66,47%,8.2,10.78,8.14,1.81
10513,Jason Heyward,3400,NYM,OF,CHC,46177,Jason Heyward,5,true,&nbsp,,Noah Syndergaard,Kevin Plawecki,&nbsp,,CHC,&nbsp,,-,true,true,3%,true,8.14,4.18,2.46,59%,0.3,0.365,0.468,0.168,0.356,0.6,0.37,0.02,1.13,0.74,0.26,0.03,0.1,0.55,20%,8.24,10.71,8.14,2.39
10474,Jose Reyes,3900,CHC,3B/SS,NYM,46177,Jose Reyes,8,false,&nbsp,,Jon Lester,Willson Contreras,&nbsp,,CHC,&nbsp,,-,true,false,0%,false,8.13,4.11,2.11,51%,0.281,0.338,0.484,0.203,0.347,0.6,0.33,0.01,1.05,0.64,0.21,0.06,0.15,0.5,28%,8.14,10.5,8.13,2.08
10517,Andrew McCutchen,4100,ARI,OF,SFG,46179,Andrew McCutchen,1,false,&nbsp,,Patrick Corbin,Jeff Mathis,&nbsp,,SFG,&nbsp,,-,true,true,1%,false,8.12,4.37,3.38,77%,0.269,0.362,0.464,0.195,0.353,0.99,0.54,0.03,1.02,0.61,0.22,0.03,0.15,0.4,27%,8.14,10.65,8.12,1.98
15357,Randal Grichuk,4200,BAL,OF,TOR,46180,Randal Grichuk,5,true,&nbsp,,David Hess,Caleb Joseph,&nbsp,,BAL,&nbsp,,P,false,false,0%,false,8.11,4.26,2.33,55%,0.221,0.28,0.486,0.265,0.319,1.12,0.29,0.05,0.86,0.37,0.21,0.01,0.27,0.62,50%,8.11,10.85,8.11,1.93
10551,Adam Jones,4000,TOR,OF,BAL,46180,Adam Jones,3,true,&nbsp,,Sam Gaviglio,Luke Maile,&nbsp,,BAL,&nbsp,,-,false,true,0%,false,8.08,4.23,2.56,61%,0.289,0.326,0.482,0.193,0.341,0.65,0.18,0.06,1.14,0.76,0.2,0.01,0.18,0.63,35%,8.08,10.53,8.08,2.02
16282,Carlos Correa,4500,OAK,SS,HOU,46178,Carlos Correa,4,true,&nbsp,,Brett Anderson,Josh Phegley,&nbsp,,HOU,Closed,-,true,true,0%,true,8.07,4.08,2.34,57%,0.283,0.359,0.485,0.202,0.358,0.81,0.43,0.02,1.02,0.63,0.21,0.01,0.16,0.6,0.56,31%,8.09,10.7,8.07,1.79
10509,Carlos Gonzalez,4600,LAA,OF,COL,46182,Carlos Gonzalez,3,false,&nbsp,,Odrisamer Despaigne,Francisco Arcia,&nbsp,,LAA,&nbsp,,-,true,false,0%,false,8.04,4.5,2.87,64%,0.256,0.328,0.436,0.18,0.325,1,0.43,0.02,1.03,0.65,0.2,0.01,0.16,0.6,32%,8.04,10.63,8.04,1.75
36536,David Bote,3300,NYM,3B,CHC,46177,David Bote,9,true,&nbsp,,Noah Syndergaard,Kevin Plawecki,&nbsp,,CHC,&nbsp,,-,false,true,0%,false,7.94,3.79,2.05,54%,0.276,0.329,0.504,0.228,0.349,1,0.23,0.05,0.96,0.54,0.22,0.02,0.18,0.54,34%,7.96,10.45,7.94,2.41
13552,Avisail Garcia,3800,NYY,OF,CHW,46181,Avisail Garcia,3,false,&nbsp,,Masahiro Tanaka,Kyle Higashioka,&nbsp,,NYY,&nbsp,,-,false,false,2%,true,7.74,4.27,2.79,65%,0.264,0.305,0.46,0.196,0.324,1.19,0.2,0.05,1.06,0.69,0.15,0.01,0.2,0.55,41%,7.8,10.1,7.74,2.04
15967,Kevin Plawecki,3500,CHC,C,NYM,46177,Kevin Plawecki,8,false,&nbsp,,Jon Lester,Willson Contreras,&nbsp,,CHC,&nbsp,,-,true,false,7%,false,7.69,3.97,2.11,53%,0.277,0.343,0.499,0.222,0.355,0.74,0.31,0.06,0.99,0.58,0.22,0.01,0.19,0.54,38%,7.96,10.48,7.69,2.2
10436,Mark Reynolds,3800,PHI,1B/3B,WAS,46176,Mark Reynolds,6,false,&nbsp,,Zach Eflin,Wilson Ramos,&nbsp,,PHI,&nbsp,,-,false,false,0%,false,7.62,4.18,2.37,57%,0.228,0.287,0.457,0.229,0.313,1.35,0.3,0.03,0.87,0.49,0.14,0,0.24,0.6,49%,7.64,10.18,7.62,2.01
14582,Khris Davis,4700,HOU,OF,OAK,46178,Khris Davis,4,false,&nbsp,,Gerrit Cole,Martin Maldonado,&nbsp,,HOU,Closed,-,false,false,2%,false,7.62,4.17,3.2,77%,0.216,0.281,0.463,0.247,0.313,1.5,0.29,0.07,0.82,0.4,0.15,0.01,0.26,0.61,0.54,52%,7.66,10.26,7.62,1.62
17535,Billy McKinney,3900,BAL,OF,TOR,46180,Billy McKinney,2,true,&nbsp,,David Hess,Caleb Joseph,&nbsp,,BAL,&nbsp,,-,true,false,14%,false,7.47,4.23,2.56,61%,0.235,0.31,0.445,0.21,0.321,0.9,0.39,0.03,0.89,0.5,0.18,0.02,0.19,0.49,40%,7.93,10.51,7.47,1.92
36198,Daniel Palka,4000,NYY,OF,CHW,46181,Daniel Palka,4,false,&nbsp,,Masahiro Tanaka,Kyle Higashioka,&nbsp,,NYY,&nbsp,,-,true,false,7%,false,7.45,4.09,2.72,67%,0.224,0.273,0.46,0.236,0.305,1.56,0.25,0.02,0.85,0.45,0.15,0.01,0.24,0.57,51%,7.67,10.16,7.45,1.86
17649,Trey Mancini,3600,TOR,1B/OF,BAL,46180,Trey Mancini,5,true,&nbsp,,Sam Gaviglio,Luke Maile,&nbsp,,BAL,&nbsp,,-,false,true,1%,false,7.43,4.02,2.41,60%,0.279,0.327,0.469,0.19,0.338,0.9,0.24,0.04,1.04,0.68,0.18,0.01,0.17,0.54,34%,7.46,9.72,7.43,2.06
10483,Asdrubal Cabrera,4000,WAS,2B/SS,PHI,46176,Asdrubal Cabrera,5,true,&nbsp,,Stephen Strasburg,Matt Wieters,&nbsp,,PHI,&nbsp,,-,true,true,4%,true,7.41,3.95,2.78,70%,0.251,0.316,0.481,0.23,0.336,0.95,0.32,0.03,0.9,0.49,0.2,0.01,0.2,0.55,42%,7.51,9.95,7.41,1.85
10511,Matt Holliday,3700,LAA,OF,COL,46182,Matt Holliday,5,false,&nbsp,,Odrisamer Despaigne,Francisco Arcia,&nbsp,,LAA,&nbsp,,-,false,false,0%,false,7.31,4.3,2.71,63%,0.244,0.332,0.418,0.174,0.323,0.83,0.41,0.1,0.92,0.57,0.2,0,0.15,0.51,31%,7.31,9.7,7.31,1.98
14547,Evan Gattis,4000,OAK,C,HOU,46178,Evan Gattis,7,true,&nbsp,,Brett Anderson,Josh Phegley,&nbsp,,HOU,Closed,-,true,true,4%,true,7.31,3.78,2.09,55%,0.25,0.304,0.485,0.235,0.33,0.73,0.25,0.03,0.87,0.48,0.16,0.01,0.21,0.59,0.55,44%,7.46,9.92,7.31,1.83
37227,Luke Voit,3400,CHW,1B,NYY,46181,Luke Voit,4,true,&nbsp,,Carlos Rodon,Omar Narvaez,&nbsp,,NYY,&nbsp,,-,true,true,34%,false,7.3,3.63,2.47,68%,0.277,0.359,0.489,0.212,0.36,0.83,0.38,0.04,0.88,0.54,0.17,0.01,0.16,0.58,35%,8.42,11.24,7.3,2.15
11507,Eduardo Escobar,4200,SFG,3B/SS,ARI,46179,Eduardo Escobar,5,false,&nbsp,,Chris Stratton,Nick Hundley,&nbsp,,SFG,&nbsp,,-,true,false,1%,false,7.3,4.29,2.65,62%,0.249,0.312,0.412,0.163,0.309,0.76,0.35,0.02,0.97,0.58,0.24,0.05,0.1,0.56,21%,7.33,9.67,7.3,1.74
13703,DJ LeMahieu,4200,LAA,2B,COL,46182,DJ LeMahieu,2,false,&nbsp,,Odrisamer Despaigne,Francisco Arcia,&nbsp,,LAA,&nbsp,,-,false,false,0%,false,7.25,4.58,2.98,65%,0.277,0.335,0.384,0.107,0.314,0.61,0.36,0.03,1.14,0.86,0.18,0.02,0.08,0.42,16%,7.25,9.28,7.25,1.73
35086,Tim Anderson,4400,NYY,SS,CHW,46181,Tim Anderson,2,false,&nbsp,,Masahiro Tanaka,Kyle Higashioka,&nbsp,,NYY,&nbsp,,-,false,false,0%,false,7.24,4.38,2.89,66%,0.246,0.271,0.402,0.156,0.286,1.32,0.14,0.03,1.03,0.7,0.16,0.02,0.15,0.43,32%,7.24,9.21,7.24,1.65
10610,Jon Jay,4000,SFG,OF,ARI,46179,Jon Jay,1,false,&nbsp,,Chris Stratton,Nick Hundley,&nbsp,,SFG,&nbsp,,-,true,false,0%,false,7.18,4.7,3,64%,0.289,0.347,0.373,0.084,0.317,0.69,0.32,0.09,1.22,0.95,0.21,0.04,0.02,0.31,4%,7.18,9.05,7.18,1.8
41843,Shohei Ohtani,4600,COL,OF,LAA,46182,Shohei Ohtani,4,false,&nbsp,,Jon Gray,Tony Wolters,&nbsp,,LAA,&nbsp,,-,true,true,0%,false,7.16,4.06,3.13,77%,0.226,0.302,0.418,0.192,0.307,1.5,0.38,0.02,0.82,0.47,0.17,0.01,0.17,0.53,36%,7.16,9.52,7.16,1.56
10426,Evan Longoria,3500,ARI,3B,SFG,46179,Evan Longoria,3,false,&nbsp,,Patrick Corbin,Jeff Mathis,&nbsp,,SFG,&nbsp,,-,true,true,2%,true,7.14,4.13,3.15,76%,0.264,0.317,0.441,0.177,0.32,0.84,0.28,0.03,1,0.62,0.22,0.02,0.13,0.51,29%,7.17,9.35,7.14,2.04
17482,Maikel Franco,3900,WAS,3B,PHI,46176,Maikel Franco,7,true,&nbsp,,Stephen Strasburg,Matt Wieters,&nbsp,,PHI,&nbsp,,-,false,true,4%,false,7.13,3.72,2.56,69%,0.266,0.307,0.506,0.24,0.338,0.71,0.2,0.02,0.92,0.52,0.18,0.01,0.21,0.52,46%,7.22,9.45,7.13,1.83
15528,Nick Ahmed,3300,SFG,SS,ARI,46179,Nick Ahmed,6,false,&nbsp,,Chris Stratton,Nick Hundley,&nbsp,,SFG,&nbsp,,-,false,false,0%,false,7.11,4.21,2.54,60%,0.254,0.303,0.404,0.15,0.302,0.76,0.26,0.03,0.99,0.65,0.21,0.02,0.11,0.53,24%,7.11,9.26,7.11,2.15
10261,Carlos Santana,4100,WAS,1B,PHI,46176,Carlos Santana,6,true,&nbsp,,Stephen Strasburg,Matt Wieters,&nbsp,,PHI,&nbsp,,-,true,true,0%,false,7.11,3.88,2.68,69%,0.231,0.354,0.46,0.229,0.348,0.79,0.61,0.02,0.74,0.39,0.16,0.01,0.19,0.46,40%,7.11,9.56,7.11,1.73
17878,David Dahl,4800,LAA,OF,COL,46182,David Dahl,6,false,&nbsp,,Odrisamer Despaigne,Francisco Arcia,&nbsp,,LAA,&nbsp,,-,true,false,3%,false,7.11,4.14,2.62,63%,0.25,0.306,0.424,0.174,0.311,1.11,0.3,0.02,0.95,0.59,0.2,0.02,0.14,0.47,29%,7.19,9.35,7.11,1.48
10540,Austin Jackson,3200,CHC,OF,NYM,46177,Austin Jackson,6,false,&nbsp,,Jon Lester,Willson Contreras,&nbsp,,CHC,&nbsp,,-,true,false,19%,false,7.09,3.92,2.29,58%,0.278,0.342,0.461,0.183,0.343,0.99,0.34,0.02,0.98,0.61,0.21,0.04,0.12,0.45,27%,7.75,10.04,7.09,2.22
