,Year,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,wSB,wRC,wRAA,wOBA,wRC+
35,1991,Athletics,1810.0,5410.0,6192.0,1342.0,918.0,246.0,19.0,159.0,760.0,716.0,642.0,56.0,981.0,50.0,49.0,41.0,130.0,151.0,64.0,0.248,10.4,15.8,0.65,0.331,0.389,0.719,0.141,4.7,0.274, , ,4.7,727.0,28.2,0.324,104.0
36,1991,Giants,2283.0,5463.0,6098.0,1345.0,941.0,215.0,48.0,141.0,649.0,605.0,471.0,59.0,973.0,40.0,33.0,90.0,91.0,95.0,57.0,0.246,7.7,16.0,0.48,0.309,0.381,0.69,0.134,4.8,0.275, , ,-3.7,638.0,-50.1,0.308,96.0
37,1991,Astros,2277.0,5504.0,6147.0,1345.0,983.0,240.0,43.0,79.0,605.0,570.0,502.0,45.0,1027.0,35.0,43.0,63.0,87.0,125.0,68.0,0.244,8.2,16.7,0.49,0.309,0.347,0.656,0.102,4.7,0.285, , ,-2.0,589.0,-104.7,0.297,88.0
38,1991,Mets,2141.0,5359.0,6077.0,1305.0,914.0,250.0,24.0,117.0,640.0,605.0,578.0,53.0,789.0,27.0,52.0,60.0,97.0,153.0,70.0,0.244,9.5,13.0,0.73,0.317,0.365,0.682,0.121,4.5,0.264, , ,2.8,633.0,-52.9,0.308,94.0
39,1991,Brewers,1638.0,5611.0,6311.0,1523.0,1107.0,247.0,53.0,116.0,799.0,750.0,556.0,48.0,802.0,23.0,66.0,52.0,137.0,106.0,68.0,0.271,8.8,12.7,0.69,0.336,0.396,0.732,0.125,5.0,0.296, , ,-5.9,761.0,48.8,0.328,104.0
40,1991,Red Sox,1731.0,5530.0,6259.0,1486.0,1030.0,305.0,25.0,126.0,731.0,691.0,593.0,49.0,820.0,32.0,51.0,50.0,144.0,59.0,39.0,0.269,9.5,13.1,0.72,0.34,0.401,0.741,0.133,3.6,0.293, , ,-3.8,777.0,71.1,0.333,100.0
41,1991,Pirates,2219.0,5449.0,6269.0,1433.0,998.0,259.0,50.0,126.0,768.0,725.0,620.0,62.0,901.0,35.0,66.0,99.0,111.0,124.0,46.0,0.263,9.9,14.4,0.69,0.338,0.398,0.737,0.135,5.3,0.291, , ,6.4,758.0,51.3,0.33,109.0
42,1991,Reds,2195.0,5501.0,6134.0,1419.0,978.0,250.0,27.0,164.0,689.0,654.0,488.0,54.0,1006.0,32.0,41.0,72.0,85.0,124.0,56.0,0.258,8.0,16.4,0.49,0.32,0.403,0.723,0.145,4.6,0.287, , ,2.5,708.0,15.8,0.322,100.0
43,1991,Blue Jays,1753.0,5489.0,6167.0,1412.0,939.0,295.0,45.0,133.0,684.0,649.0,499.0,49.0,1043.0,58.0,65.0,56.0,108.0,148.0,53.0,0.257,8.1,16.9,0.48,0.322,0.4,0.722,0.143,5.2,0.292, , ,8.5,716.0,20.0,0.322,98.0
44,1991,Angels,1626.0,5470.0,6050.0,1396.0,1007.0,245.0,29.0,115.0,653.0,607.0,448.0,28.0,928.0,38.0,31.0,63.0,114.0,94.0,56.0,0.255,7.4,15.3,0.48,0.314,0.374,0.688,0.118,4.3,0.287, , ,-3.5,646.0,-36.1,0.311,91.0
45,1991,Cardinals,2150.0,5362.0,6020.0,1366.0,1006.0,239.0,53.0,68.0,651.0,599.0,532.0,48.0,857.0,21.0,47.0,58.0,94.0,202.0,110.0,0.255,8.8,14.2,0.62,0.322,0.357,0.679,0.102,5.5,0.289, , ,-3.2,623.0,-56.2,0.307,92.0
