,Year,Team,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,FIP,E-F,xFIP,SIERA
123,1994,Padres,47.0,70.0,4.08,390.0,117.0,8.0,3.0,27.0, , ,1045.2,4503.0,1008.0,531.0,474.0,99.0,393.0,62.0,25.0,48.0,5.0,862.0,7.42,3.38,2.19,0.85,19.1,8.7,10.4,0.247,1.34,0.291,69.5,98.0,89.0, ,3.91,0.17, , 
124,1994,Dodgers,58.0,56.0,4.17,353.0,114.0,14.0,4.0,20.0, , ,1014.0,4369.0,1041.0,509.0,470.0,90.0,354.0,36.0,33.0,42.0,7.0,732.0,6.5,3.14,2.07,0.8,16.8,8.1,8.7,0.261,1.38,0.301,70.6,106.0,97.0, ,3.99,0.19, , 
125,1994,Orioles,63.0,49.0,4.31,346.0,112.0,13.0,3.0,37.0, , ,997.2,4265.0,1005.0,497.0,478.0,131.0,351.0,25.0,26.0,18.0,1.0,666.0,6.01,3.17,1.9,1.18,15.6,8.2,7.4,0.258,1.36,0.283,73.8,89.0,97.0, ,4.64,-0.32, , 
126,1994,Indians,66.0,47.0,4.39,335.0,113.0,17.0,5.0,21.0, , ,1018.2,4488.0,1097.0,562.0,497.0,94.0,404.0,28.0,41.0,58.0,6.0,666.0,5.88,3.57,1.65,0.83,14.8,9.0,5.8,0.271,1.47,0.306,69.5,91.0,92.0, ,4.33,0.06, , 
127,1994,Marlins,51.0,64.0,4.51,415.0,115.0,5.0,3.0,30.0, , ,1014.2,4474.0,1069.0,576.0,508.0,120.0,428.0,50.0,39.0,57.0,13.0,649.0,5.76,3.8,1.52,1.06,14.5,9.6,4.9,0.267,1.48,0.293,70.2,107.0,112.0, ,4.77,-0.26, , 
128,1994,Pirates,53.0,61.0,4.65,399.0,114.0,8.0,1.0,24.0, , ,1005.2,4393.0,1094.0,580.0,520.0,117.0,370.0,52.0,41.0,24.0,11.0,650.0,5.82,3.31,1.76,1.05,14.8,8.4,6.4,0.275,1.46,0.304,69.0,109.0,107.0, ,4.58,0.08, , 
129,1994,Athletics,51.0,63.0,4.82,422.0,114.0,12.0,3.0,23.0, , ,1003.1,4423.0,979.0,589.0,537.0,128.0,510.0,30.0,34.0,42.0,12.0,732.0,6.57,4.57,1.44,1.15,16.6,11.5,5.0,0.252,1.48,0.282,69.5,105.0,106.0, ,4.96,-0.14, , 
130,1994,Mariners,49.0,63.0,5.01,364.0,112.0,13.0,4.0,21.0, , ,984.0,4411.0,1051.0,616.0,548.0,109.0,486.0,39.0,28.0,41.0,1.0,763.0,6.98,4.45,1.57,1.0,17.3,11.0,6.3,0.27,1.56,0.311,67.2,104.0,97.0, ,4.59,0.42, , 
131,1994,Cardinals,53.0,61.0,5.17,445.0,115.0,7.0,3.0,29.0, , ,1018.0,4470.0,1154.0,621.0,585.0,134.0,355.0,28.0,38.0,40.0,5.0,632.0,5.59,3.14,1.78,1.18,14.1,7.9,6.2,0.283,1.48,0.308,68.1,124.0,113.0, ,4.76,0.41, , 
132,1994,Angels,47.0,68.0,5.43,372.0,115.0,11.0,3.0,21.0, , ,1027.0,4566.0,1149.0,660.0,620.0,150.0,436.0,28.0,45.0,48.0,8.0,682.0,5.98,3.82,1.56,1.31,14.9,9.6,5.4,0.281,1.54,0.307,68.3,112.0,106.0, ,5.11,0.33, , 
133,1994,Twins,53.0,60.0,5.69,385.0,113.0,6.0,2.0,29.0, , ,1005.0,4507.0,1197.0,688.0,635.0,153.0,388.0,20.0,31.0,43.0,4.0,602.0,5.39,3.47,1.55,1.37,13.4,8.6,4.8,0.293,1.58,0.313,66.2,116.0,109.0, ,5.16,0.52, , 
134,1995,Braves,90.0,54.0,3.44,483.0,144.0,18.0,6.0,34.0, , ,1291.2,5410.0,1184.0,540.0,494.0,107.0,436.0,46.0,32.0,38.0,4.0,1087.0,7.57,3.04,2.49,0.75,20.1,8.1,12.0,0.24,1.25,0.287,74.0,82.0,84.0, ,3.58,-0.14, , 
135,1995,Indians,100.0,44.0,3.83,479.0,144.0,10.0,4.0,50.0, , ,1301.0,5512.0,1261.0,607.0,554.0,135.0,445.0,16.0,45.0,48.0,5.0,926.0,6.41,3.08,2.08,0.93,16.8,8.1,8.7,0.251,1.31,0.284,73.2,81.0,89.0, ,4.16,-0.33, , 
