"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Buster Posey","Giants","MIA @ SF","C","4.30","1.13",".78",".26",".01",".08",".53",".56",".03",".02",".58",".50","6.72","10.46","7.96","9166"
"Alex Gordon","Royals","TEX @ KC","LF","4.47","1.11",".74",".20",".02",".15",".63",".50",".04",".03",".34",".75","6.69","10.41","8.00","5209"
"Yadier Molina","Cardinals","STL @ PHI","C","4.38","1.10",".72",".20",".00",".17",".52",".62",".05",".03",".25",".78","6.66","10.40","7.98","7007"
"Josh Reddick","Astros","TB @ HOU","RF","4.14",".95",".60",".19",".02",".13",".56",".54",".04",".03",".61",".79","6.73","10.47","7.87","3892"
"Odubel Herrera","Phillies","STL @ PHI","CF","4.32","1.20",".80",".24",".03",".13",".52",".52",".06",".04",".25",".81","6.60","10.27","8.02","11476"
"Joc Pederson","Dodgers","LAD @ CHC","LF","4.26",".82",".45",".21",".02",".14",".49",".58",".05",".03",".71",".84","6.75","10.50","7.78","11899"
"Jason Heyward","Cubs","LAD @ CHC","RF","4.59","1.08",".72",".22",".04",".10",".64",".46",".06",".03",".43",".72","6.65","10.33","7.93","4940"
"Jason Kipnis","Indians","CWS @ CLE","2B","4.18",".96",".56",".24",".02",".14",".54",".60",".04",".02",".44",".77","6.65","10.38","7.81","9776"
"Brian Anderson","Marlins","MIA @ SF","RF","4.59","1.20",".79",".26",".04",".11",".59",".42",".03",".02",".37",".89","6.58","10.19","7.95","18289"
"Jedd Gyorko","Cardinals","STL @ PHI","3B","4.27",".93",".55",".15",".01",".22",".52",".58",".03",".02",".40","1.16","6.62","10.32","7.81","10816"
"Colin Moran","Pirates","MIL @ PIT","3B","4.30","1.07",".74",".21",".02",".11",".56",".57",".02",".02",".47",".69","6.58","10.27","7.80","16909"
"Daniel Palka","White Sox","CWS @ CLE","DH","4.29",".94",".51",".19",".02",".22",".51",".57",".05",".04",".27","1.50","6.57","10.24","7.80","14897"
"Yulieski Gurriel","Astros","TB @ HOU","1B","4.25","1.14",".74",".28",".01",".11",".53",".66",".02",".02",".25",".57","6.52","10.22","7.81","19198"
"Francisco Cervelli","Pirates","MIL @ PIT","C","4.20",".94",".63",".17",".03",".11",".54",".55",".03",".02",".65",".78","6.61","10.29","7.72","5275"
"Mac Williamson","Giants","MIA @ SF","LF","4.21",".93",".54",".21",".02",".16",".49",".67",".02",".02",".44","1.14","6.57","10.29","7.70","14158"
"Cesar Hernandez","Phillies","STL @ PHI","2B","4.52","1.16",".85",".17",".05",".09",".58",".33",".12",".06",".39",".90","6.47","9.98","7.89","10556"
"Josh Harrison","Pirates","MIL @ PIT","2B","4.64","1.17",".80",".25",".03",".08",".55",".41",".08",".05",".37",".67","6.46","10.01","7.83","8202"
"Nick Williams","Phillies","STL @ PHI","RF","4.00","1.02",".58",".19",".04",".20",".47",".56",".05",".03",".20","1.02","6.44","10.03","7.74","14330"
"Jonathan Villar","Brewers","MIL @ PIT","2B","4.30","1.05",".74",".20",".02",".09",".44",".50",".19",".09",".35","1.05","6.43","9.98","7.78","10071"
"J.T. Realmuto","Marlins","MIA @ SF","C","4.49","1.17",".79",".24",".04",".10",".50",".51",".05",".03",".30",".79","6.41","9.97","7.77","11739"
"Lonnie Chisenhall","Indians","CWS @ CLE","RF","4.07","1.00",".62",".24",".02",".13",".52",".56",".04",".02",".41",".81","6.43","10.03","7.61","7571"
"Starlin Castro","Marlins","MIA @ SF","2B","4.71","1.32",".95",".24",".03",".10",".55",".38",".02",".02",".25",".78","6.28","9.72","7.75","4579"
"Yoan Moncada","White Sox","CWS @ CLE","2B","4.59",".88",".53",".17",".02",".17",".51",".42",".12",".06",".44","1.79","6.38","9.89","7.57","17232"
"Tyler Naquin","Indians","CWS @ CLE","RF","3.84","1.02",".65",".20",".03",".13",".57",".52",".04",".03",".32",".90","6.33","9.87","7.55","13359"
"Robinson Chirinos","Rangers","TEX @ KC","C","4.16",".81",".43",".19",".01",".19",".53",".51",".02",".02",".54","1.37","6.38","9.93","7.40","3142"
"Brian McCann","Astros","TB @ HOU","C","3.92",".79",".46",".12",".01",".20",".54",".58",".01",".00",".54",".76","6.37","9.96","7.37","4810"
"Adalberto Mondesi","Royals","TEX @ KC","SS","3.71",".95",".56",".18",".08",".13",".47",".49",".16",".08",".14",".82","6.21","9.65","7.53","13769"
"Dexter Fowler","Cardinals","STL @ PHI","RF","4.16",".86",".51",".16",".04",".15",".45",".47",".06",".03",".54","1.07","6.29","9.76","7.40","4062"
"Scott Kingery","Phillies","STL @ PHI","SS","4.11","1.04",".67",".21",".03",".12",".46",".55",".10",".05",".19",".89","6.18","9.64","7.49","17975"
"Erik Kratz","Brewers","MIL @ PIT","C","4.19",".96",".61",".19",".01",".16",".46",".57",".04",".02",".36",".73","6.21","9.70","7.38","4403"
"Justin Upton","Angels","ARI @ LAA","LF","4.22",".87",".48",".16",".00",".22",".46",".54",".04",".02",".31","1.38","6.23","9.70","7.37","5222"
"Gorkys Hernandez","Giants","MIA @ SF","LF","4.61","1.02",".72",".21",".03",".07",".52",".34",".12",".07",".48","1.17","6.18","9.54","7.43","4146"
"Cameron Maybin","Marlins","MIA @ SF","RF","4.39","1.02",".71",".22",".04",".05",".43",".49",".12",".07",".43",".78","6.15","9.56","7.38","5223"
"Josh Bell","Pirates","MIL @ PIT","1B","4.10",".94",".61",".19",".04",".10",".48",".55",".02",".02",".47",".66","6.12","9.56","7.23","13145"
"Gerardo Parra","Rockies","NYM @ COL","LF","4.09","1.14",".77",".26",".03",".08",".42",".53",".07",".05",".24",".77","6.03","9.40","7.35","8553"
"Alen Hanson","Giants","MIA @ SF","2B","3.87",".93",".61",".18",".07",".08",".38",".51",".17",".09",".31",".72","6.06","9.42","7.31","12926"
"Hunter Dozier","Royals","TEX @ KC","1B","4.16","1.04",".63",".29",".02",".11",".46",".45",".04",".02",".34","1.08","5.99","9.31","7.19","15117"
"Yolmer Sanchez","White Sox","CWS @ CLE","3B","4.48","1.06",".69",".22",".05",".11",".49",".40",".08",".05",".23","1.04","5.96","9.24","7.25","11602"
"Ronald Guzman","Rangers","TEX @ KC","1B","4.05",".92",".57",".18",".04",".14",".52",".47",".02",".01",".37",".96","5.97","9.29","7.08","14388"
"David Peralta","Diamondbacks","ARI @ LAA","LF","4.18","1.02",".67",".19",".02",".14",".42",".48",".04",".02",".31",".85","5.92","9.20","7.14","2136"
"Gregory Polanco","Pirates","MIL @ PIT","RF","3.99",".86",".51",".23",".02",".10",".43",".53",".06",".03",".45",".74","5.93","9.24","6.97","12907"
"Matt Davidson","White Sox","CWS @ CLE","DH","4.19",".77",".40",".15",".00",".22",".47",".51",".01",".01",".37","1.76","5.92","9.23","6.93","7226"
"Yairo Munoz","Cardinals","STL @ PHI","3B","4.05",".97",".65",".15",".01",".15",".42",".50",".08",".05",".21","1.10","5.78","9.00","6.99","16313"
"Albert Almora Jr.","Cubs","LAD @ CHC","CF","4.07","1.02",".67",".22",".03",".11",".43",".54",".03",".02",".25",".76","5.78","9.02","6.96","14109"
"Addison Russell","Cubs","LAD @ CHC","SS","3.94",".86",".52",".18",".02",".15",".45",".50",".03",".02",".40","1.01","5.83","9.09","6.89","14106"
"Abraham Almonte","Royals","TEX @ KC","CF","3.95",".98",".62",".20",".06",".09",".47",".46",".06",".03",".25",".62","5.77","8.98","6.96","5486"
"Ian Desmond","Rockies","NYM @ COL","1B","3.98",".91",".60",".17",".02",".13",".42",".49",".10",".05",".28","1.19","5.76","8.97","6.92","6885"
"C.J. Cron","Rays","TB @ HOU","DH","4.20",".88",".51",".18",".01",".18",".43",".51",".02",".01",".27","1.33","5.77","9.00","6.87","12546"
"Jake Bauers","Rays","TB @ HOU","LF","4.40",".91",".55",".21",".02",".12",".46",".37",".10",".06",".33","1.32","5.78","8.94","6.93","15194"
"Ian Kinsler","Angels","ARI @ LAA","2B","4.41",".93",".60",".18",".01",".15",".49",".37",".08",".05",".28",".64","5.75","8.91","6.93","6195"
"Jon Jay","Diamondbacks","ARI @ LAA","LF","4.71","1.18",".92",".20",".02",".04",".49",".30",".06",".04",".39",".82","5.67","8.75","6.97","5227"
"Tony Kemp","Astros","TB @ HOU","CF","3.80",".88",".63",".14",".05",".05",".50",".39",".12",".07",".44",".50","5.70","8.84","6.81","14894"
"Roberto Perez","Indians","CWS @ CLE","C","3.95",".74",".43",".16",".01",".14",".51",".50",".02",".01",".48","1.15","5.74","8.96","6.65","2900"
"Justin Bour","Marlins","MIA @ SF","1B","4.28",".91",".64",".14",".01",".12",".43",".51",".01",".00",".47",".97","5.68","8.86","6.71","9744"
"Lewis Brinson","Marlins","MIA @ SF","CF","4.17",".90",".57",".17",".03",".13",".39",".51",".06",".04",".27","1.10","5.59","8.72","6.71","14352"
"Daniel Descalso","Diamondbacks","ARI @ LAA","2B","4.28",".85",".54",".18",".02",".12",".43",".43",".03",".02",".46","1.00","5.57","8.66","6.59","8392"
"Tom Murphy","Rockies","NYM @ COL","C","3.85",".83",".45",".18",".03",".16",".41",".50",".02",".02",".23","1.44","5.47","8.54","6.50","13499"
"Tim Anderson","White Sox","CWS @ CLE","SS","3.97",".95",".62",".18",".02",".13",".37",".42",".10",".05",".15","1.22","5.40","8.38","6.60","15172"
"Wilson Ramos","Rays","TB @ HOU","C","4.30",".98",".66",".17",".00",".15",".42",".46",".00",".00",".19","1.06","5.37","8.37","6.51","1433"
"Albert Pujols","Angels","ARI @ LAA","1B","4.12",".93",".62",".14",".00",".17",".41",".50",".01",".01",".18",".65","5.33","8.32","6.43","1177"
"Paulo Orlando","Royals","TEX @ KC","CF","3.83","1.03",".71",".21",".03",".08",".44",".47",".04",".02",".12",".63","5.29","8.26","6.47","8628"
"Jorge Alfaro","Phillies","STL @ PHI","C","3.88",".94",".61",".18",".02",".13",".36",".46",".01",".01",".22","1.22","5.24","8.16","6.35","12180"
"Matt Duffy","Rays","TB @ HOU","3B","4.49","1.12",".82",".22",".02",".06",".41",".29",".07",".04",".21","1.13","5.20","8.03","6.47","13836"
"Jarrod Dyson","Diamondbacks","ARI @ LAA","CF","4.07",".84",".64",".13",".03",".05",".34",".33",".21",".07",".37",".59","5.24","8.09","6.36","4866"
"Joe Panik","Giants","MIA @ SF","2B","3.98",".94",".69",".15",".04",".05",".38",".46",".02",".01",".40",".40","5.23","8.15","6.28","11936"
"John Ryan Murphy","Diamondbacks","ARI @ LAA","C","4.40",".84",".56",".15",".00",".14",".41",".51",".02",".01",".24",".96","5.21","8.16","6.22","10346"
"Orlando Arcia","Brewers","MIL @ PIT","SS","4.07",".98",".72",".18",".02",".06",".36",".42",".09",".05",".22",".67","5.13","7.97","6.28","13185"
