"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Daniel Murphy","Nationals","PHI @ WSH","2B","4.13","1.10",".65",".29",".02",".15",".52",".63",".02",".01",".37",".54","6.85","10.69","8.14","4316"
"Justin Smoak","Blue Jays","TOR @ LAA","1B","4.65",".92",".54",".18",".00",".20",".59",".51",".01",".00",".62","1.20","6.88","10.70","8.02","9054"
"Jed Lowrie","Athletics","","2B","4.67","1.03",".66",".25",".02",".11",".59",".51",".01",".00",".69",".80","6.87","10.68","8.03","4418"
"Noel Cuevas","Rockies","MIA @ COL","RF","4.04","1.18",".81",".19",".07",".11",".53",".61",".08",".06",".24",".64","6.73","10.51","8.17","11894"
"Danny Valencia","Orioles","BAL @ ATL","3B","4.46","1.05",".68",".22",".01",".14",".52",".60",".02",".01",".55",".86","6.81","10.62","8.03","6364"
"Xander Bogaerts","Red Sox","SEA @ BOS","SS","4.18","1.13",".70",".26",".01",".15",".52",".57",".05",".03",".31",".72","6.76","10.53","8.11","12161"
"Mac Williamson","Giants","SD @ SF","LF","4.10","1.00",".60",".20",".02",".18",".52",".64",".03",".02",".38",".94","6.76","10.57","7.98","14158"
"Daniel Palka","White Sox","","DH","4.31",".91",".54",".14",".04",".19",".51",".62",".05",".03",".45","1.26","6.75","10.54","7.94","14897"
"Gorkys Hernandez","Giants","SD @ SF","LF","4.62","1.17",".82",".23",".05",".08",".60",".37",".12",".07",".42",".96","6.69","10.34","8.11","4146"
"Eugenio Suarez","Reds","CHC @ CIN","3B","4.26",".95",".58",".20",".01",".16",".50",".61",".03",".02",".54",".97","6.75","10.53","7.90","12552"
"Kyle Seager","Mariners","SEA @ BOS","3B","4.41",".99",".58",".25",".01",".16",".54",".61",".01",".01",".45",".76","6.73","10.51","7.91","9785"
"Trey Mancini","Orioles","BAL @ ATL","LF","4.78","1.08",".69",".23",".02",".15",".60",".41",".02",".01",".52","1.20","6.71","10.39","7.97","15149"
"Javier Baez","Cubs","CHC @ CIN","2B","4.36","1.04",".64",".19",".02",".19",".52",".64",".07",".04",".19","1.19","6.64","10.39","7.96","12979"
"Greg Bird","Yankees","NYY @ TB","1B","4.26",".80",".40",".18",".01",".21",".54",".57",".01",".01",".60","1.21","6.75","10.53","7.79","14131"
"Yulieski Gurriel","Astros","KC @ HOU","1B","4.22","1.18",".77",".29",".01",".11",".54",".68",".02",".02",".21",".46","6.61","10.37","7.94","19198"
"Ender Inciarte","Braves","BAL @ ATL","CF","4.57","1.28",".96",".21",".04",".07",".56",".36",".17",".08",".27",".48","6.59","10.17","8.14","4922"
"Dustin Fowler","Athletics","","CF","4.26",".96",".59",".15",".07",".14",".47",".56",".15",".09",".31",".90","6.63","10.33","7.95","17098"
"Ian Kinsler","Angels","TOR @ LAA","2B","4.55",".98",".60",".19",".01",".18",".59",".46",".09",".05",".36",".50","6.63","10.29","7.89","6195"
"Jurickson Profar","Rangers","TEX @ MIN","SS","4.47","1.03",".63",".26",".03",".11",".52",".60",".04",".03",".43",".56","6.61","10.32","7.82","10815"
"Yasiel Puig","Dodgers","LAD @ NYM","RF","4.28",".95",".58",".18",".01",".18",".46",".58",".07",".05",".43",".87","6.60","10.28","7.81","14225"
"Jonathan Schoop","Orioles","BAL @ ATL","2B","4.37","1.03",".64",".22",".00",".16",".48",".65",".01",".01",".38",".98","6.57","10.28","7.78","11265"
"Joey Votto","Reds","CHC @ CIN","1B","4.35",".97",".67",".17",".01",".12",".53",".46",".02",".01",".78",".77","6.63","10.29","7.75","4314"
"Nick Markakis","Braves","BAL @ ATL","RF","4.27","1.22",".83",".30",".01",".09",".51",".59",".01",".01",".34",".42","6.52","10.18","7.85","5930"
"Avisail Garcia","White Sox","","RF","4.52","1.18",".84",".20",".03",".11",".57",".47",".04",".03",".36","1.01","6.52","10.12","7.88","5760"
"Ben Zobrist","Cubs","CHC @ CIN","RF","4.56",".99",".63",".21",".02",".13",".57",".48",".03",".02",".57",".66","6.59","10.23","7.75","7435"
"Rougned Odor","Rangers","TEX @ MIN","2b","4.36",".92",".53",".20",".02",".16",".51",".60",".09",".06",".35","1.07","6.55","10.23","7.74","12282"
"Hunter Renfroe","Padres","SD @ SF","LF","4.40","1.03",".60",".24",".03",".15",".50",".62",".02",".01",".30","1.06","6.51","10.17","7.74","15464"
"Jason Heyward","Cubs","CHC @ CIN","RF","4.66","1.05",".70",".20",".03",".12",".60",".41",".06",".03",".44",".68","6.52","10.10","7.78","4940"
"Carlos Santana","Phillies","PHI @ WSH","1B","4.39",".87",".51",".20",".01",".15",".51",".54",".03",".01",".65",".63","6.58","10.25","7.63","2396"
"Marcus Semien","Athletics","OAK @ CWS","SS","4.68","1.00",".65",".18",".01",".15",".53",".46",".09",".05",".42",".88","6.51","10.10","7.76","12533"
"Lewis Brinson","Marlins","MIA @ COL","CF","4.20",".97",".56",".19",".05",".17",".44",".62",".06",".04",".28","1.27","6.47","10.10","7.72","14352"
"Whit Merrifield","Royals","KC @ HOU","2B","4.52","1.13",".72",".27",".03",".10",".48",".39",".15",".09",".29",".78","6.44","9.94","7.84","11281"
"Alen Hanson","Giants","SD @ SF","2B","3.87","1.01",".62",".19",".09",".10",".41",".53",".16",".09",".26",".64","6.40","9.95","7.77","12926"
"Mark Canha","Athletics","OAK @ CWS","LF","4.27",".89",".47",".21",".01",".20",".51",".55",".03",".02",".42","1.00","6.49","10.11","7.61","11445"
"Leonys Martin","Tigers","DET @ CLE","CF","4.56","1.08",".69",".24",".02",".14",".51",".41",".14",".07",".23","1.09","6.41","9.91","7.79","11846"
"Yangervis Solarte","Blue Jays","TOR @ LAA","2B","4.54","1.08",".70",".20",".01",".17",".53",".55",".02",".01",".31",".65","6.42","10.02","7.69","5352"
"Ryon Healy","Mariners","SEA @ BOS","1B","4.30","1.09",".68",".24",".00",".16",".51",".61",".01",".01",".23",".94","6.38","9.98","7.65","15447"
"Odubel Herrera","Phillies","PHI @ WSH","CF","4.49","1.13",".77",".22",".02",".11",".49",".51",".06",".04",".33",".91","6.35","9.88","7.67","11476"
"Mitch Moreland","Red Sox","SEA @ BOS","1B","4.29","1.02",".60",".25",".01",".15",".51",".59",".01",".01",".32",".87","6.38","9.97","7.57","3086"
"Nick Williams","Phillies","PHI @ WSH","RF","4.30","1.00",".62",".19",".03",".17",".45",".60",".04",".03",".28","1.16","6.33","9.89","7.58","14330"
"Jed Lowrie","Athletics","OAK @ CWS","2B","4.58",".99",".63",".23",".02",".11",".56",".43",".01",".01",".61",".79","6.39","9.91","7.51","4418"
"Yadier Molina","Cardinals","STL @ MIL","C","4.37","1.01",".66",".20",".00",".15",".48",".57",".04",".03",".35",".74","6.33","9.87","7.54","7007"
"Luis Valbuena","Angels","TOR @ LAA","1B","4.13",".84",".44",".17",".00",".22",".51",".55",".01",".01",".42","1.04","6.37","9.94","7.45","4969"
"J.T. Riddle","Marlins","MIA @ COL","SS","4.32","1.12",".75",".23",".04",".11",".46",".60",".03",".02",".26",".99","6.27","9.80","7.57","17642"
"Marwin Gonzalez","Astros","KC @ HOU","LF","4.00",".96",".59",".21",".02",".14",".49",".54",".04",".03",".40",".92","6.31","9.83","7.48","5497"
"Lonnie Chisenhall","Indians","DET @ CLE","RF","4.09","1.01",".61",".26",".02",".12",".51",".51",".05",".03",".37",".83","6.30","9.81","7.49","7571"
"Jose Pirela","Padres","SD @ SF","2B","4.51","1.14",".77",".24",".06",".07",".49",".47",".06",".04",".34",".77","6.25","9.71","7.58","5485"
"Nicholas Castellanos","Tigers","DET @ CLE","RF","4.35","1.17",".70",".31",".02",".15",".46",".52",".01",".01",".14","1.02","6.22","9.68","7.57","11737"
"Jon Jay","Diamondbacks","ARI @ PIT","LF","4.76","1.34","1.04",".24",".03",".03",".57",".32",".06",".04",".36",".71","6.20","9.57","7.66","5227"
"Mike Zunino","Mariners","SEA @ BOS","C","4.19",".83",".44",".19",".00",".20",".49",".55",".01",".01",".46","1.41","6.30","9.83","7.35","13265"
"Miguel Andujar","Yankees","NYY @ TB","3B","4.15","1.01",".60",".24",".02",".15",".48",".56",".03",".02",".26",".90","6.23","9.72","7.44","15878"
"Gleyber Torres","Yankees","NYY @ TB","2B","4.04",".88",".54",".15",".02",".18",".49",".52",".07",".05",".37","1.20","6.25","9.74","7.40","16997"
"Tyler Flowers","Braves","BAL @ ATL","C","4.17","1.00",".67",".20",".00",".13",".48",".58",".01",".01",".44",".88","6.22","9.72","7.37","9134"
"Joe Mauer","Twins","TEX @ MIN","1B","4.64","1.13",".79",".26",".01",".06",".58",".39",".01",".01",".50",".73","6.20","9.62","7.42","1857"
"Todd Frazier","Mets","LAD @ NYM","3B","4.39",".81",".45",".18",".00",".18",".52",".43",".05",".03",".55","1.08","6.27","9.72","7.31","785"
"Cesar Hernandez","Phillies","PHI @ WSH","2B","4.71","1.07",".80",".17",".03",".07",".54",".30",".12",".07",".52","1.00","6.19","9.54","7.48","10556"
"Wilson Ramos","Rays","NYY @ TB","C","4.34","1.04",".70",".15",".00",".18",".49",".55",".01",".00",".31",".87","6.16","9.61","7.38","1433"
"Stephen Piscotty","Athletics","","RF","4.36",".88",".55",".20",".02",".12",".49",".50",".03",".03",".59",".94","6.23","9.69","7.28","13367"
"C.J. Cron","Rays","NYY @ TB","DH","4.24",".87",".50",".17",".01",".19",".47",".55",".02",".02",".40","1.24","6.20","9.66","7.29","12546"
"Avisail Garcia","White Sox","OAK @ CWS","RF","4.40","1.12",".77",".20",".02",".12",".53",".42",".04",".03",".29",".94","6.11","9.48","7.41","5760"
"Brandon Crawford","Giants","SD @ SF","SS","4.21","1.03",".69",".20",".04",".09",".51",".59",".03",".02",".32",".72","6.12","9.58","7.32","5343"
"Wilmer Flores","Mets","LAD @ NYM","1B","4.18",".98",".60",".21",".00",".17",".46",".55",".01",".01",".32",".64","6.13","9.57","7.30","5827"
"Jonathan Villar","Brewers","STL @ MIL","2B","4.05",".88",".59",".15",".02",".12",".41",".47",".17",".07",".38","1.34","6.10","9.47","7.30","10071"
"Dexter Fowler","Cardinals","STL @ MIL","RF","4.26",".81",".48",".16",".03",".14",".44",".46",".06",".03",".62","1.04","6.17","9.57","7.21","4062"
"Albert Pujols","Angels","TOR @ LAA","1B","4.23",".95",".61",".14",".00",".20",".49",".61",".01",".01",".23",".58","6.08","9.52","7.24","1177"
"Yan Gomes","Indians","DET @ CLE","C","3.98",".88",".49",".20",".00",".18",".51",".56",".01",".01",".34","1.09","6.11","9.55","7.19","9627"
"Michael A. Taylor","Nationals","PHI @ WSH","CF","4.03",".92",".57",".20",".02",".14",".40",".53",".14",".07",".26","1.17","6.07","9.45","7.28","11489"
"Chad Pinder","Athletics","","LF","4.13",".81",".46",".15",".01",".17",".47",".53",".03",".02",".47","1.18","6.11","9.53","7.14","15191"
"Tim Anderson","White Sox","OAK @ CWS","SS","4.51","1.02",".69",".17",".04",".12",".48",".39",".13",".07",".23","1.13","6.02","9.32","7.34","15172"
"Erik Kratz","Brewers","STL @ MIL","C","3.95",".85",".48",".16",".01",".20",".45",".55",".03",".02",".36",".99","6.08","9.48","7.17","4403"
"Kendrys Morales","Blue Jays","TOR @ LAA","DH","4.33",".95",".60",".17",".00",".18",".48",".53",".01",".01",".35","1.00","6.06","9.45","7.19","8610"
"Austin Meadows","Pirates","ARI @ PIT","CF","4.39","1.08",".73",".22",".05",".08",".50",".37",".14",".08",".20",".89","5.99","9.27","7.35","15672"
"Matt Davidson","White Sox","OAK @ CWS","DH","4.19",".77",".42",".14",".01",".20",".46",".53",".01",".01",".50","1.45","6.08","9.47","7.07","7226"
"Kevin Kiermaier","Rays","NYY @ TB","CF","4.56",".97",".68",".14",".04",".10",".48",".35",".13",".07",".43","1.22","6.00","9.28","7.24","11038"
"Matt Davidson","White Sox","","DH","4.20",".77",".44",".14",".01",".18",".48",".52",".01",".01",".54","1.50","6.07","9.47","7.04","7226"
"Jason Kipnis","Indians","DET @ CLE","2B","3.86",".90",".51",".24",".01",".13",".51",".49",".04",".02",".36",".74","6.01","9.37","7.10","9776"
"Josh Harrison","Pirates","ARI @ PIT","2B","4.49","1.12",".76",".24",".03",".09",".48",".33",".09",".05",".30",".85","5.95","9.18","7.27","8202"
"Salvador Perez","Royals","KC @ HOU","C","4.22",".96",".55",".19",".01",".21",".45",".55",".01",".01",".16",".84","5.95","9.29","7.14","7304"
"Matt Duffy","Rays","NYY @ TB","3B","4.44","1.17",".87",".20",".02",".07",".48",".39",".08",".05",".30",".84","5.91","9.16","7.25","13836"
"Cory Spangenberg","Padres","SD @ SF","3B","4.29","1.00",".69",".16",".06",".10",".43",".50",".08",".04",".31","1.08","5.93","9.23","7.16","12294"
"Max Kepler","Twins","TEX @ MIN","RF","4.11",".91",".54",".22",".03",".12",".48",".52",".03",".02",".35",".78","5.97","9.31","7.07","12144"
